sample_N,scenario,structure,estimator,outer_opt,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
40,1,advan4,nonmem_scm,focei,CL,BW,exp,1,FALSE,1,1,0,0,1
40,1,advan4,nonmem_scm,focei,CL,BW,power,1,FALSE,1,1,0,0,1
40,1,advan4,nonmem_scm,focei,CL,CRCL,exp,2,FALSE,2,1,0,0,2
40,1,advan4,nonmem_scm,focei,CL,CRCL,power,3,FALSE,3,1,0,0,3
40,1,advan4,nonmem_scm,focei,CL,RACE,cat,1,FALSE,1,1,0,0,1
40,1,advan4,nonmem_scm,focei,VC,BMI,exp,1,FALSE,1,1,0,0,1
40,1,advan4,nonmem_scm,focei,VC,BMI,power,3,FALSE,3,1,0,0,3
40,1,advan4,nonmem_scm,focei,VC,BW,exp,2,FALSE,2,1,0,0,2
40,1,advan4,nonmem_scm,focei,VC,BW,power,3,FALSE,3,1,0,0,3
40,1,advan4,nonmem_scm,focei,VC,SEX,cat,1,FALSE,1,1,0,0,1
40,2,advan4,nonmem_scm,focei,VC,SEX,cat,100,TRUE,83,0.83,83,17,0
40,2,advan4,nonmem_scm,focei,CL,BMI,power,3,FALSE,3,1,0,0,3
40,2,advan4,nonmem_scm,focei,CL,BW,power,2,FALSE,2,1,0,0,2
40,2,advan4,nonmem_scm,focei,CL,CRCL,power,1,FALSE,1,1,0,0,1
40,2,advan4,nonmem_scm,focei,CL,RACE,cat,1,FALSE,1,1,0,0,1
40,2,advan4,nonmem_scm,focei,CL,SEX,cat,1,FALSE,1,1,0,0,1
40,2,advan4,nonmem_scm,focei,VC,BMI,exp,1,FALSE,1,1,0,0,1
40,2,advan4,nonmem_scm,focei,VC,BMI,power,3,FALSE,3,1,0,0,3
40,2,advan4,nonmem_scm,focei,VC,BW,power,2,FALSE,2,1,0,0,2
40,2,advan4,nonmem_scm,focei,VC,CRCL,power,3,FALSE,3,1,0,0,3
40,2,advan4,nonmem_scm,focei,VC,RACE,cat,2,FALSE,2,1,0,0,2
40,3,advan4,nonmem_scm,focei,VC,BW,power,100,TRUE,50,0.5,50,50,0
40,3,advan4,nonmem_scm,focei,CL,BMI,exp,1,FALSE,1,1,0,0,1
40,3,advan4,nonmem_scm,focei,CL,BMI,power,1,FALSE,1,1,0,0,1
40,3,advan4,nonmem_scm,focei,CL,BW,power,2,FALSE,2,1,0,0,2
40,3,advan4,nonmem_scm,focei,CL,CRCL,power,3,FALSE,3,1,0,0,3
40,3,advan4,nonmem_scm,focei,CL,RACE,cat,4,FALSE,4,1,0,0,4
40,3,advan4,nonmem_scm,focei,CL,SEX,cat,5,FALSE,5,1,0,0,5
40,3,advan4,nonmem_scm,focei,VC,BMI,exp,9,FALSE,9,1,0,0,9
40,3,advan4,nonmem_scm,focei,VC,BMI,power,14,FALSE,14,1,0,0,14
