sample_N,scenario,structure,estimator,outer_opt,dataset_id,status,converged,cn_below_cutoff,cov_ok,cov_done,objf,cond_num_cor,cond_num_cor_source,convergence_code,min_suc,cov_step,est_bnd,phys_bnd,est_family,cov_source,n_selected,n_true,n_true_hit,n_false_pos,exact_match,wall_base_sec,wall_scm_sec,wall_refit_sec,wall_total_sec,cpu_total_sec,hog_factor,scm_workers,rx_threads,message
40,1,advan4,nonmem_scm,focei,1,ok,TRUE,FALSE,FALSE,FALSE,-769.47427423016,,psn_lst,,TRUE,FALSE,FALSE,,nonmem,psn_cov,0,0,0,0,TRUE,,,,124.763,185.79,1.489,,,
40,1,advan4,nonmem_scm,focei,2,ok,TRUE,FALSE,FALSE,FALSE,-763.0046490701116,,psn_lst,,TRUE,FALSE,FALSE,,nonmem,psn_cov,0,0,0,0,TRUE,,,,128.374,179.9,1.401,,,
40,1,advan4,nonmem_scm,focei,3,ok,TRUE,TRUE,TRUE,TRUE,-752.2153196446145,44.90384615384615,psn_lst,,TRUE,TRUE,FALSE,,nonmem,psn_cov,1,0,0,1,FALSE,,,,121.454,178.76,1.472,,,
40,1,advan4,nonmem_scm,focei,4,not_converged,FALSE,FALSE,FALSE,FALSE,-796.1352702661666,,psn_lst,,FALSE,FALSE,TRUE,,nonmem,psn_cov,0,0,0,0,TRUE,,,,117.483,188.16,1.602,,,
40,1,advan4,nonmem_scm,focei,5,ok,TRUE,FALSE,FALSE,FALSE,-762.382247784701,,psn_lst,,TRUE,FALSE,FALSE,,nonmem,psn_cov,0,0,0,0,TRUE,,,,81.977,97.24,1.186,,,
40,1,advan4,nonmem_scm,focei,6,ok,TRUE,FALSE,FALSE,FALSE,-758.8268746044615,,psn_lst,,TRUE,FALSE,FALSE,,nonmem,psn_cov,0,0,0,0,TRUE,,,,74.391,96.46,1.297,,,
40,1,advan4,nonmem_scm,focei,7,ok,TRUE,FALSE,FALSE,FALSE,-810.2984466039665,,psn_lst,,TRUE,FALSE,FALSE,,nonmem,psn_cov,1,0,0,1,FALSE,,,,150.353,260.93,1.735,,,
40,1,advan4,nonmem_scm,focei,8,ok,TRUE,FALSE,FALSE,FALSE,-781.1009955940738,,psn_lst,,TRUE,FALSE,FALSE,,nonmem,psn_cov,2,0,0,2,FALSE,,,,230.422,455.87,1.978,,,
40,1,advan4,nonmem_scm,focei,9,ok,TRUE,FALSE,TRUE,TRUE,-756.4097532947287,3118.9189189189187,psn_lst,,TRUE,TRUE,FALSE,,nonmem,psn_cov,1,0,0,1,FALSE,,,,157.548,273,1.733,,,
40,1,advan4,nonmem_scm,focei,10,ok,TRUE,FALSE,FALSE,FALSE,-782.4522804097911,,psn_lst,,TRUE,FALSE,FALSE,,nonmem,psn_cov,0,0,0,0,TRUE,,,,77.046,97.12,1.261,,,
