sample_N,scenario,structure,estimator,outer_opt,n_total,n_ok_status,Converged_pct,ConvergedStrict_pct,CovStep_pct,CovDone_pct,CNBelowCutoff_pct,MinSuc_pct,EstBnd_pct,MedCN,MaxCN,P90CN,MedObjF,MedNSelected,MedWallBase_sec,MedWallScm_sec,MedWallRefit_sec,MedWallTotal_sec,MedWallTotal_min,MedCpuTotal_sec,MedHogFactor,scm_workers,rx_threads
40,1,advan4,nonmem_scm,focei,100,85,85,25,36,36,27,85,15,61.82445962838453,15904572.564612327,2961.1330996268234,-769.7134696987823,0,,,,84.97749999999999,1.4162916666666665,97.925,1.4024999999999999,,
40,2,advan4,nonmem_scm,focei,100,88,88,27,46,46,34,88,12,184.78519314702623,35060.728744939275,7495.376955903272,-780.4860368711842,1,,,,120.076,2.0012666666666665,178.535,1.6335,,
40,3,advan4,nonmem_scm,focei,100,83,83,20,28.000000000000004,28.000000000000004,20,83,17,100.04419108223962,21262.135922330097,1953.6197931546776,-774.4895206196862,1,,,,153.3065,2.5551083333333335,266.665,1.7810000000000001,,
40,4,advan4,nonmem_scm,focei,100,80,80,18,30,30,21,80,20,260.22906314386137,818852.4590163934,7079.1465677180495,-784.000010194715,2,,,,181.4035,3.023391666666667,337.67,1.894,,
40,5,advan4,nonmem_scm,focei,100,87,87,23,27,27,24,87,13,107.01219512195121,6774.1935483870975,1116.262309200314,-785.726197029778,1,,,,155.2345,2.5872416666666664,268.52,1.7995,,
40,6,advan4,nonmem_scm,focei,100,84,84,19,27,27,23,84,16,109.72222222222223,5898.437499999999,1410.3478397596066,-777.8984577449296,2,,,,173.726,2.8954333333333335,336.115,1.901,,
40,7,advan4,nonmem_scm,focei,100,82,82,19,31,31,21,82,18,674.3718592964824,120081.41112618723,19609.19540229885,-782.5446641952941,2,,,,205.9415,3.432358333333333,412.35,1.9285,,
40,8,advan4,nonmem_scm,focei,100,82,82,20,32,32,24,82,18,161.853677899179,3780068.7285223366,3898.1847426470595,-780.6982116798845,3,,,,270.40999999999997,4.506833333333333,485.225,1.978,,
40,9,advan4,nonmem_scm,focei,100,87,87,17,24,24,19,87,13,152.421776615325,5914.728682170543,2620.8838619402986,-815.5567120778148,1,,,,152.253,2.53755,267.875,1.7610000000000001,,
40,10,advan4,nonmem_scm,focei,100,87,87,16,26,26,19,87,13,196.53118896845592,147696.87964338783,12304.83832805586,-813.0839320567292,2,,,,207.284,3.454733333333333,346.615,1.8090000000000002,,
40,11,advan4,nonmem_scm,focei,100,86,86,25,30,30,26,86,14.000000000000002,181.21456008779953,5331.325301204819,1482.7972027972075,-814.9611487346097,2,,,,217.469,3.624483333333333,407.16999999999996,1.8824999999999998,,
40,12,advan4,nonmem_scm,focei,100,80,80,14.000000000000002,26,26,17,80,20,246.14274056870252,213178.29457364342,11314.327485380116,-803.4270762980404,3,,,,260.42650000000003,4.340441666666667,445.42,1.8475000000000001,,
40,13,advan4,nonmem_scm,focei,100,86,86,19,24,24,21,86,14.000000000000002,88.81656998835487,30434.782608695652,1024.8617328861942,-818.9101303094506,2,,,,311.70799999999997,5.195133333333333,375.27,0.91,,
40,14,advan4,nonmem_scm,focei,100,85,85,17,22,22,18,85,15,518.0206136694294,151520.27027027027,15550.837931739226,-817.7722958760364,3,,,,415.986,6.9331,463.095,0.9145000000000001,,
40,15,advan4,nonmem_scm,focei,100,82,82,20,27,27,22,82,18,239.2241379310345,86885.24590163934,2570.506046730071,-817.1809052338986,3,,,,472.447,7.874116666666667,505.615,0.9155,,
40,16,advan4,nonmem_scm,focei,100,87,87,17,23,23,18,87,13,292.0731707317073,111084.3373493976,15235.762311187522,-819.4579656769519,3,,,,542.865,9.04775,578.22,0.9115,,
80,1,advan4,nonmem_scm,focei,100,89,89,42,54,54,46,89,11,28.80787037037037,59075.63025210084,2165.0953895071557,-1536.426651828694,0,,,,134.5525,2.242541666666667,106.63499999999999,0.815,,
80,2,advan4,nonmem_scm,focei,100,80,80,33,48,48,45,80,20,55.77955587989992,338695.652173913,819.5253340182638,-1549.9812182671703,1,,,,231.58499999999998,3.8597499999999996,196.125,0.866,,
80,3,advan4,nonmem_scm,focei,100,86,86,44,51,51,48,86,14.000000000000002,39.54943679599499,126355.421686747,449.624060150376,-1547.6320664044883,1,,,,328.6835,5.478058333333333,287.58500000000004,0.8775,,
80,4,advan4,nonmem_scm,focei,100,78,78,28.999999999999996,46,46,34,78,22,120.84556664709336,400000000000,5422.6897689768975,-1551.1978684420774,2,,,,415.3005,6.921675,379.615,0.892,,
80,5,advan4,nonmem_scm,focei,100,87,87,28.000000000000004,38,38,32,87,13,86.15376056964843,108287.29281767955,3477.2234494131835,-1564.6966073218855,1,,,,335.213,5.586883333333334,295.095,0.8825000000000001,,
80,6,advan4,nonmem_scm,focei,100,81,81,31,49,49,36,81,19,95.26748971193416,93380.1404212638,4962.637657802853,-1562.8045294076028,2,,,,422.03700000000003,7.033950000000001,374.56,0.894,,
80,7,advan4,nonmem_scm,focei,100,90,90,23,36,36,28.000000000000004,90,10,137.33121722604207,8403361.344537815,29880.546075085324,-1556.1252222943422,2,,,,500.807,8.346783333333333,457.27,0.9065000000000001,,
80,8,advan4,nonmem_scm,focei,100,77,77,32,47,47,37,77,23,92.21374045801527,3205882.3529411764,6201.265458728775,-1559.3115492684628,3,,,,588.7625,9.812708333333335,539.275,0.9125000000000001,,
80,9,advan4,nonmem_scm,focei,100,85,85,26,34,34,27,85,15,76.58203125,21848.73949579832,5706.6345893195985,-1605.6316303799845,1,,,,350.1605,5.836008333333334,315.65,0.8935,,
80,10,advan4,nonmem_scm,focei,100,84,84,32,43,43,35,84,16,80.83140877598153,81351.35135135135,1963.32126889504,-1613.6835671062831,2,,,,414.86,6.9143333333333334,371.745,0.901,,
