sample_N,scenario,structure,estimator,outer_opt,parameter,param_class,true_value,n_used,MedRE_pct,MeanRE_pct,MARE_pct,RMRSE_pct,P90AbsRE_pct
40,1,advan4,nonmem_scm,focei,TVCL,structural_intercept,0.6,100,1.184500000000005,0.8121250000000034,3.8244166666666732,5.305583032340137,8.790183333333344
40,1,advan4,nonmem_scm,focei,TVVc,structural_intercept,20,100,1.0794999999999977,1.6262499999999995,4.38275,7.092171844364742,11.381849999999998
40,1,advan4,nonmem_scm,focei,ResErr,structural_other,0.1,100,1.0098770707646296,1.9030097126605396,4.662063135642241,7.656471606940831,12.599169980749428
40,1,advan4,nonmem_scm,focei,TVKA,structural_other,0.7,100,0,0,0,0,0
40,1,advan4,nonmem_scm,focei,TVQ,structural_other,1.8,100,2.4297222222222206,2.391438888888886,2.561944444444439,3.096682399892255,4.736333333333334
40,1,advan4,nonmem_scm,focei,TVVp,structural_other,80,100,0.7827499999999966,0.8175037499999994,1.2797500000000017,1.927248770632959,2.852637500000002
40,1,advan4,nonmem_scm,focei,cov_VcCL,structural_other,0.02,100,-12.86825,-7.837183250000002,44.00000000000001,64.23922454785341,103.32901799999999
40,1,advan4,nonmem_scm,focei,var_CL,structural_other,0.1,100,-5.263300000000005,-4.145123000000005,15.008150000000004,23.42292329299441,37.95293000000001
40,1,advan4,nonmem_scm,focei,var_Vc,structural_other,0.1,100,-17.157750000000004,-15.294537000000005,26.209549999999997,38.1574411216279,66.96267000000003
40,2,advan4,nonmem_scm,focei,VcSEX,covariate_beta,0.4054651081081644,83,11.771489881724966,12.600827552173383,17.796321653122067,26.697677654179746,45.332654364395175
40,2,advan4,nonmem_scm,focei,TVCL,structural_intercept,0.6,100,1.6112499999999994,1.1269533333333361,3.6047499999999997,5.260174765421561,8.395983333333334
40,2,advan4,nonmem_scm,focei,TVVc,structural_intercept,20,100,2.1194999999999986,3.1913249999999995,6.844999999999998,11.91259515985077,20.43780000000001
40,2,advan4,nonmem_scm,focei,ResErr,structural_other,0.1,100,-1.4033025731623807,-1.6405049863682715,5.142836552785232,7.044905767549571,11.421759178904018
40,2,advan4,nonmem_scm,focei,TVKA,structural_other,0.7,100,0,0,0,0,0
40,2,advan4,nonmem_scm,focei,TVQ,structural_other,1.8,100,1.3891666666666636,1.4860444444444418,1.711666666666667,3.002096241908145,5.011388888888889
40,2,advan4,nonmem_scm,focei,TVVp,structural_other,80,100,0.032999999999994145,0.11218874999999925,0.9328749999999975,1.634611087776309,2.805262499999999
40,2,advan4,nonmem_scm,focei,cov_VcCL,structural_other,0.02,100,-9.262250000000002,-8.714865000000001,40.6825,62.716752147490865,113.13208000000006
40,2,advan4,nonmem_scm,focei,var_CL,structural_other,0.1,100,-8.71725000000001,-6.494870000000005,18.560899999999997,23.337585609908324,36.16533
40,2,advan4,nonmem_scm,focei,var_Vc,structural_other,0.1,100,-15.43855000000001,-9.276096000000004,28.915800000000004,37.73981073396897,54.850100000000005
40,3,advan4,nonmem_scm,focei,VcBW,covariate_beta,1,80,-12.629249999999997,-26.858426975,40.82155,68.89148995251159,99.0134981
40,3,advan4,nonmem_scm,focei,TVCL,structural_intercept,0.6,100,-0.500083333333327,-0.07866333333332919,3.297749999999998,6.269168592671067,10.468383333333337
40,3,advan4,nonmem_scm,focei,TVVc,structural_intercept,20,100,1.7295000000000016,0.7321249999999999,6.564750000000004,9.550331087323622,14.543450000000007
40,3,advan4,nonmem_scm,focei,ResErr,structural_other,0.1,100,-0.6117994739211208,-0.09089716909741793,4.767472291865943,6.841281591886306,11.351237728712043
40,3,advan4,nonmem_scm,focei,TVKA,structural_other,0.7,100,0,0,0,0,0
40,3,advan4,nonmem_scm,focei,TVQ,structural_other,1.8,100,1.363055555555554,1.788633333333331,1.5061111111111092,3.0784133860332386,5.076222222222226
40,3,advan4,nonmem_scm,focei,TVVp,structural_other,80,100,0.36956250000000246,0.44408374999999967,1.1869375000000026,1.8826870364836923,3.3784999999999994
40,3,advan4,nonmem_scm,focei,cov_VcCL,structural_other,0.02,100,-7.983750000000005,-9.336686000000002,41.780499999999996,63.29211197711173,92.96548500000009
40,3,advan4,nonmem_scm,focei,var_CL,structural_other,0.1,100,-6.149000000000002,-4.5471870000000045,14.540300000000006,21.862134615130792,35.24893000000004
40,3,advan4,nonmem_scm,focei,var_Vc,structural_other,0.1,100,-13.943450000000002,-14.945148800000005,22.591600000000003,33.9793649296779,53.66179000000001
40,4,advan4,nonmem_scm,focei,VcBW,covariate_beta,1,75,-0.7516999999999996,1.4509566533333336,20.324999999999992,68.80417939592908,98.751744
40,4,advan4,nonmem_scm,focei,VcSEX,covariate_beta,0.4054651081081644,76,20.419248388455696,19.60303480430281,23.29158825259796,34.500093711405945,57.205470095857414
40,4,advan4,nonmem_scm,focei,TVCL,structural_intercept,0.6,100,0.9091666666666647,1.390555000000004,3.3124166666666697,5.6215272712977615,9.072833333333339
40,4,advan4,nonmem_scm,focei,TVVc,structural_intercept,20,100,1.787000000000001,3.2453299999999996,9.11975,12.494747416214544,19.113850000000003
40,4,advan4,nonmem_scm,focei,ResErr,structural_other,0.1,100,-1.378454834982952,-1.49633076935304,4.364685381268996,6.834907012579378,11.415599329344964
40,4,advan4,nonmem_scm,focei,TVKA,structural_other,0.7,100,0,0,0,0,0
40,4,advan4,nonmem_scm,focei,TVQ,structural_other,1.8,100,1.5719444444444421,1.5722055555555534,1.9577777777777743,2.856759589979224,4.850944444444444
40,4,advan4,nonmem_scm,focei,TVVp,structural_other,80,100,-0.0509999999999966,0.3101675000000002,1.3686250000000033,1.8505159533897568,3.0549500000000003
40,4,advan4,nonmem_scm,focei,cov_VcCL,structural_other,0.02,100,-6.9155,-13.686243150000003,39.41975,64.14674424682862,105.12459999999999
40,4,advan4,nonmem_scm,focei,var_CL,structural_other,0.1,100,-8.24740000000001,-5.699519000000004,19.796100000000006,23.65105988131822,37.4133
40,4,advan4,nonmem_scm,focei,var_Vc,structural_other,0.1,100,-8.974000000000009,-8.814781000000005,26.940099999999994,33.998239336649476,53.28836000000003
40,5,advan4,nonmem_scm,focei,CLcrCL,covariate_beta,0.5,90,-11.287999999999998,-24.76957131111111,19.299199999999995,52.90904496075895,99.0690484
40,5,advan4,nonmem_scm,focei,TVCL,structural_intercept,0.6,100,0.06950000000000937,0.13185666666666984,3.3470000000000075,5.228330848899634,9.120266666666673
40,5,advan4,nonmem_scm,focei,TVVc,structural_intercept,20,100,2.8554999999999975,2.6281099999999995,4.222999999999999,6.939292709275204,10.986400000000005
40,5,advan4,nonmem_scm,focei,ResErr,structural_other,0.1,100,0.2978916651239366,0.32419865806370063,4.341488123394361,6.6252070448597085,11.080628385588815
40,5,advan4,nonmem_scm,focei,TVKA,structural_other,0.7,100,0,0,0,0,0
40,5,advan4,nonmem_scm,focei,TVQ,structural_other,1.8,100,1.5569444444444425,1.8121166666666646,1.6461111111111073,2.6559215409122072,4.727555555555554
40,5,advan4,nonmem_scm,focei,TVVp,structural_other,80,100,0.4566249999999971,0.35000625,0.942437499999995,1.4391491594971133,2.2243500000000007
40,5,advan4,nonmem_scm,focei,cov_VcCL,structural_other,0.02,100,9.653249999999995,2.4482544999999987,57.121100000000006,65.75487446109769,103.3077
40,5,advan4,nonmem_scm,focei,var_CL,structural_other,0.1,100,-9.62735,-8.098630000000004,19.2743,25.16630991333851,39.65845000000001
40,5,advan4,nonmem_scm,focei,var_Vc,structural_other,0.1,100,-9.643450000000005,-9.369680800000005,27.795,39.23789960401428,66.50718000000002
40,6,advan4,nonmem_scm,focei,CLcrCL,covariate_beta,0.5,91,-2.964599999999995,-17.812778505494506,19.142799999999994,52.39184409349297,99.090542
40,6,advan4,nonmem_scm,focei,VcSEX,covariate_beta,0.4054651081081644,79,10.526839806953593,13.371417464760471,17.200759696755455,29.418759851231023,51.53086885291492
40,6,advan4,nonmem_scm,focei,TVCL,structural_intercept,0.6,100,-0.1707499999999973,0.17788666666666966,4.098333333333334,6.232254543189898,9.145083333333337
40,6,advan4,nonmem_scm,focei,TVVc,structural_intercept,20,100,1.3082500000000064,3.8514799999999996,7.03925,13.672698067499333,22.85405
40,6,advan4,nonmem_scm,focei,ResErr,structural_other,0.1,100,0.262157659836601,0.18799105354450507,4.210491305543497,6.225559355680233,10.412760474430044
40,6,advan4,nonmem_scm,focei,TVKA,structural_other,0.7,100,0,0,0,0,0
40,6,advan4,nonmem_scm,focei,TVQ,structural_other,1.8,100,1.3677777777777702,1.5185888888888863,1.8947222222222189,2.8846411324396932,4.692388888888887
40,6,advan4,nonmem_scm,focei,TVVp,structural_other,80,100,0.580937499999994,0.53907375,1.2848749999999942,1.8234696123136378,2.849287500000005
40,6,advan4,nonmem_scm,focei,cov_VcCL,structural_other,0.02,100,-10.04375000000001,-6.707540650000002,42.22575,67.81554407083043,103.31747500000003
40,6,advan4,nonmem_scm,focei,var_CL,structural_other,0.1,100,-10.721350000000005,-11.217218000000004,15.874000000000004,23.45752939283675,36.65057000000001
40,6,advan4,nonmem_scm,focei,var_Vc,structural_other,0.1,100,-11.02130000000001,-8.357584000000005,21.676950000000005,32.35921563346367,56.66580000000001
40,7,advan4,nonmem_scm,focei,CLcrCL,covariate_beta,0.5,88,-11.0228,-29.324049886363635,26.6918,58.63703280113056,99.13491020000001
40,7,advan4,nonmem_scm,focei,VcBW,covariate_beta,1,74,-16.9178,-35.035651337837834,32.7453,64.56091902505315,98.832194
