sample_N,scenario,structure,estimator,outer_opt,dataset_id,has_error,file_path
40,1,advan4,nonmem_scm,focei,1,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds1.rds
40,1,advan4,nonmem_scm,focei,2,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds2.rds
40,1,advan4,nonmem_scm,focei,3,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds3.rds
40,1,advan4,nonmem_scm,focei,4,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds4.rds
40,1,advan4,nonmem_scm,focei,5,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds5.rds
40,1,advan4,nonmem_scm,focei,6,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds6.rds
40,1,advan4,nonmem_scm,focei,7,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds7.rds
40,1,advan4,nonmem_scm,focei,8,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds8.rds
40,1,advan4,nonmem_scm,focei,9,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds9.rds
40,1,advan4,nonmem_scm,focei,10,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds10.rds
40,1,advan4,nonmem_scm,focei,11,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds11.rds
40,1,advan4,nonmem_scm,focei,12,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds12.rds
40,1,advan4,nonmem_scm,focei,13,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds13.rds
40,1,advan4,nonmem_scm,focei,14,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds14.rds
40,1,advan4,nonmem_scm,focei,15,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds15.rds
40,1,advan4,nonmem_scm,focei,16,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds16.rds
40,1,advan4,nonmem_scm,focei,17,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds17.rds
40,1,advan4,nonmem_scm,focei,18,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds18.rds
40,1,advan4,nonmem_scm,focei,19,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds19.rds
40,1,advan4,nonmem_scm,focei,20,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds20.rds
40,1,advan4,nonmem_scm,focei,21,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds21.rds
40,1,advan4,nonmem_scm,focei,22,FALSE,output/psn_scm_full0727/ResforAggregation1/N40/scn01_advan4/nonmem_scm_focei/res_ds22.rds
