sample_N,scenario,structure,estimator,outer_opt,N,n_exact,n_ok_cn,n_ok_min,n_exact_cn,n_exact_min,Power,PowerCN,PowerMinSuc
40,1,advan4,nonmem_scm,focei,100,85,27,85,23,72,0.85,0.8518518518518519,0.8470588235294118
40,2,advan4,nonmem_scm,focei,100,69,34,88,25,61,0.69,0.7352941176470589,0.6931818181818182
40,3,advan4,nonmem_scm,focei,100,37,20,83,9,32,0.37,0.45,0.3855421686746988
40,4,advan4,nonmem_scm,focei,100,36,21,80,4,28,0.36,0.19047619047619047,0.35
40,5,advan4,nonmem_scm,focei,100,58,24,87,12,51,0.58,0.5,0.5862068965517241
40,6,advan4,nonmem_scm,focei,100,46,23,84,7,35,0.46,0.30434782608695654,0.4166666666666667
40,7,advan4,nonmem_scm,focei,100,24,21,82,2,20,0.24,0.09523809523809523,0.24390243902439024
40,8,advan4,nonmem_scm,focei,100,14,24,82,4,12,0.14,0.16666666666666666,0.14634146341463414
40,9,advan4,nonmem_scm,focei,100,37,19,87,7,25,0.37,0.3684210526315789,0.28735632183908044
40,10,advan4,nonmem_scm,focei,100,22,19,87,3,16,0.22,0.15789473684210525,0.1839080459770115
40,11,advan4,nonmem_scm,focei,100,18,26,86,5,15,0.18,0.19230769230769232,0.1744186046511628
40,12,advan4,nonmem_scm,focei,100,15,17,80,1,14,0.15,0.058823529411764705,0.175
40,13,advan4,nonmem_scm,focei,100,16,21,86,3,13,0.16,0.14285714285714285,0.1511627906976744
40,14,advan4,nonmem_scm,focei,100,16,18,85,4,13,0.16,0.2222222222222222,0.15294117647058825
40,15,advan4,nonmem_scm,focei,100,5,22,82,0,3,0.05,0,0.036585365853658534
40,16,advan4,nonmem_scm,focei,100,4,18,87,0,3,0.04,0,0.034482758620689655
80,1,advan4,nonmem_scm,focei,100,82,46,89,35,76,0.82,0.7608695652173914,0.8539325842696629
80,2,advan4,nonmem_scm,focei,100,79,45,80,38,65,0.79,0.8444444444444444,0.8125
80,3,advan4,nonmem_scm,focei,100,62,48,86,35,54,0.62,0.7291666666666666,0.627906976744186
80,4,advan4,nonmem_scm,focei,100,56,34,78,17,43,0.56,0.5,0.5512820512820513
80,5,advan4,nonmem_scm,focei,100,68,32,87,22,57,0.68,0.6875,0.6551724137931034
80,6,advan4,nonmem_scm,focei,100,66,36,81,20,52,0.66,0.5555555555555556,0.6419753086419753
80,7,advan4,nonmem_scm,focei,100,50,28,90,13,44,0.5,0.4642857142857143,0.4888888888888889
80,8,advan4,nonmem_scm,focei,100,43,37,77,16,28,0.43,0.43243243243243246,0.36363636363636365
80,9,advan4,nonmem_scm,focei,100,46,27,85,11,34,0.46,0.4074074074074074,0.4
80,10,advan4,nonmem_scm,focei,100,50,35,84,11,38,0.5,0.3142857142857143,0.4523809523809524
80,11,advan4,nonmem_scm,focei,100,30,33,93,10,27,0.3,0.30303030303030304,0.2903225806451613
80,12,advan4,nonmem_scm,focei,100,19,32,84,6,13,0.19,0.1875,0.15476190476190477
80,13,advan4,nonmem_scm,focei,100,44,26,86,11,32,0.44,0.4230769230769231,0.37209302325581395
80,14,advan4,nonmem_scm,focei,100,44,28,82,14,33,0.44,0.5,0.4024390243902439
80,15,advan4,nonmem_scm,focei,100,28,25,89,8,20,0.28,0.32,0.2247191011235955
80,16,advan4,nonmem_scm,focei,100,21,27,81,2,16,0.21,0.07407407407407407,0.19753086419753085
300,1,advan4,nonmem_scm,focei,100,87,89,95,79,83,0.87,0.8876404494382022,0.8736842105263158
300,2,advan4,nonmem_scm,focei,100,82,81,93,69,77,0.82,0.8518518518518519,0.8279569892473119
300,3,advan4,nonmem_scm,focei,100,82,83,91,69,74,0.82,0.8313253012048193,0.8131868131868132
300,4,advan4,nonmem_scm,focei,100,80,79,91,64,75,0.8,0.810126582278481,0.8241758241758241
300,5,advan4,nonmem_scm,focei,100,81,87,90,71,74,0.81,0.8160919540229885,0.8222222222222222
300,6,advan4,nonmem_scm,focei,100,86,84,90,72,78,0.86,0.8571428571428571,0.8666666666666667
300,7,advan4,nonmem_scm,focei,100,65,83,92,54,59,0.65,0.6506024096385542,0.6413043478260869
300,8,advan4,nonmem_scm,focei,100,64,83,91,57,58,0.64,0.6867469879518072,0.6373626373626373
300,9,advan4,nonmem_scm,focei,100,58,73,93,45,55,0.58,0.6164383561643836,0.5913978494623656
300,10,advan4,nonmem_scm,focei,100,66,81,89,57,58,0.66,0.7037037037037037,0.651685393258427
300,11,advan4,nonmem_scm,focei,100,59,73,94,42,56,0.59,0.5753424657534246,0.5957446808510638
300,12,advan4,nonmem_scm,focei,100,56,78,87,43,46,0.56,0.5512820512820513,0.5287356321839081
300,13,advan4,nonmem_scm,focei,100,69,68,90,47,64,0.69,0.6911764705882353,0.7111111111111111
300,14,advan4,nonmem_scm,focei,100,64,70,86,40,53,0.64,0.5714285714285714,0.6162790697674418
300,15,advan4,nonmem_scm,focei,100,56,66,86,32,46,0.56,0.48484848484848486,0.5348837209302325
300,16,advan4,nonmem_scm,focei,100,51,65,76,29,37,0.51,0.4461538461538462,0.4868421052631579
40,1,ode,nonmem_scm,focei,100,86,0,60,0,56,0.86,,0.9333333333333333
40,2,ode,nonmem_scm,focei,100,69,0,43,0,30,0.69,,0.6976744186046512
40,3,ode,nonmem_scm,focei,100,37,0,68,0,24,0.37,,0.35294117647058826
40,4,ode,nonmem_scm,focei,100,31,0,49,0,16,0.31,,0.32653061224489793
40,5,ode,nonmem_scm,focei,100,55,0,65,0,38,0.55,,0.5846153846153846
40,6,ode,nonmem_scm,focei,100,44,0,53,0,26,0.44,,0.49056603773584906
40,7,ode,nonmem_scm,focei,100,21,0,56,0,10,0.21,,0.17857142857142858
40,8,ode,nonmem_scm,focei,100,13,0,47,0,5,0.13,,0.10638297872340426
40,9,ode,nonmem_scm,focei,100,35,0,55,0,18,0.35,,0.32727272727272727
40,10,ode,nonmem_scm,focei,100,25,0,55,0,13,0.25,,0.23636363636363636
40,11,ode,nonmem_scm,focei,100,18,0,56,0,7,0.18,,0.125
40,12,ode,nonmem_scm,focei,100,14,0,40,0,3,0.14,,0.075
40,13,ode,nonmem_scm,focei,100,16,0,55,0,11,0.16,,0.2
40,14,ode,nonmem_scm,focei,100,15,0,57,0,8,0.15,,0.14035087719298245
40,15,ode,nonmem_scm,focei,100,6,0,49,0,4,0.06,,0.08163265306122448
40,16,ode,nonmem_scm,focei,100,4,0,46,0,3,0.04,,0.06521739130434782
80,1,ode,nonmem_scm,focei,100,86,0,62,0,55,0.86,,0.8870967741935484
80,2,ode,nonmem_scm,focei,100,80,0,46,0,35,0.8,,0.7608695652173914
80,3,ode,nonmem_scm,focei,100,63,0,72,0,46,0.63,,0.6388888888888888
80,4,ode,nonmem_scm,focei,100,59,0,48,0,29,0.59,,0.6041666666666666
80,5,ode,nonmem_scm,focei,100,72,0,71,0,54,0.72,,0.7605633802816901
80,6,ode,nonmem_scm,focei,100,71,0,47,0,36,0.71,,0.7659574468085106
80,7,ode,nonmem_scm,focei,100,52,0,55,0,28,0.52,,0.509090909090909
80,8,ode,nonmem_scm,focei,100,43,0,44,0,14,0.43,,0.3181818181818182
