sample_N,scenario,structure,estimator,outer_opt,k,n_at_least_k,fraction_at_least_k,n_true
40,2,advan4,nonmem_scm,focei,1,83,0.83,1
40,3,advan4,nonmem_scm,focei,1,50,0.5,1
40,4,advan4,nonmem_scm,focei,1,96,0.96,2
40,4,advan4,nonmem_scm,focei,2,42,0.42,2
40,5,advan4,nonmem_scm,focei,1,67,0.67,1
40,6,advan4,nonmem_scm,focei,1,94,0.94,2
40,6,advan4,nonmem_scm,focei,2,54,0.54,2
40,7,advan4,nonmem_scm,focei,1,77,0.77,2
40,7,advan4,nonmem_scm,focei,2,28,0.28,2
40,8,advan4,nonmem_scm,focei,1,99,0.99,3
40,8,advan4,nonmem_scm,focei,2,72,0.72,3
40,8,advan4,nonmem_scm,focei,3,18,0.18,3
40,9,advan4,nonmem_scm,focei,1,43,0.43,1
40,10,advan4,nonmem_scm,focei,1,81,0.81,2
40,10,advan4,nonmem_scm,focei,2,27,0.27,2
40,11,advan4,nonmem_scm,focei,1,77,0.77,2
40,11,advan4,nonmem_scm,focei,2,24,0.24,2
40,12,advan4,nonmem_scm,focei,1,93,0.93,3
40,12,advan4,nonmem_scm,focei,2,52,0.52,3
40,12,advan4,nonmem_scm,focei,3,16,0.16,3
40,13,advan4,nonmem_scm,focei,1,76,0.76,2
40,13,advan4,nonmem_scm,focei,2,20,0.2,2
40,14,advan4,nonmem_scm,focei,1,94,0.94,3
40,14,advan4,nonmem_scm,focei,2,65,0.65,3
40,14,advan4,nonmem_scm,focei,3,18,0.18,3
40,15,advan4,nonmem_scm,focei,1,90,0.9,3
40,15,advan4,nonmem_scm,focei,2,48,0.48,3
40,15,advan4,nonmem_scm,focei,3,5,0.05,3
40,16,advan4,nonmem_scm,focei,1,99,0.99,4
40,16,advan4,nonmem_scm,focei,2,80,0.8,4
40,16,advan4,nonmem_scm,focei,3,37,0.37,4
40,16,advan4,nonmem_scm,focei,4,4,0.04,4
80,2,advan4,nonmem_scm,focei,1,97,0.97,1
80,3,advan4,nonmem_scm,focei,1,68,0.68,1
80,4,advan4,nonmem_scm,focei,1,99,0.99,2
80,4,advan4,nonmem_scm,focei,2,61,0.61,2
80,5,advan4,nonmem_scm,focei,1,82,0.82,1
80,6,advan4,nonmem_scm,focei,1,100,1,2
80,6,advan4,nonmem_scm,focei,2,80,0.8,2
80,7,advan4,nonmem_scm,focei,1,93,0.93,2
80,7,advan4,nonmem_scm,focei,2,56,0.56,2
80,8,advan4,nonmem_scm,focei,1,100,1,3
80,8,advan4,nonmem_scm,focei,2,90,0.9,3
80,8,advan4,nonmem_scm,focei,3,53,0.53,3
80,9,advan4,nonmem_scm,focei,1,52,0.52,1
80,10,advan4,nonmem_scm,focei,1,100,1,2
80,10,advan4,nonmem_scm,focei,2,56,0.56,2
80,11,advan4,nonmem_scm,focei,1,90,0.9,2
80,11,advan4,nonmem_scm,focei,2,36,0.36,2
80,12,advan4,nonmem_scm,focei,1,100,1,3
80,12,advan4,nonmem_scm,focei,2,76,0.76,3
80,12,advan4,nonmem_scm,focei,3,22,0.22,3
80,13,advan4,nonmem_scm,focei,1,90,0.9,2
80,13,advan4,nonmem_scm,focei,2,49,0.49,2
80,14,advan4,nonmem_scm,focei,1,100,1,3
80,14,advan4,nonmem_scm,focei,2,94,0.94,3
80,14,advan4,nonmem_scm,focei,3,46,0.46,3
80,15,advan4,nonmem_scm,focei,1,96,0.96,3
80,15,advan4,nonmem_scm,focei,2,67,0.67,3
80,15,advan4,nonmem_scm,focei,3,33,0.33,3
80,16,advan4,nonmem_scm,focei,1,100,1,4
80,16,advan4,nonmem_scm,focei,2,95,0.95,4
80,16,advan4,nonmem_scm,focei,3,70,0.7,4
80,16,advan4,nonmem_scm,focei,4,22,0.22,4
300,2,advan4,nonmem_scm,focei,1,100,1,1
300,3,advan4,nonmem_scm,focei,1,91,0.91,1
300,4,advan4,nonmem_scm,focei,1,100,1,2
300,4,advan4,nonmem_scm,focei,2,89,0.89,2
300,5,advan4,nonmem_scm,focei,1,96,0.96,1
300,6,advan4,nonmem_scm,focei,1,100,1,2
300,6,advan4,nonmem_scm,focei,2,94,0.94,2
300,7,advan4,nonmem_scm,focei,1,100,1,2
300,7,advan4,nonmem_scm,focei,2,74,0.74,2
300,8,advan4,nonmem_scm,focei,1,100,1,3
300,8,advan4,nonmem_scm,focei,2,99,0.99,3
300,8,advan4,nonmem_scm,focei,3,80,0.8,3
300,9,advan4,nonmem_scm,focei,1,76,0.76,1
300,10,advan4,nonmem_scm,focei,1,100,1,2
300,10,advan4,nonmem_scm,focei,2,81,0.81,2
300,11,advan4,nonmem_scm,focei,1,98,0.98,2
300,11,advan4,nonmem_scm,focei,2,69,0.69,2
300,12,advan4,nonmem_scm,focei,1,100,1,3
300,12,advan4,nonmem_scm,focei,2,94,0.94,3
300,12,advan4,nonmem_scm,focei,3,67,0.67,3
300,13,advan4,nonmem_scm,focei,1,100,1,2
300,13,advan4,nonmem_scm,focei,2,79,0.79,2
300,14,advan4,nonmem_scm,focei,1,100,1,3
300,14,advan4,nonmem_scm,focei,2,100,1,3
300,14,advan4,nonmem_scm,focei,3,75,0.75,3
300,15,advan4,nonmem_scm,focei,1,100,1,3
300,15,advan4,nonmem_scm,focei,2,92,0.92,3
300,15,advan4,nonmem_scm,focei,3,59,0.59,3
300,16,advan4,nonmem_scm,focei,1,100,1,4
300,16,advan4,nonmem_scm,focei,2,100,1,4
300,16,advan4,nonmem_scm,focei,3,95,0.95,4
300,16,advan4,nonmem_scm,focei,4,58,0.58,4
40,2,ode,nonmem_scm,focei,1,83,0.83,1
40,3,ode,nonmem_scm,focei,1,50,0.5,1
40,4,ode,nonmem_scm,focei,1,95,0.95,2
40,4,ode,nonmem_scm,focei,2,39,0.39,2
40,5,ode,nonmem_scm,focei,1,63,0.63,1
40,6,ode,nonmem_scm,focei,1,93,0.93,2
40,6,ode,nonmem_scm,focei,2,54,0.54,2
40,7,ode,nonmem_scm,focei,1,76,0.76,2
40,7,ode,nonmem_scm,focei,2,27,0.27,2
40,8,ode,nonmem_scm,focei,1,99,0.99,3
40,8,ode,nonmem_scm,focei,2,73,0.73,3
40,8,ode,nonmem_scm,focei,3,19,0.19,3
40,9,ode,nonmem_scm,focei,1,40,0.4,1
40,10,ode,nonmem_scm,focei,1,79,0.79,2
40,10,ode,nonmem_scm,focei,2,30,0.3,2
40,11,ode,nonmem_scm,focei,1,78,0.78,2
40,11,ode,nonmem_scm,focei,2,23,0.23,2
40,12,ode,nonmem_scm,focei,1,93,0.93,3
40,12,ode,nonmem_scm,focei,2,47,0.47,3
40,12,ode,nonmem_scm,focei,3,15,0.15,3
40,13,ode,nonmem_scm,focei,1,73,0.73,2
40,13,ode,nonmem_scm,focei,2,19,0.19,2
40,14,ode,nonmem_scm,focei,1,97,0.97,3
40,14,ode,nonmem_scm,focei,2,66,0.66,3
40,14,ode,nonmem_scm,focei,3,17,0.17,3
40,15,ode,nonmem_scm,focei,1,87,0.87,3
40,15,ode,nonmem_scm,focei,2,44,0.44,3
40,15,ode,nonmem_scm,focei,3,7,0.07,3
40,16,ode,nonmem_scm,focei,1,100,1,4
40,16,ode,nonmem_scm,focei,2,84,0.84,4
40,16,ode,nonmem_scm,focei,3,43,0.43,4
40,16,ode,nonmem_scm,focei,4,4,0.04,4
80,2,ode,nonmem_scm,focei,1,97,0.97,1
80,3,ode,nonmem_scm,focei,1,70,0.7,1
80,4,ode,nonmem_scm,focei,1,99,0.99,2
80,4,ode,nonmem_scm,focei,2,64,0.64,2
80,5,ode,nonmem_scm,focei,1,84,0.84,1
80,6,ode,nonmem_scm,focei,1,99,0.99,2
80,6,ode,nonmem_scm,focei,2,83,0.83,2
80,7,ode,nonmem_scm,focei,1,89,0.89,2
80,7,ode,nonmem_scm,focei,2,56,0.56,2
80,8,ode,nonmem_scm,focei,1,99,0.99,3
80,8,ode,nonmem_scm,focei,2,87,0.87,3
80,8,ode,nonmem_scm,focei,3,50,0.5,3
80,9,ode,nonmem_scm,focei,1,48,0.48,1
80,10,ode,nonmem_scm,focei,1,96,0.96,2
80,10,ode,nonmem_scm,focei,2,51,0.51,2
80,11,ode,nonmem_scm,focei,1,86,0.86,2
80,11,ode,nonmem_scm,focei,2,36,0.36,2
80,12,ode,nonmem_scm,focei,1,100,1,3
80,12,ode,nonmem_scm,focei,2,74,0.74,3
80,12,ode,nonmem_scm,focei,3,26,0.26,3
80,13,ode,nonmem_scm,focei,1,88,0.88,2
80,13,ode,nonmem_scm,focei,2,46,0.46,2
80,14,ode,nonmem_scm,focei,1,100,1,3
80,14,ode,nonmem_scm,focei,2,93,0.93,3
80,14,ode,nonmem_scm,focei,3,45,0.45,3
80,15,ode,nonmem_scm,focei,1,94,0.94,3
80,15,ode,nonmem_scm,focei,2,68,0.68,3
80,15,ode,nonmem_scm,focei,3,35,0.35,3
80,16,ode,nonmem_scm,focei,1,100,1,4
80,16,ode,nonmem_scm,focei,2,94,0.94,4
80,16,ode,nonmem_scm,focei,3,69,0.69,4
80,16,ode,nonmem_scm,focei,4,20,0.2,4
300,2,ode,nonmem_scm,focei,1,100,1,1
300,3,ode,nonmem_scm,focei,1,92,0.92,1
300,4,ode,nonmem_scm,focei,1,100,1,2
300,4,ode,nonmem_scm,focei,2,87,0.87,2
300,5,ode,nonmem_scm,focei,1,94,0.94,1
300,6,ode,nonmem_scm,focei,1,100,1,2
300,6,ode,nonmem_scm,focei,2,93,0.93,2
300,7,ode,nonmem_scm,focei,1,100,1,2
300,7,ode,nonmem_scm,focei,2,77,0.77,2
300,8,ode,nonmem_scm,focei,1,100,1,3
300,8,ode,nonmem_scm,focei,2,98,0.98,3
300,8,ode,nonmem_scm,focei,3,83,0.83,3
300,9,ode,nonmem_scm,focei,1,78,0.78,1
300,10,ode,nonmem_scm,focei,1,100,1,2
300,10,ode,nonmem_scm,focei,2,83,0.83,2
300,11,ode,nonmem_scm,focei,1,98,0.98,2
300,11,ode,nonmem_scm,focei,2,73,0.73,2
300,12,ode,nonmem_scm,focei,1,100,1,3
300,12,ode,nonmem_scm,focei,2,92,0.92,3
300,12,ode,nonmem_scm,focei,3,65,0.65,3
300,13,ode,nonmem_scm,focei,1,99,0.99,2
300,13,ode,nonmem_scm,focei,2,75,0.75,2
300,14,ode,nonmem_scm,focei,1,100,1,3
300,14,ode,nonmem_scm,focei,2,98,0.98,3
300,14,ode,nonmem_scm,focei,3,74,0.74,3
300,15,ode,nonmem_scm,focei,1,100,1,3
300,15,ode,nonmem_scm,focei,2,91,0.91,3
300,15,ode,nonmem_scm,focei,3,60,0.6,3
300,16,ode,nonmem_scm,focei,1,100,1,4
300,16,ode,nonmem_scm,focei,2,100,1,4
300,16,ode,nonmem_scm,focei,3,95,0.95,4
300,16,ode,nonmem_scm,focei,4,57,0.57,4
