sample_N,scenario,structure,estimator,outer_opt,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
40,1,linCmt,focei,bobyqa,cl,BW,lin,1,FALSE,1,1,0,0,1
40,1,linCmt,focei,bobyqa,cl,CrCL,lin,1,FALSE,1,1,0,0,1
40,1,linCmt,focei,bobyqa,cl,CrCL,power,1,FALSE,1,1,0,0,1
40,1,linCmt,focei,bobyqa,cl,RACE,cat,1,FALSE,1,1,0,0,1
40,1,linCmt,focei,bobyqa,vc,BMI,lin,1,FALSE,1,1,0,0,1
40,1,linCmt,focei,bobyqa,vc,BMI,power,2,FALSE,2,1,0,0,2
40,1,linCmt,focei,bobyqa,vc,BW,lin,1,FALSE,1,1,0,0,1
40,1,linCmt,focei,bobyqa,vc,CrCL,power,1,FALSE,1,1,0,0,1
40,1,linCmt,focei,bobyqa,vc,SEX,cat,1,FALSE,1,1,0,0,1
40,1,ode,focei,bobyqa,cl,BW,lin,1,FALSE,1,1,0,0,1
40,1,ode,focei,bobyqa,cl,CrCL,lin,1,FALSE,1,1,0,0,1
40,1,ode,focei,bobyqa,cl,CrCL,power,1,FALSE,1,1,0,0,1
40,1,ode,focei,bobyqa,cl,RACE,cat,1,FALSE,1,1,0,0,1
40,1,ode,focei,bobyqa,vc,BMI,lin,1,FALSE,1,1,0,0,1
40,1,ode,focei,bobyqa,vc,BMI,power,2,FALSE,2,1,0,0,2
40,1,ode,focei,bobyqa,vc,BW,lin,1,FALSE,1,1,0,0,1
40,1,ode,focei,bobyqa,vc,CrCL,power,1,FALSE,1,1,0,0,1
40,2,linCmt,focei,bobyqa,vc,SEX,cat,100,TRUE,82,0.82,82,18,0
40,2,linCmt,focei,bobyqa,cl,BMI,power,1,FALSE,1,1,0,0,1
40,2,linCmt,focei,bobyqa,cl,CrCL,power,1,FALSE,1,1,0,0,1
40,2,linCmt,focei,bobyqa,cl,RACE,cat,1,FALSE,1,1,0,0,1
40,2,linCmt,focei,bobyqa,cl,SEX,cat,1,FALSE,1,1,0,0,1
40,2,linCmt,focei,bobyqa,vc,BMI,lin,1,FALSE,1,1,0,0,1
40,2,linCmt,focei,bobyqa,vc,BMI,power,2,FALSE,2,1,0,0,2
40,2,linCmt,focei,bobyqa,vc,BW,power,1,FALSE,1,1,0,0,1
40,2,linCmt,focei,bobyqa,vc,CrCL,power,1,FALSE,1,1,0,0,1
40,2,linCmt,focei,bobyqa,vc,RACE,cat,3,FALSE,3,1,0,0,3
40,2,ode,focei,bobyqa,vc,SEX,cat,100,TRUE,82,0.82,82,18,0
40,2,ode,focei,bobyqa,cl,BMI,power,1,FALSE,1,1,0,0,1
40,2,ode,focei,bobyqa,cl,CrCL,power,1,FALSE,1,1,0,0,1
40,2,ode,focei,bobyqa,cl,RACE,cat,1,FALSE,1,1,0,0,1
40,2,ode,focei,bobyqa,cl,SEX,cat,1,FALSE,1,1,0,0,1
40,2,ode,focei,bobyqa,vc,BMI,lin,1,FALSE,1,1,0,0,1
40,2,ode,focei,bobyqa,vc,BMI,power,2,FALSE,2,1,0,0,2
40,2,ode,focei,bobyqa,vc,BW,power,1,FALSE,1,1,0,0,1
40,2,ode,focei,bobyqa,vc,CrCL,power,1,FALSE,1,1,0,0,1
40,2,ode,focei,bobyqa,vc,RACE,cat,3,FALSE,3,1,0,0,3
40,3,linCmt,focei,bobyqa,vc,BW,power,100,TRUE,51,0.51,51,49,0
40,3,linCmt,focei,bobyqa,cl,BMI,lin,1,FALSE,1,1,0,0,1
40,3,linCmt,focei,bobyqa,cl,BMI,power,1,FALSE,1,1,0,0,1
40,3,linCmt,focei,bobyqa,cl,BW,power,1,FALSE,1,1,0,0,1
40,3,linCmt,focei,bobyqa,cl,CrCL,power,3,FALSE,3,1,0,0,3
40,3,linCmt,focei,bobyqa,cl,RACE,cat,4,FALSE,4,1,0,0,4
40,3,linCmt,focei,bobyqa,cl,SEX,cat,5,FALSE,5,1,0,0,5
40,3,linCmt,focei,bobyqa,vc,BMI,lin,9,FALSE,9,1,0,0,9
40,3,linCmt,focei,bobyqa,vc,BMI,power,11,FALSE,11,1,0,0,11
40,3,linCmt,focei,bobyqa,vc,BW,lin,28,FALSE,28,1,0,0,28
40,3,linCmt,focei,bobyqa,vc,CrCL,lin,1,FALSE,1,1,0,0,1
40,3,linCmt,focei,bobyqa,vc,CrCL,power,2,FALSE,2,1,0,0,2
40,3,linCmt,focei,bobyqa,vc,RACE,cat,3,FALSE,3,1,0,0,3
40,3,linCmt,focei,bobyqa,vc,SEX,cat,1,FALSE,1,1,0,0,1
40,3,ode,focei,bobyqa,vc,BW,power,100,TRUE,56,0.56,56,44,0
40,3,ode,focei,bobyqa,cl,BMI,lin,1,FALSE,1,1,0,0,1
40,3,ode,focei,bobyqa,cl,BMI,power,1,FALSE,1,1,0,0,1
40,3,ode,focei,bobyqa,cl,BW,power,1,FALSE,1,1,0,0,1
40,3,ode,focei,bobyqa,cl,CrCL,power,3,FALSE,3,1,0,0,3
40,3,ode,focei,bobyqa,cl,RACE,cat,3,FALSE,3,1,0,0,3
40,3,ode,focei,bobyqa,cl,SEX,cat,5,FALSE,5,1,0,0,5
40,3,ode,focei,bobyqa,vc,BMI,lin,9,FALSE,9,1,0,0,9
40,3,ode,focei,bobyqa,vc,BMI,power,11,FALSE,11,1,0,0,11
40,3,ode,focei,bobyqa,vc,BW,lin,23,FALSE,23,1,0,0,23
40,3,ode,focei,bobyqa,vc,CrCL,lin,1,FALSE,1,1,0,0,1
40,3,ode,focei,bobyqa,vc,CrCL,power,2,FALSE,2,1,0,0,2
40,3,ode,focei,bobyqa,vc,RACE,cat,3,FALSE,3,1,0,0,3
40,3,ode,focei,bobyqa,vc,SEX,cat,1,FALSE,1,1,0,0,1
40,4,linCmt,focei,bobyqa,vc,BW,power,100,TRUE,68,0.68,68,32,0
40,4,linCmt,focei,bobyqa,vc,SEX,cat,100,TRUE,75,0.75,75,25,0
40,4,linCmt,focei,bobyqa,cl,BMI,lin,1,FALSE,1,1,0,0,1
40,4,linCmt,focei,bobyqa,cl,BMI,power,2,FALSE,2,1,0,0,2
40,4,linCmt,focei,bobyqa,cl,BW,lin,2,FALSE,2,1,0,0,2
40,4,linCmt,focei,bobyqa,cl,BW,power,1,FALSE,1,1,0,0,1
40,4,linCmt,focei,bobyqa,cl,CrCL,power,1,FALSE,1,1,0,0,1
40,4,linCmt,focei,bobyqa,cl,RACE,cat,2,FALSE,2,1,0,0,2
40,4,linCmt,focei,bobyqa,cl,SEX,cat,1,FALSE,1,1,0,0,1
40,4,linCmt,focei,bobyqa,vc,BMI,lin,5,FALSE,5,1,0,0,5
40,4,linCmt,focei,bobyqa,vc,BMI,power,15,FALSE,15,1,0,0,15
40,4,linCmt,focei,bobyqa,vc,BW,lin,11,FALSE,11,1,0,0,11
40,4,linCmt,focei,bobyqa,vc,CrCL,lin,3,FALSE,3,1,0,0,3
40,4,linCmt,focei,bobyqa,vc,CrCL,power,2,FALSE,2,1,0,0,2
40,4,linCmt,focei,bobyqa,vc,RACE,cat,4,FALSE,4,1,0,0,4
40,4,ode,focei,bobyqa,vc,BW,power,100,TRUE,69,0.69,69,31,0
40,4,ode,focei,bobyqa,vc,SEX,cat,100,TRUE,74,0.74,74,26,0
40,4,ode,focei,bobyqa,cl,BMI,lin,1,FALSE,1,1,0,0,1
40,4,ode,focei,bobyqa,cl,BMI,power,2,FALSE,2,1,0,0,2
40,4,ode,focei,bobyqa,cl,BW,lin,2,FALSE,2,1,0,0,2
40,4,ode,focei,bobyqa,cl,BW,power,1,FALSE,1,1,0,0,1
40,4,ode,focei,bobyqa,cl,CrCL,power,1,FALSE,1,1,0,0,1
40,4,ode,focei,bobyqa,cl,RACE,cat,2,FALSE,2,1,0,0,2
40,4,ode,focei,bobyqa,cl,SEX,cat,2,FALSE,2,1,0,0,2
40,4,ode,focei,bobyqa,vc,BMI,lin,4,FALSE,4,1,0,0,4
40,4,ode,focei,bobyqa,vc,BMI,power,16,FALSE,16,1,0,0,16
40,4,ode,focei,bobyqa,vc,BW,lin,10,FALSE,10,1,0,0,10
40,4,ode,focei,bobyqa,vc,CrCL,lin,3,FALSE,3,1,0,0,3
40,4,ode,focei,bobyqa,vc,CrCL,power,1,FALSE,1,1,0,0,1
40,4,ode,focei,bobyqa,vc,RACE,cat,4,FALSE,4,1,0,0,4
40,5,linCmt,focei,bobyqa,cl,CrCL,power,100,TRUE,65,0.65,65,35,0
40,5,linCmt,focei,bobyqa,cl,BW,power,1,FALSE,1,1,0,0,1
40,5,linCmt,focei,bobyqa,cl,CrCL,lin,23,FALSE,23,1,0,0,23
40,5,linCmt,focei,bobyqa,cl,RACE,cat,1,FALSE,1,1,0,0,1
40,5,linCmt,focei,bobyqa,vc,BMI,lin,2,FALSE,2,1,0,0,2
40,5,linCmt,focei,bobyqa,vc,BMI,power,3,FALSE,3,1,0,0,3
40,5,linCmt,focei,bobyqa,vc,BW,lin,1,FALSE,1,1,0,0,1
40,5,linCmt,focei,bobyqa,vc,BW,power,2,FALSE,2,1,0,0,2
40,5,linCmt,focei,bobyqa,vc,CrCL,lin,1,FALSE,1,1,0,0,1
40,5,linCmt,focei,bobyqa,vc,CrCL,power,2,FALSE,2,1,0,0,2
40,5,linCmt,focei,bobyqa,vc,RACE,cat,2,FALSE,2,1,0,0,2
40,5,ode,focei,bobyqa,cl,CrCL,power,100,TRUE,62,0.62,62,38,0
40,5,ode,focei,bobyqa,cl,BW,power,1,FALSE,1,1,0,0,1
40,5,ode,focei,bobyqa,cl,CrCL,lin,26,FALSE,26,1,0,0,26
40,5,ode,focei,bobyqa,cl,RACE,cat,1,FALSE,1,1,0,0,1
40,5,ode,focei,bobyqa,vc,BMI,lin,1,FALSE,1,1,0,0,1
40,5,ode,focei,bobyqa,vc,BMI,power,2,FALSE,2,1,0,0,2
40,5,ode,focei,bobyqa,vc,BW,lin,1,FALSE,1,1,0,0,1
40,5,ode,focei,bobyqa,vc,BW,power,4,FALSE,4,1,0,0,4
40,5,ode,focei,bobyqa,vc,CrCL,lin,2,FALSE,2,1,0,0,2
40,5,ode,focei,bobyqa,vc,CrCL,power,2,FALSE,2,1,0,0,2
40,5,ode,focei,bobyqa,vc,RACE,cat,2,FALSE,2,1,0,0,2
40,6,linCmt,focei,bobyqa,cl,CrCL,power,100,TRUE,69,0.69,69,31,0
40,6,linCmt,focei,bobyqa,vc,SEX,cat,100,TRUE,78,0.78,78,22,0
40,6,linCmt,focei,bobyqa,cl,BMI,lin,3,FALSE,3,1,0,0,3
40,6,linCmt,focei,bobyqa,cl,BMI,power,1,FALSE,1,1,0,0,1
40,6,linCmt,focei,bobyqa,cl,BW,lin,1,FALSE,1,1,0,0,1
40,6,linCmt,focei,bobyqa,cl,BW,power,1,FALSE,1,1,0,0,1
40,6,linCmt,focei,bobyqa,cl,CrCL,lin,25,FALSE,25,1,0,0,25
40,6,linCmt,focei,bobyqa,cl,RACE,cat,1,FALSE,1,1,0,0,1
40,6,linCmt,focei,bobyqa,cl,SEX,cat,1,FALSE,1,1,0,0,1
40,6,linCmt,focei,bobyqa,vc,BMI,lin,1,FALSE,1,1,0,0,1
40,6,linCmt,focei,bobyqa,vc,BMI,power,1,FALSE,1,1,0,0,1
40,6,linCmt,focei,bobyqa,vc,BW,power,1,FALSE,1,1,0,0,1
40,6,linCmt,focei,bobyqa,vc,CrCL,power,2,FALSE,2,1,0,0,2
40,6,ode,focei,bobyqa,cl,CrCL,power,100,TRUE,68,0.68,68,32,0
40,6,ode,focei,bobyqa,vc,SEX,cat,100,TRUE,79,0.79,79,21,0
