sample_N,scenario,structure,estimator,outer_opt,parameter,param_class,true_value,n_used,MedRE_pct,MeanRE_pct,MARE_pct,RMRSE_pct,P90AbsRE_pct
40,1,linCmt,focei,bobyqa,TVCL,structural_intercept,0.6,90,1.1892521659943127,0.9186113686861915,4.090564154909641,5.441833164158937,8.823756369366507
40,1,linCmt,focei,bobyqa,TVVc,structural_intercept,20,90,1.0807504100079868,1.5771839787591322,4.665740124887501,6.9453972681523455,11.0495154117266
40,1,linCmt,focei,bobyqa,ResErr,structural_other,0.1,90,0.7531361942866577,1.7079266610817347,4.41835196181467,7.555923942263671,12.518696019553849
40,1,linCmt,focei,bobyqa,TVKA,structural_other,0.7,90,0,0,0,0,0
40,1,linCmt,focei,bobyqa,TVQ,structural_other,1.8,90,2.3036624603069495,2.3350898780765164,2.5565499125493947,3.069276564909304,4.73865490790276
40,1,linCmt,focei,bobyqa,TVVp,structural_other,80,90,0.7433126965601478,0.7328656619703505,1.2660167489639207,1.908772039585753,2.8489808731827186
40,1,linCmt,focei,bobyqa,cov_VcCL,structural_other,0.02,90,-13.390518589936478,-11.434366883681095,42.2758614075815,63.40635523687874,98.75267537338944
40,1,linCmt,focei,bobyqa,var_CL,structural_other,0.1,90,-5.279339810094,-3.6883096729865685,15.525822945214701,23.815980829871275,39.54340976046395
40,1,linCmt,focei,bobyqa,var_Vc,structural_other,0.1,90,-12.449815163188175,-12.873397279083834,22.646431256717822,35.85685439991551,65.41429157524192
40,1,ode,focei,bobyqa,TVCL,structural_intercept,0.6,91,1.0725310351115496,0.8674964613704859,4.035747291212403,5.406437905092256,8.681589127212767
40,1,ode,focei,bobyqa,TVVc,structural_intercept,20,91,1.1637776539528133,1.5688294304529848,4.62485788135611,6.911507879252271,11.094217172536833
40,1,ode,focei,bobyqa,ResErr,structural_other,0.1,91,0.8054635518636444,1.632938857564753,4.506546654104452,7.401049999949046,12.56168289967391
40,1,ode,focei,bobyqa,TVKA,structural_other,0.7,91,0,0,0,0,0
40,1,ode,focei,bobyqa,TVQ,structural_other,1.8,91,2.283937746523702,2.3128125510562985,2.5080144532944293,3.0426980268343318,4.69516655014568
40,1,ode,focei,bobyqa,TVVp,structural_other,80,91,0.7181620446837655,0.731245315156416,1.2676585243196925,1.9004911471961854,2.7956198770282725
40,1,ode,focei,bobyqa,cov_VcCL,structural_other,0.02,91,-15.583495146618676,-11.810126457386305,41.03849223500459,63.923308166908846,103.37783555582057
40,1,ode,focei,bobyqa,var_CL,structural_other,0.1,91,-5.399581414550034,-3.353091500070307,15.696614500998157,23.908904969516545,39.89054049391771
40,1,ode,focei,bobyqa,var_Vc,structural_other,0.1,91,-12.16232968199274,-12.116965636925908,23.310816606283257,35.11547108377005,60.26016589571154
40,2,linCmt,focei,bobyqa,VcSEX,covariate_beta,0.4054651081081644,73,12.566540081610423,13.525596055724117,16.9200384795171,27.475379618060757,46.07310608899705
40,2,linCmt,focei,bobyqa,TVCL,structural_intercept,0.6,73,1.7259169304422728,0.9020020228350949,3.4565673483730373,5.093388820561255,8.342899000801008
40,2,linCmt,focei,bobyqa,TVVc,structural_intercept,20,73,-0.7582729731713833,-0.3715651160219553,6.5736998168953775,8.605530096294947,13.765715055856761
40,2,linCmt,focei,bobyqa,ResErr,structural_other,0.1,73,-0.5094848313660777,-0.9192657772716698,5.0466017715338625,7.005662204988174,11.991039593555739
40,2,linCmt,focei,bobyqa,TVKA,structural_other,0.7,73,4.7580986769649564e-14,4.7580986769649564e-14,4.7580986769649564e-14,4.7580986769649564e-14,4.7580986769649564e-14
40,2,linCmt,focei,bobyqa,TVQ,structural_other,1.8,73,1.3896858227166649,1.4042407355021733,1.7146513222744284,2.884487054794177,4.540632333025595
40,2,linCmt,focei,bobyqa,TVVp,structural_other,80,73,-0.014580138268414089,0.018758490175688928,0.9237874386382748,1.4875374808694473,2.4150809667292097
