sample_N,scenario,structure,estimator,outer_opt,N,n_exact,n_ok_cn,n_ok_min,n_exact_cn,n_exact_min,Power,PowerCN,PowerMinSuc
40,1,linCmt,focei,bobyqa,100,90,100,100,90,90,0.9,0.9,0.9
40,1,ode,focei,bobyqa,100,91,100,100,91,91,0.91,0.91,0.91
40,2,linCmt,focei,bobyqa,100,73,100,100,73,73,0.73,0.73,0.73
40,2,ode,focei,bobyqa,100,73,100,100,73,73,0.73,0.73,0.73
40,3,linCmt,focei,bobyqa,100,40,100,100,40,40,0.4,0.4,0.4
40,3,ode,focei,bobyqa,100,45,100,100,45,45,0.45,0.45,0.45
40,4,linCmt,focei,bobyqa,100,41,100,100,41,41,0.41,0.41,0.41
40,4,ode,focei,bobyqa,100,40,100,100,40,40,0.4,0.4,0.4
40,5,linCmt,focei,bobyqa,100,58,100,100,58,58,0.58,0.58,0.58
40,5,ode,focei,bobyqa,100,57,100,100,57,57,0.57,0.57,0.57
40,6,linCmt,focei,bobyqa,100,51,100,100,51,51,0.51,0.51,0.51
40,6,ode,focei,bobyqa,100,50,100,100,50,50,0.5,0.5,0.5
40,7,linCmt,focei,bobyqa,100,22,99,99,22,22,0.22,0.2222222222222222,0.2222222222222222
40,7,ode,focei,bobyqa,100,24,98,98,24,24,0.24,0.24489795918367346,0.24489795918367346
40,8,linCmt,focei,bobyqa,100,23,100,100,23,23,0.23,0.23,0.23
40,8,ode,focei,bobyqa,100,23,100,100,23,23,0.23,0.23,0.23
40,9,linCmt,focei,bobyqa,100,40,100,100,40,40,0.4,0.4,0.4
40,9,ode,focei,bobyqa,100,39,100,100,39,39,0.39,0.39,0.39
40,10,linCmt,focei,bobyqa,100,21,100,100,21,21,0.21,0.21,0.21
40,10,ode,focei,bobyqa,100,20,100,100,20,20,0.2,0.2,0.2
40,11,linCmt,focei,bobyqa,100,17,99,99,17,17,0.17,0.1717171717171717,0.1717171717171717
40,11,ode,focei,bobyqa,100,16,100,100,16,16,0.16,0.16,0.16
40,12,linCmt,focei,bobyqa,100,12,100,100,12,12,0.12,0.12,0.12
40,12,ode,focei,bobyqa,100,9,99,100,9,9,0.09,0.09090909090909091,0.09
40,13,linCmt,focei,bobyqa,100,13,100,100,13,13,0.13,0.13,0.13
40,13,ode,focei,bobyqa,100,13,99,100,13,13,0.13,0.13131313131313133,0.13
40,14,linCmt,focei,bobyqa,100,13,100,100,13,13,0.13,0.13,0.13
40,14,ode,focei,bobyqa,100,13,100,100,13,13,0.13,0.13,0.13
40,15,linCmt,focei,bobyqa,100,5,99,99,5,5,0.05,0.050505050505050504,0.050505050505050504
40,15,ode,focei,bobyqa,100,3,99,99,3,3,0.03,0.030303030303030304,0.030303030303030304
40,16,linCmt,focei,bobyqa,100,4,99,99,4,4,0.04,0.04040404040404041,0.04040404040404041
40,16,ode,focei,bobyqa,100,4,99,99,4,4,0.04,0.04040404040404041,0.04040404040404041
80,1,linCmt,focei,bobyqa,100,90,100,100,90,90,0.9,0.9,0.9
80,1,ode,focei,bobyqa,100,90,100,100,90,90,0.9,0.9,0.9
80,2,linCmt,focei,bobyqa,100,86,100,100,86,86,0.86,0.86,0.86
80,2,ode,focei,bobyqa,100,86,100,100,86,86,0.86,0.86,0.86
80,3,linCmt,focei,bobyqa,100,65,100,100,65,65,0.65,0.65,0.65
80,3,ode,focei,bobyqa,100,66,100,100,66,66,0.66,0.66,0.66
80,4,linCmt,focei,bobyqa,100,72,100,100,72,72,0.72,0.72,0.72
80,4,ode,focei,bobyqa,100,76,100,100,76,76,0.76,0.76,0.76
80,5,linCmt,focei,bobyqa,100,72,100,100,72,72,0.72,0.72,0.72
80,5,ode,focei,bobyqa,100,71,100,100,71,71,0.71,0.71,0.71
80,6,linCmt,focei,bobyqa,100,71,100,100,71,71,0.71,0.71,0.71
80,6,ode,focei,bobyqa,100,69,100,100,69,69,0.69,0.69,0.69
80,7,linCmt,focei,bobyqa,100,53,100,100,53,53,0.53,0.53,0.53
80,7,ode,focei,bobyqa,100,55,97,97,55,55,0.55,0.5670103092783505,0.5670103092783505
80,8,linCmt,focei,bobyqa,100,52,99,99,52,52,0.52,0.5252525252525253,0.5252525252525253
80,8,ode,focei,bobyqa,100,50,97,99,50,50,0.5,0.5154639175257731,0.5050505050505051
80,9,linCmt,focei,bobyqa,100,49,100,100,49,49,0.49,0.49,0.49
80,9,ode,focei,bobyqa,100,50,100,100,50,50,0.5,0.5,0.5
80,10,linCmt,focei,bobyqa,100,51,100,100,51,51,0.51,0.51,0.51
80,10,ode,focei,bobyqa,100,50,100,100,50,50,0.5,0.5,0.5
80,11,linCmt,focei,bobyqa,100,31,99,99,31,31,0.31,0.31313131313131315,0.31313131313131315
80,11,ode,focei,bobyqa,100,21,100,100,21,21,0.21,0.21,0.21
80,12,linCmt,focei,bobyqa,100,23,99,99,23,23,0.23,0.23232323232323232,0.23232323232323232
80,12,ode,focei,bobyqa,100,21,100,100,21,21,0.21,0.21,0.21
80,13,linCmt,focei,bobyqa,100,33,99,99,33,33,0.33,0.3333333333333333,0.3333333333333333
80,13,ode,focei,bobyqa,100,35,95,99,35,35,0.35,0.3684210526315789,0.35353535353535354
80,14,linCmt,focei,bobyqa,100,41,99,99,41,41,0.41,0.41414141414141414,0.41414141414141414
80,14,ode,focei,bobyqa,100,32,97,99,32,32,0.32,0.32989690721649484,0.32323232323232326
80,15,linCmt,focei,bobyqa,100,25,100,100,25,25,0.25,0.25,0.25
80,15,ode,focei,bobyqa,100,14,97,99,14,14,0.14,0.14432989690721648,0.1414141414141414
80,16,linCmt,focei,bobyqa,100,19,98,99,19,19,0.19,0.19387755102040816,0.1919191919191919
80,16,ode,focei,bobyqa,100,16,97,97,16,16,0.16,0.16494845360824742,0.16494845360824742
300,1,linCmt,focei,bobyqa,100,90,99,99,90,90,0.9,0.9090909090909091,0.9090909090909091
300,1,ode,focei,bobyqa,100,91,100,100,91,91,0.91,0.91,0.91
300,2,linCmt,focei,bobyqa,100,85,100,100,85,85,0.85,0.85,0.85
300,2,ode,focei,bobyqa,100,86,100,100,86,86,0.86,0.86,0.86
300,3,linCmt,focei,bobyqa,100,82,100,100,82,82,0.82,0.82,0.82
300,3,ode,focei,bobyqa,100,88,100,100,88,88,0.88,0.88,0.88
300,4,linCmt,focei,bobyqa,100,86,100,100,86,86,0.86,0.86,0.86
300,4,ode,focei,bobyqa,100,85,99,100,85,85,0.85,0.8585858585858586,0.85
300,5,linCmt,focei,bobyqa,100,88,100,100,88,88,0.88,0.88,0.88
300,5,ode,focei,bobyqa,100,88,100,100,88,88,0.88,0.88,0.88
300,6,linCmt,focei,bobyqa,100,89,100,100,89,89,0.89,0.89,0.89
300,6,ode,focei,bobyqa,100,88,99,100,88,88,0.88,0.8888888888888888,0.88
300,7,linCmt,focei,bobyqa,100,71,97,97,71,71,0.71,0.7319587628865979,0.7319587628865979
300,7,ode,focei,bobyqa,100,74,100,100,74,74,0.74,0.74,0.74
300,8,linCmt,focei,bobyqa,100,73,98,98,73,73,0.73,0.7448979591836735,0.7448979591836735
300,8,ode,focei,bobyqa,100,74,99,99,74,74,0.74,0.7474747474747475,0.7474747474747475
300,9,linCmt,focei,bobyqa,100,68,100,100,68,68,0.68,0.68,0.68
300,9,ode,focei,bobyqa,100,68,100,100,68,68,0.68,0.68,0.68
300,10,linCmt,focei,bobyqa,100,77,100,100,77,77,0.77,0.77,0.77
300,10,ode,focei,bobyqa,100,73,100,100,73,73,0.73,0.73,0.73
300,11,linCmt,focei,bobyqa,100,51,99,99,51,51,0.51,0.5151515151515151,0.5151515151515151
300,11,ode,focei,bobyqa,100,43,99,100,43,43,0.43,0.43434343434343436,0.43
300,12,linCmt,focei,bobyqa,100,57,100,100,57,57,0.57,0.57,0.57
300,12,ode,focei,bobyqa,100,49,99,100,49,49,0.49,0.494949494949495,0.49
300,13,linCmt,focei,bobyqa,100,51,96,98,51,51,0.51,0.53125,0.5204081632653061
300,13,ode,focei,bobyqa,100,53,96,99,53,53,0.53,0.5520833333333334,0.5353535353535354
