sample_N,scenario,structure,estimator,outer_opt,k,n_at_least_k,fraction_at_least_k,n_true
40,2,linCmt,focei,bobyqa,1,82,0.82,1
40,2,ode,focei,bobyqa,1,82,0.82,1
40,3,linCmt,focei,bobyqa,1,51,0.51,1
40,3,ode,focei,bobyqa,1,56,0.56,1
40,4,linCmt,focei,bobyqa,1,97,0.97,2
40,4,linCmt,focei,bobyqa,2,46,0.46,2
40,4,ode,focei,bobyqa,1,97,0.97,2
40,4,ode,focei,bobyqa,2,46,0.46,2
40,5,linCmt,focei,bobyqa,1,65,0.65,1
40,5,ode,focei,bobyqa,1,62,0.62,1
40,6,linCmt,focei,bobyqa,1,93,0.93,2
40,6,linCmt,focei,bobyqa,2,54,0.54,2
40,6,ode,focei,bobyqa,1,94,0.94,2
40,6,ode,focei,bobyqa,2,53,0.53,2
40,7,linCmt,focei,bobyqa,1,75,0.75,2
40,7,linCmt,focei,bobyqa,2,25,0.25,2
40,7,ode,focei,bobyqa,1,77,0.77,2
40,7,ode,focei,bobyqa,2,28,0.28,2
40,8,linCmt,focei,bobyqa,1,100,1,3
40,8,linCmt,focei,bobyqa,2,74,0.74,3
40,8,linCmt,focei,bobyqa,3,26,0.26,3
40,8,ode,focei,bobyqa,1,100,1,3
40,8,ode,focei,bobyqa,2,73,0.73,3
40,8,ode,focei,bobyqa,3,26,0.26,3
40,9,linCmt,focei,bobyqa,1,44,0.44,1
40,9,ode,focei,bobyqa,1,42,0.42,1
40,10,linCmt,focei,bobyqa,1,80,0.8,2
40,10,linCmt,focei,bobyqa,2,25,0.25,2
40,10,ode,focei,bobyqa,1,79,0.79,2
40,10,ode,focei,bobyqa,2,24,0.24,2
40,11,linCmt,focei,bobyqa,1,76,0.76,2
40,11,linCmt,focei,bobyqa,2,23,0.23,2
40,11,ode,focei,bobyqa,1,78,0.78,2
40,11,ode,focei,bobyqa,2,22,0.22,2
40,12,linCmt,focei,bobyqa,1,93,0.93,3
40,12,linCmt,focei,bobyqa,2,50,0.5,3
40,12,linCmt,focei,bobyqa,3,12,0.12,3
40,12,ode,focei,bobyqa,1,93,0.93,3
40,12,ode,focei,bobyqa,2,49,0.49,3
40,12,ode,focei,bobyqa,3,9,0.09,3
40,13,linCmt,focei,bobyqa,1,70,0.7,2
40,13,linCmt,focei,bobyqa,2,15,0.15,2
40,13,ode,focei,bobyqa,1,69,0.69,2
40,13,ode,focei,bobyqa,2,14,0.14,2
40,14,linCmt,focei,bobyqa,1,93,0.93,3
40,14,linCmt,focei,bobyqa,2,59,0.59,3
40,14,linCmt,focei,bobyqa,3,13,0.13,3
40,14,ode,focei,bobyqa,1,95,0.95,3
40,14,ode,focei,bobyqa,2,64,0.64,3
40,14,ode,focei,bobyqa,3,14,0.14,3
40,15,linCmt,focei,bobyqa,1,84,0.84,3
40,15,linCmt,focei,bobyqa,2,43,0.43,3
40,15,linCmt,focei,bobyqa,3,5,0.05,3
40,15,ode,focei,bobyqa,1,83,0.83,3
40,15,ode,focei,bobyqa,2,33,0.33,3
40,15,ode,focei,bobyqa,3,3,0.03,3
40,16,linCmt,focei,bobyqa,1,100,1,4
40,16,linCmt,focei,bobyqa,2,80,0.8,4
40,16,linCmt,focei,bobyqa,3,32,0.32,4
40,16,linCmt,focei,bobyqa,4,4,0.04,4
40,16,ode,focei,bobyqa,1,100,1,4
40,16,ode,focei,bobyqa,2,74,0.74,4
40,16,ode,focei,bobyqa,3,31,0.31,4
40,16,ode,focei,bobyqa,4,4,0.04,4
80,2,linCmt,focei,bobyqa,1,97,0.97,1
80,2,ode,focei,bobyqa,1,97,0.97,1
80,3,linCmt,focei,bobyqa,1,71,0.71,1
80,3,ode,focei,bobyqa,1,71,0.71,1
80,4,linCmt,focei,bobyqa,1,99,0.99,2
80,4,linCmt,focei,bobyqa,2,76,0.76,2
80,4,ode,focei,bobyqa,1,99,0.99,2
80,4,ode,focei,bobyqa,2,80,0.8,2
80,5,linCmt,focei,bobyqa,1,81,0.81,1
80,5,ode,focei,bobyqa,1,80,0.8,1
80,6,linCmt,focei,bobyqa,1,100,1,2
80,6,linCmt,focei,bobyqa,2,79,0.79,2
80,6,ode,focei,bobyqa,1,100,1,2
80,6,ode,focei,bobyqa,2,76,0.76,2
80,7,linCmt,focei,bobyqa,1,93,0.93,2
80,7,linCmt,focei,bobyqa,2,59,0.59,2
80,7,ode,focei,bobyqa,1,93,0.93,2
80,7,ode,focei,bobyqa,2,59,0.59,2
80,8,linCmt,focei,bobyqa,1,100,1,3
80,8,linCmt,focei,bobyqa,2,90,0.9,3
80,8,linCmt,focei,bobyqa,3,58,0.58,3
80,8,ode,focei,bobyqa,1,100,1,3
80,8,ode,focei,bobyqa,2,89,0.89,3
80,8,ode,focei,bobyqa,3,57,0.57,3
80,9,linCmt,focei,bobyqa,1,51,0.51,1
80,9,ode,focei,bobyqa,1,55,0.55,1
80,10,linCmt,focei,bobyqa,1,99,0.99,2
80,10,linCmt,focei,bobyqa,2,54,0.54,2
80,10,ode,focei,bobyqa,1,100,1,2
80,10,ode,focei,bobyqa,2,52,0.52,2
80,11,linCmt,focei,bobyqa,1,90,0.9,2
80,11,linCmt,focei,bobyqa,2,37,0.37,2
80,11,ode,focei,bobyqa,1,82,0.82,2
80,11,ode,focei,bobyqa,2,24,0.24,2
80,12,linCmt,focei,bobyqa,1,99,0.99,3
80,12,linCmt,focei,bobyqa,2,80,0.8,3
80,12,linCmt,focei,bobyqa,3,27,0.27,3
80,12,ode,focei,bobyqa,1,99,0.99,3
80,12,ode,focei,bobyqa,2,78,0.78,3
80,12,ode,focei,bobyqa,3,25,0.25,3
80,13,linCmt,focei,bobyqa,1,86,0.86,2
80,13,linCmt,focei,bobyqa,2,37,0.37,2
80,13,ode,focei,bobyqa,1,85,0.85,2
80,13,ode,focei,bobyqa,2,38,0.38,2
80,14,linCmt,focei,bobyqa,1,100,1,3
80,14,linCmt,focei,bobyqa,2,88,0.88,3
