sample_N,scenario,structure,estimator,outer_opt,dataset_id,parameter,param_class,true_value,estimate,rel_err,rel_err_pct,sq_rel,abs_rel
40,1,linCmt,focei,bobyqa,1,TVCL,structural_intercept,0.6,0.6037619518732343,0.006269919788723932,0.6269919788723932,3.9311894157031956e-5,0.006269919788723932
40,1,linCmt,focei,bobyqa,1,TVVc,structural_intercept,20,18.983671607164773,-0.050816419641761354,-5.081641964176136,0.002582308505207589,0.050816419641761354
40,1,linCmt,focei,bobyqa,1,TVQ,structural_other,1.8,1.846204177546625,0.025668987525902704,2.5668987525902702,6.588969206049486e-4,0.025668987525902704
40,1,linCmt,focei,bobyqa,1,TVVp,structural_other,80,82.74628190455446,0.034328523806930814,3.4328523806930815,0.0011784475467630157,0.034328523806930814
40,1,linCmt,focei,bobyqa,1,TVKA,structural_other,0.7,0.7,0,0,0,0
40,1,linCmt,focei,bobyqa,1,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
40,1,linCmt,focei,bobyqa,1,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
40,1,linCmt,focei,bobyqa,1,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
40,1,linCmt,focei,bobyqa,1,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
40,1,linCmt,focei,bobyqa,1,var_CL,structural_other,0.1,0.12977022430503818,0.29770224305038173,29.770224305038173,0.08862662551722855,0.29770224305038173
40,1,linCmt,focei,bobyqa,1,var_Vc,structural_other,0.1,0.11376949119452479,0.1376949119452478,13.76949119452478,0.018959888775609546,0.1376949119452478
40,1,linCmt,focei,bobyqa,1,cov_VcCL,structural_other,0.02,0.0435081253172294,1.17540626586147,117.54062658614698,1.3815798898264045,1.17540626586147
40,1,linCmt,focei,bobyqa,1,ResErr,structural_other,0.1,0.09757965435292741,-0.024203456470725943,-2.4203456470725944,5.858073051303254e-4,0.024203456470725943
40,1,linCmt,focei,bobyqa,2,TVCL,structural_intercept,0.6,0.6310218736521502,0.05170312275358376,5.170312275358376,0.0026732129024721507,0.05170312275358376
40,1,linCmt,focei,bobyqa,2,TVVc,structural_intercept,20,22.2542682003988,0.11271341001994006,11.271341001994006,0.012704312798323125,0.11271341001994006
40,1,linCmt,focei,bobyqa,2,TVQ,structural_other,1.8,1.83462446004686,0.019235811137144405,1.9235811137144405,3.7001643010388873e-4,0.019235811137144405
40,1,linCmt,focei,bobyqa,2,TVVp,structural_other,80,82.20152217034551,0.027519027129318908,2.7519027129318907,7.5729685414419e-4,0.027519027129318908
40,1,linCmt,focei,bobyqa,2,TVKA,structural_other,0.7,0.7,0,0,0,0
40,1,linCmt,focei,bobyqa,2,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
40,1,linCmt,focei,bobyqa,2,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
40,1,linCmt,focei,bobyqa,2,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
40,1,linCmt,focei,bobyqa,2,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
40,1,linCmt,focei,bobyqa,2,var_CL,structural_other,0.1,0.10668968123829552,0.06689681238295511,6.6896812382955115,0.0044751835070002965,0.06689681238295511
40,1,linCmt,focei,bobyqa,2,var_Vc,structural_other,0.1,0.07823364560432144,-0.2176635439567856,-21.76635439567856,0.047377418367827544,0.2176635439567856
40,1,linCmt,focei,bobyqa,2,cov_VcCL,structural_other,0.02,0.021092382418622456,0.054619120931122776,5.461912093112278,0.002983248371288614,0.054619120931122776
40,1,linCmt,focei,bobyqa,2,ResErr,structural_other,0.1,0.1090612785012649,0.09061278501264897,9.061278501264896,0.008210676807748542,0.09061278501264897
40,1,linCmt,focei,bobyqa,3,TVCL,structural_intercept,0.6,0.600419852927019,6.997548783651183e-4,0.06997548783651183,4.896568897957815e-7,6.997548783651183e-4
40,1,linCmt,focei,bobyqa,3,TVVc,structural_intercept,20,20.757345921269945,0.03786729606349724,3.7867296063497236,0.0014339321111605534,0.03786729606349724
40,1,linCmt,focei,bobyqa,3,TVQ,structural_other,1.8,1.8827533639163305,0.04597409106462804,4.597409106462804,0.002113617049218712,0.04597409106462804
40,1,linCmt,focei,bobyqa,3,TVVp,structural_other,80,81.02350191100534,0.01279377388756675,1.279377388756675,1.6368065028618485e-4,0.01279377388756675
40,1,linCmt,focei,bobyqa,3,TVKA,structural_other,0.7,0.7000000000000003,4.758098676964956e-16,4.7580986769649564e-14,2.263950301973567e-31,4.758098676964956e-16
40,1,linCmt,focei,bobyqa,3,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
40,1,linCmt,focei,bobyqa,3,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
40,1,linCmt,focei,bobyqa,3,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
40,1,linCmt,focei,bobyqa,3,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
40,1,linCmt,focei,bobyqa,3,var_CL,structural_other,0.1,0.10783999977928244,0.0783999977928243,7.83999977928243,0.006146559653914856,0.0783999977928243
40,1,linCmt,focei,bobyqa,3,var_Vc,structural_other,0.1,0.08381224524559727,-0.16187754754402733,-16.187754754402732,0.02620434039886883,0.16187754754402733
40,1,linCmt,focei,bobyqa,3,cov_VcCL,structural_other,0.02,0.03796107545889255,0.8980537729446276,89.80537729446276,0.8065005791000808,0.8980537729446276
40,1,linCmt,focei,bobyqa,3,ResErr,structural_other,0.1,0.10394475363793854,0.039447536379385306,3.944753637938531,0.0015561081264029272,0.039447536379385306
40,1,linCmt,focei,bobyqa,4,TVCL,structural_intercept,0.6,0.6282488058987031,0.04708134316450526,4.7081343164505265,0.0022166528741739064,0.04708134316450526
40,1,linCmt,focei,bobyqa,4,TVVc,structural_intercept,20,21.075385626992293,0.05376928134961467,5.376928134961467,0.00289113561685402,0.05376928134961467
40,1,linCmt,focei,bobyqa,4,TVQ,structural_other,1.8,1.8249715175134975,0.013873065285276369,1.387306528527637,1.924619404095403e-4,0.013873065285276369
40,1,linCmt,focei,bobyqa,4,TVVp,structural_other,80,78.73873547781591,-0.01576580652730115,-1.5765806527301152,2.4856065545629156e-4,0.01576580652730115
