sample_N,scenario,structure,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
40,1,linCmt,cl,BMI,lin,3,FALSE,3,1,0,0,3
40,1,linCmt,cl,BMI,power,2,FALSE,2,1,0,0,2
40,1,linCmt,cl,BW,lin,4,FALSE,4,1,0,0,4
40,1,linCmt,cl,BW,power,4,FALSE,4,1,0,0,4
40,1,linCmt,cl,CrCL,lin,5,FALSE,5,1,0,0,5
40,1,linCmt,cl,CrCL,power,5,FALSE,5,1,0,0,5
40,1,linCmt,cl,RACE,cat,14,FALSE,14,1,0,0,14
40,1,linCmt,cl,SEX,cat,10,FALSE,10,1,0,0,10
40,1,linCmt,vc,BMI,lin,1,FALSE,1,1,0,0,1
40,1,linCmt,vc,BMI,power,3,FALSE,3,1,0,0,3
40,1,linCmt,vc,BW,lin,2,FALSE,2,1,0,0,2
40,1,linCmt,vc,BW,power,3,FALSE,3,1,0,0,3
40,1,linCmt,vc,CrCL,lin,2,FALSE,2,1,0,0,2
40,1,linCmt,vc,CrCL,power,2,FALSE,2,1,0,0,2
40,1,linCmt,vc,RACE,cat,3,FALSE,3,1,0,0,3
40,1,linCmt,vc,SEX,cat,5,FALSE,5,1,0,0,5
40,1,ode,cl,BMI,lin,2,FALSE,2,1,0,0,2
40,1,ode,cl,BMI,power,2,FALSE,2,1,0,0,2
40,1,ode,cl,BW,lin,4,FALSE,4,1,0,0,4
40,1,ode,cl,BW,power,4,FALSE,4,1,0,0,4
40,1,ode,cl,CrCL,lin,3,FALSE,3,1,0,0,3
40,1,ode,cl,CrCL,power,5,FALSE,5,1,0,0,5
40,1,ode,cl,RACE,cat,14,FALSE,14,1,0,0,14
40,1,ode,cl,SEX,cat,10,FALSE,10,1,0,0,10
40,1,ode,vc,BMI,lin,1,FALSE,1,1,0,0,1
40,1,ode,vc,BMI,power,3,FALSE,3,1,0,0,3
40,1,ode,vc,BW,lin,2,FALSE,2,1,0,0,2
40,1,ode,vc,BW,power,3,FALSE,3,1,0,0,3
40,1,ode,vc,CrCL,lin,1,FALSE,1,1,0,0,1
40,1,ode,vc,CrCL,power,2,FALSE,2,1,0,0,2
40,1,ode,vc,RACE,cat,3,FALSE,3,1,0,0,3
40,1,ode,vc,SEX,cat,5,FALSE,5,1,0,0,5
40,2,linCmt,vc,SEX,cat,100,TRUE,90,0.9,90,10,0
40,2,linCmt,cl,BMI,lin,4,FALSE,4,1,0,0,4
40,2,linCmt,cl,BMI,power,5,FALSE,5,1,0,0,5
40,2,linCmt,cl,BW,lin,3,FALSE,3,1,0,0,3
40,2,linCmt,cl,BW,power,7,FALSE,7,1,0,0,7
40,2,linCmt,cl,CrCL,lin,5,FALSE,5,1,0,0,5
40,2,linCmt,cl,CrCL,power,5,FALSE,5,1,0,0,5
40,2,linCmt,cl,RACE,cat,7,FALSE,7,1,0,0,7
40,2,linCmt,cl,SEX,cat,10,FALSE,10,1,0,0,10
40,2,linCmt,vc,BMI,lin,4,FALSE,4,1,0,0,4
40,2,linCmt,vc,BMI,power,6,FALSE,6,1,0,0,6
