sample_N,scenario,structure,dataset_id,var,covar,shape,in_true,in_vae,verdict
40,1,linCmt,1,vc,CrCL,lin,FALSE,TRUE,FP
40,1,linCmt,2,cl,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,3,cl,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,4,cl,CrCL,lin,FALSE,TRUE,FP
40,1,linCmt,7,vc,BW,power,FALSE,TRUE,FP
40,1,linCmt,8,vc,BW,power,FALSE,TRUE,FP
40,1,linCmt,8,vc,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,8,cl,CrCL,lin,FALSE,TRUE,FP
40,1,linCmt,9,vc,CrCL,power,FALSE,TRUE,FP
40,1,linCmt,9,cl,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,12,vc,SEX,cat,FALSE,TRUE,FP
40,1,linCmt,16,cl,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,18,cl,BW,lin,FALSE,TRUE,FP
40,1,linCmt,20,cl,BW,power,FALSE,TRUE,FP
40,1,linCmt,20,vc,SEX,cat,FALSE,TRUE,FP
40,1,linCmt,22,cl,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,26,cl,BW,power,FALSE,TRUE,FP
40,1,linCmt,26,cl,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,29,cl,BMI,power,FALSE,TRUE,FP
40,1,linCmt,29,cl,SEX,cat,FALSE,TRUE,FP
40,1,linCmt,29,cl,BW,lin,FALSE,TRUE,FP
40,1,linCmt,30,cl,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,30,cl,SEX,cat,FALSE,TRUE,FP
40,1,linCmt,31,vc,BMI,power,FALSE,TRUE,FP
40,1,linCmt,31,cl,CrCL,power,FALSE,TRUE,FP
40,1,linCmt,32,vc,SEX,cat,FALSE,TRUE,FP
40,1,linCmt,37,vc,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,39,cl,BW,power,FALSE,TRUE,FP
40,1,linCmt,39,cl,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,39,cl,SEX,cat,FALSE,TRUE,FP
40,1,linCmt,39,cl,BMI,lin,FALSE,TRUE,FP
40,1,linCmt,40,cl,CrCL,power,FALSE,TRUE,FP
40,1,linCmt,41,vc,BMI,lin,FALSE,TRUE,FP
40,1,linCmt,42,cl,CrCL,power,FALSE,TRUE,FP
40,1,linCmt,42,cl,BW,lin,FALSE,TRUE,FP
40,1,linCmt,43,cl,BMI,power,FALSE,TRUE,FP
40,1,linCmt,43,cl,BW,lin,FALSE,TRUE,FP
40,1,linCmt,45,cl,SEX,cat,FALSE,TRUE,FP
40,1,linCmt,47,vc,SEX,cat,FALSE,TRUE,FP
40,1,linCmt,48,cl,BMI,lin,FALSE,TRUE,FP
40,1,linCmt,53,cl,CrCL,power,FALSE,TRUE,FP
40,1,linCmt,54,vc,CrCL,power,FALSE,TRUE,FP
40,1,linCmt,55,cl,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,56,cl,SEX,cat,FALSE,TRUE,FP
40,1,linCmt,58,vc,BMI,power,FALSE,TRUE,FP
40,1,linCmt,60,cl,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,62,vc,BW,power,FALSE,TRUE,FP
40,1,linCmt,62,cl,CrCL,lin,FALSE,TRUE,FP
40,1,linCmt,63,cl,SEX,cat,FALSE,TRUE,FP
40,1,linCmt,67,cl,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,68,cl,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,68,vc,SEX,cat,FALSE,TRUE,FP
40,1,linCmt,69,cl,CrCL,lin,FALSE,TRUE,FP
40,1,linCmt,73,cl,SEX,cat,FALSE,TRUE,FP
40,1,linCmt,73,vc,BW,lin,FALSE,TRUE,FP
40,1,linCmt,74,vc,BW,lin,FALSE,TRUE,FP
40,1,linCmt,75,cl,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,76,cl,SEX,cat,FALSE,TRUE,FP
40,1,linCmt,77,cl,CrCL,power,FALSE,TRUE,FP
40,1,linCmt,80,vc,BMI,power,FALSE,TRUE,FP
40,1,linCmt,81,vc,RACE,cat,FALSE,TRUE,FP
40,1,linCmt,86,cl,SEX,cat,FALSE,TRUE,FP
40,1,linCmt,87,cl,BW,power,FALSE,TRUE,FP
40,1,linCmt,87,cl,SEX,cat,FALSE,TRUE,FP
40,1,linCmt,94,cl,CrCL,lin,FALSE,TRUE,FP
40,1,linCmt,97,cl,BMI,lin,FALSE,TRUE,FP
40,1,linCmt,97,vc,CrCL,lin,FALSE,TRUE,FP
40,1,linCmt,100,cl,RACE,cat,FALSE,TRUE,FP
40,1,ode,1,vc,CrCL,lin,FALSE,TRUE,FP
40,1,ode,2,cl,RACE,cat,FALSE,TRUE,FP
40,1,ode,3,cl,RACE,cat,FALSE,TRUE,FP
40,1,ode,7,vc,BW,power,FALSE,TRUE,FP
40,1,ode,8,vc,BW,power,FALSE,TRUE,FP
40,1,ode,8,vc,RACE,cat,FALSE,TRUE,FP
40,1,ode,8,cl,CrCL,lin,FALSE,TRUE,FP
40,1,ode,9,vc,CrCL,power,FALSE,TRUE,FP
40,1,ode,9,cl,RACE,cat,FALSE,TRUE,FP
40,1,ode,12,vc,SEX,cat,FALSE,TRUE,FP
40,1,ode,16,cl,RACE,cat,FALSE,TRUE,FP
