sample_N,scenario,structure,estimator,outer_opt,dataset_id,status,converged,cn_below_cutoff,cov_ok,objf,cond_num_cor,cond_num_cor_source,convergence_code,min_suc,cov_step,est_bnd,phys_bnd,est_family,cov_source,n_selected,n_true,n_true_hit,n_false_pos,exact_match,fit_runtime_sec,message
40,1,linCmt,vae,NA,1,ok,TRUE,TRUE,TRUE,-746.701484344818,7.171666042982463,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,31.943291187286377,
40,1,linCmt,vae,NA,2,ok,TRUE,TRUE,TRUE,-751.024956238742,77.70979370527957,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,29.54392099380493,
40,1,linCmt,vae,NA,3,ok,TRUE,TRUE,TRUE,-729.5758569417519,23.88713753502984,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,30.754578828811646,
40,1,linCmt,vae,NA,4,ok,TRUE,TRUE,TRUE,-775.7128908082033,7.10269783348229,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,29.902574062347412,
40,1,linCmt,vae,NA,5,ok,TRUE,TRUE,TRUE,-738.7794483463729,4.4205973722225425,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,25.501085996627808,
40,1,linCmt,vae,NA,6,ok,TRUE,TRUE,TRUE,-733.7928669444611,8.483714671329436,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,24.648046255111694,
40,1,linCmt,vae,NA,7,ok,TRUE,TRUE,TRUE,-770.2001526983686,14.725654566556,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,30.536820650100708,
40,1,linCmt,vae,NA,8,ok,TRUE,TRUE,TRUE,-768.8084213416328,40.387988232951145,native,NA,TRUE,TRUE,NA,FALSE,focei,"|r|,|s|",3,0,0,3,FALSE,32.76458811759949,
40,1,linCmt,vae,NA,9,ok,TRUE,TRUE,TRUE,-749.8748785788108,44.974527959756095,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",2,0,0,2,FALSE,29.85770869255066,
40,1,linCmt,vae,NA,10,ok,TRUE,TRUE,TRUE,-749.6075843557174,4.605629853624578,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,25.851528644561768,
40,1,linCmt,vae,NA,11,ok,TRUE,TRUE,TRUE,-743.4588906155124,7.215127167892003,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,25.610556840896606,
40,1,linCmt,vae,NA,12,ok,TRUE,TRUE,TRUE,-797.6119725658839,18.462673642539446,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,30.338772296905518,
40,1,linCmt,vae,NA,13,ok,TRUE,TRUE,TRUE,-719.0760218045117,7.021690810419515,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,25.498300790786743,
40,1,linCmt,vae,NA,14,ok,TRUE,TRUE,TRUE,-755.8054103308758,3.858201655992411,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,25.312399864196777,
40,1,linCmt,vae,NA,15,ok,TRUE,TRUE,TRUE,-712.3986154536974,9.364728286946,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,24.63455367088318,
40,1,linCmt,vae,NA,16,ok,TRUE,TRUE,TRUE,-772.9543503364287,36.82598246962024,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,29.74753212928772,
40,1,linCmt,vae,NA,17,ok,TRUE,TRUE,TRUE,-774.3646794847043,4.20376802448174,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,24.81385111808777,
40,1,linCmt,vae,NA,18,ok,TRUE,TRUE,TRUE,-799.106389064124,5.7378695798019965,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,30.978039741516113,
40,1,linCmt,vae,NA,19,ok,TRUE,TRUE,TRUE,-735.4348695690745,4.038484221677478,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,25.46576452255249,
40,1,linCmt,vae,NA,20,ok,TRUE,TRUE,TRUE,-731.198041803726,19.89570831931102,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",2,0,0,2,FALSE,31.23104429244995,
40,1,linCmt,vae,NA,21,ok,TRUE,TRUE,TRUE,-721.3112473008737,5.710874474719533,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,25.12193536758423,
40,1,linCmt,vae,NA,22,ok,TRUE,TRUE,TRUE,-744.9432533110823,76.80386379694058,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,29.689404010772705,
40,1,linCmt,vae,NA,23,ok,TRUE,TRUE,TRUE,-751.8074248561264,4.327291756401067,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,25.9093656539917,
40,1,linCmt,vae,NA,24,ok,TRUE,TRUE,TRUE,-754.4887918305844,5.323112478316652,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,24.801072359085083,
40,1,linCmt,vae,NA,25,ok,TRUE,TRUE,TRUE,-722.9591659549869,8.356813192054782,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,24.64285635948181,
40,1,linCmt,vae,NA,26,ok,TRUE,TRUE,TRUE,-781.8417956741569,85.73654725273818,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",2,0,0,2,FALSE,30.934204816818237,
40,1,linCmt,vae,NA,27,ok,TRUE,TRUE,TRUE,-754.6633118791713,4.005975252603357,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,24.62937903404236,
40,1,linCmt,vae,NA,28,ok,TRUE,TRUE,TRUE,-686.9550619362602,4.130421048216338,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,24.68031620979309,
40,1,linCmt,vae,NA,29,ok,TRUE,TRUE,TRUE,-762.2745883128796,49.314377137846485,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",3,0,0,3,FALSE,31.139224767684937,
40,1,linCmt,vae,NA,30,ok,TRUE,TRUE,TRUE,-765.6534928477662,64.6152796262769,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",2,0,0,2,FALSE,30.055508136749268,
40,1,linCmt,vae,NA,31,ok,TRUE,TRUE,TRUE,-731.9657585773333,8.278914624794693,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",2,0,0,2,FALSE,31.245548009872437,
40,1,linCmt,vae,NA,32,ok,TRUE,TRUE,TRUE,-733.4626288133943,8.099063728771709,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,29.55592441558838,
40,1,linCmt,vae,NA,33,ok,TRUE,TRUE,TRUE,-699.4417489382145,8.748977219236746,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,24.735244750976562,
40,1,linCmt,vae,NA,34,ok,TRUE,TRUE,TRUE,-774.7039700927718,3.355175755097205,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,26.06459355354309,
40,1,linCmt,vae,NA,35,ok,TRUE,TRUE,TRUE,-769.7295577354442,3.1785573701594703,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,25.380187273025513,
40,1,linCmt,vae,NA,36,ok,TRUE,TRUE,TRUE,-759.4919994267893,2.2893229809144007,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,24.915542364120483,
40,1,linCmt,vae,NA,37,ok,TRUE,TRUE,TRUE,-721.4712329883056,27.24763846601312,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,29.29357624053955,
40,1,linCmt,vae,NA,38,ok,TRUE,TRUE,TRUE,-770.2614732720921,4.4245042522707765,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,25.173189163208008,
40,1,linCmt,vae,NA,39,ok,TRUE,TRUE,TRUE,-766.8179121248794,310.5280407360233,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",4,0,0,4,FALSE,33.08061194419861,
40,1,linCmt,vae,NA,40,ok,TRUE,TRUE,TRUE,-739.8398957700582,5.669746650396074,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,31.81227684020996,
40,1,linCmt,vae,NA,41,ok,TRUE,TRUE,TRUE,-740.4098349959563,6.0754777600625065,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,31.01735806465149,
40,1,linCmt,vae,NA,42,ok,TRUE,TRUE,TRUE,-769.6185266575184,7.296817888632653,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",2,0,0,2,FALSE,31.942803859710693,
