sample_N,scenario,structure,parameter,param_class,true_value,n_used,MedRE_pct,MeanRE_pct,MARE_pct,RMRSE_pct,P90AbsRE_pct
40,1,linCmt,TVCL,structural_intercept,0.6,51,0.23943306193271083,-0.029763616354847686,3.6095285944731104,5.054469217771045,8.027351447798278
40,1,linCmt,TVVc,structural_intercept,20,51,-0.05150794150202032,-0.037156682325205824,4.103787177250169,6.431253945073791,9.570661315634279
40,1,linCmt,ResErr,structural_other,0.1,51,13.361865234,13.55111354394117,13.361865234,14.983692402017553,20.881699264999998
40,1,linCmt,TVKA,structural_other,0.7,51,0,0,0,0,0
40,1,linCmt,TVQ,structural_other,1.8,51,3.054966092098383,3.2171546608659396,3.054966092098383,3.729579784168418,5.020790659306014
40,1,linCmt,TVVp,structural_other,80,51,1.2696397812269389,1.0956743566125844,1.3606760786571215,1.9325054449582963,2.926086213216319
40,1,linCmt,cov_VcCL,structural_other,0.02,51,-20.503540358999988,-11.266305171667451,43.94646734750003,54.696127273116524,90.97412440000002
40,1,linCmt,var_CL,structural_other,0.1,51,-7.266265336799985,-6.284837645411772,14.939726010900003,24.313923110271045,38.83498894199994
40,1,linCmt,var_Vc,structural_other,0.1,51,-42.2093974313,-41.82189819515686,42.2093974313,47.58816213242062,65.32592806240001
40,1,ode,TVCL,structural_intercept,0.6,54,0.5424066183804626,0.09937141948648505,3.6112629895491413,4.95039253358259,7.957807031426367
40,1,ode,TVVc,structural_intercept,20,54,0.23380970566878823,0.015094735263778754,4.043923276612996,6.308010768156359,9.570087172765907
40,1,ode,ResErr,structural_other,0.1,54,13.09398791,13.333220070962959,13.09398791,14.754712908814193,20.999722516999995
40,1,ode,TVKA,structural_other,0.7,54,0,0,0,0,0
40,1,ode,TVQ,structural_other,1.8,54,3.137547086483542,3.252356956667899,3.137547086483542,3.7486787522478178,5.05136137095465
40,1,ode,TVVp,structural_other,80,54,1.2319334561147333,1.0691433340304581,1.3868718372563826,1.9085710543443106,2.9522053066211598
40,1,ode,cov_VcCL,structural_other,0.02,54,-19.796159950499977,-13.805102595656948,43.770320271749995,58.08489903610844,93.69586436899999
40,1,ode,var_CL,structural_other,0.1,54,-7.465778087250019,-6.4583486484722314,15.365892891150013,25.216203766446505,41.05098452311003
40,1,ode,var_Vc,structural_other,0.1,54,-42.57677537329999,-42.85290394855,42.57677537329999,48.49314050892675,68.4936171181
40,2,linCmt,VcSEX,covariate_beta,0.4054651081081644,46,0.08858895787891273,1.861445989838741,20.33058241968617,24.289520433361023,41.50041159952214
40,2,linCmt,TVCL,structural_intercept,0.6,46,-0.03849705135602899,-0.09254038016521375,3.8148231646328488,5.205200385664461,7.9515374942583845
40,2,linCmt,TVVc,structural_intercept,20,46,-0.9122025974881431,0.392982712495397,5.601395193983319,7.683716914316078,11.827769660965313
40,2,linCmt,ResErr,structural_other,0.1,46,8.075806448499998,8.7976858985413,8.075806448499998,10.983728610853056,16.865651063999994
40,2,linCmt,TVKA,structural_other,0.7,46,0,0,0,0,0
40,2,linCmt,TVQ,structural_other,1.8,46,2.149243527221413,2.5320219045562626,2.149243527221413,3.669977328773145,6.386751842376408
40,2,linCmt,TVVp,structural_other,80,46,0.17985761112999654,0.29319944200437237,0.8530638650120447,1.6146521659669222,2.4315151416485214
40,2,linCmt,cov_VcCL,structural_other,0.02,46,-4.307711836999969,-11.067958746436531,36.928069169249994,55.15568860958048,89.74602437773996
40,2,linCmt,var_CL,structural_other,0.1,46,-5.330527505050011,-4.707008668482619,17.370409242000033,22.132966699330684,34.74863963095001
40,2,linCmt,var_Vc,structural_other,0.1,46,-39.562102659150014,-34.83815489453696,41.530937475300014,43.3208225180641,64.73281618230003
40,2,ode,VcSEX,covariate_beta,0.4054651081081644,47,-0.9374184954899762,1.7954722615343661,20.450186836802875,24.048973905873876,41.07552570333783
40,2,ode,TVCL,structural_intercept,0.6,47,0.41586390463203377,-0.02847154453562656,3.957828471351732,5.176919835780171,7.971241465005005
40,2,ode,TVVc,structural_intercept,20,47,-0.5988208076673551,0.3864013555496427,5.506542929704068,7.587473999906324,11.689265708606554
40,2,ode,ResErr,structural_other,0.1,47,7.770888204999993,8.497616842374462,7.770888204999993,10.798192948520713,16.604318224999993
40,2,ode,TVKA,structural_other,0.7,47,0,0,0,0,0
40,2,ode,TVQ,structural_other,1.8,47,2.046375880361273,2.4928827484636833,2.046375880361273,3.6342723333949003,6.426952510062344
40,2,ode,TVVp,structural_other,80,47,0.2962905710201369,0.2905622204727905,0.8859181205872878,1.5971716252316799,2.389138299055101
40,2,ode,cov_VcCL,structural_other,0.02,47,-2.399204492999976,-10.789354013555313,34.50540850199996,54.632343231737025,87.16446244543992
40,2,ode,var_CL,structural_other,0.1,47,-6.148629945700007,-5.021203007576596,18.589971407000057,22.151221551443648,34.71214793504001
40,2,ode,var_Vc,structural_other,0.1,47,-39.5746724028,-34.29826344369149,39.8546264436,42.870862953851805,65.06699517887998
40,3,linCmt,VcBW,covariate_beta,1,21,3.2637084289999896,4.315640076523809,18.807083854000005,19.958780616709088,31.33499121700001
40,3,linCmt,TVCL,structural_intercept,0.6,21,-0.7619056429160054,0.356091306494524,3.909716024428097,5.8386480913122485,10.514771334954876
