sample_N,scenario,structure,N,n_exact,n_ok_cn,n_ok_min,n_exact_cn,n_exact_min,Power,PowerCN,PowerMinSuc
40,1,linCmt,100,51,100,100,51,51,0.51,0.51,0.51
40,1,ode,100,54,97,100,54,54,0.54,0.5567010309278351,0.54
40,2,linCmt,100,46,100,100,46,46,0.46,0.46,0.46
40,2,ode,100,47,99,100,47,47,0.47,0.47474747474747475,0.47
40,3,linCmt,100,21,99,100,21,21,0.21,0.21212121212121213,0.21
40,3,ode,100,21,95,99,20,20,0.21,0.21052631578947367,0.20202020202020202
40,4,linCmt,100,21,99,99,21,21,0.21,0.21212121212121213,0.21212121212121213
40,4,ode,100,21,96,99,21,21,0.21,0.21875,0.21212121212121213
40,5,linCmt,100,43,100,100,43,43,0.43,0.43,0.43
40,5,ode,100,40,96,99,40,40,0.4,0.4166666666666667,0.40404040404040403
40,6,linCmt,100,38,100,100,38,38,0.38,0.38,0.38
40,6,ode,100,40,91,100,39,40,0.4,0.42857142857142855,0.4
40,7,linCmt,100,14,99,99,14,14,0.14,0.1414141414141414,0.1414141414141414
40,7,ode,100,14,94,99,14,14,0.14,0.14893617021276595,0.1414141414141414
40,8,linCmt,100,10,98,99,10,10,0.1,0.10204081632653061,0.10101010101010101
40,8,ode,100,11,76,99,11,11,0.11,0.14473684210526316,0.1111111111111111
40,9,linCmt,100,29,98,98,28,28,0.29,0.2857142857142857,0.2857142857142857
40,9,ode,100,28,91,98,28,28,0.28,0.3076923076923077,0.2857142857142857
40,10,linCmt,100,21,99,99,21,21,0.21,0.21212121212121213,0.21212121212121213
40,10,ode,100,22,90,100,21,22,0.22,0.23333333333333334,0.22
40,11,linCmt,100,11,99,100,11,11,0.11,0.1111111111111111,0.11
40,11,ode,100,10,92,100,10,10,0.1,0.10869565217391304,0.1
40,12,linCmt,100,9,98,98,9,9,0.09,0.09183673469387756,0.09183673469387756
40,12,ode,100,10,93,98,9,10,0.1,0.0967741935483871,0.10204081632653061
40,13,linCmt,100,12,96,99,12,12,0.12,0.125,0.12121212121212122
40,13,ode,100,12,82,99,9,12,0.12,0.10975609756097561,0.12121212121212122
40,14,linCmt,100,17,98,100,17,17,0.17,0.17346938775510204,0.17
40,14,ode,100,17,66,100,15,17,0.17,0.22727272727272727,0.17
40,15,linCmt,100,6,96,99,6,6,0.06,0.0625,0.06060606060606061
40,15,ode,100,6,67,99,5,6,0.06,0.07462686567164178,0.06060606060606061
40,16,linCmt,100,5,99,99,5,5,0.05,0.050505050505050504,0.050505050505050504
40,16,ode,100,5,74,99,5,5,0.05,0.06756756756756757,0.050505050505050504
80,1,linCmt,100,71,100,100,71,71,0.71,0.71,0.71
80,1,ode,100,72,97,100,71,72,0.72,0.7319587628865979,0.72
80,2,linCmt,100,72,100,100,72,72,0.72,0.72,0.72
