sample_N,scenario,structure,k,n_at_least_k,fraction_at_least_k,n_true
40,2,linCmt,1,90,0.9,1
40,2,ode,1,90,0.9,1
40,3,linCmt,1,40,0.4,1
40,3,ode,1,39,0.39,1
40,4,linCmt,1,94,0.94,2
40,4,linCmt,2,37,0.37,2
40,4,ode,1,94,0.94,2
40,4,ode,2,38,0.38,2
40,5,linCmt,1,72,0.72,1
40,5,ode,1,72,0.72,1
40,6,linCmt,1,96,0.96,2
40,6,linCmt,2,59,0.59,2
40,6,ode,1,96,0.96,2
40,6,ode,2,61,0.61,2
40,7,linCmt,1,72,0.72,2
40,7,linCmt,2,26,0.26,2
40,7,ode,1,72,0.72,2
40,7,ode,2,26,0.26,2
40,8,linCmt,1,99,0.99,3
40,8,linCmt,2,70,0.7,3
40,8,linCmt,3,23,0.23,3
40,8,ode,1,99,0.99,3
40,8,ode,2,70,0.7,3
40,8,ode,3,23,0.23,3
40,9,linCmt,1,43,0.43,1
40,9,ode,1,43,0.43,1
40,10,linCmt,1,90,0.9,2
40,10,linCmt,2,35,0.35,2
40,10,ode,1,90,0.9,2
40,10,ode,2,35,0.35,2
40,11,linCmt,1,74,0.74,2
40,11,linCmt,2,23,0.23,2
40,11,ode,1,72,0.72,2
40,11,ode,2,21,0.21,2
40,12,linCmt,1,98,0.98,3
40,12,linCmt,2,56,0.56,3
40,12,linCmt,3,12,0.12,3
40,12,ode,1,97,0.97,3
40,12,ode,2,57,0.57,3
40,12,ode,3,13,0.13,3
40,13,linCmt,1,80,0.8,2
40,13,linCmt,2,24,0.24,2
40,13,ode,1,80,0.8,2
40,13,ode,2,24,0.24,2
40,14,linCmt,1,97,0.97,3
40,14,linCmt,2,80,0.8,3
40,14,linCmt,3,23,0.23,3
40,14,ode,1,97,0.97,3
40,14,ode,2,79,0.79,3
40,14,ode,3,23,0.23,3
40,15,linCmt,1,89,0.89,3
40,15,linCmt,2,56,0.56,3
40,15,linCmt,3,9,0.09,3
40,15,ode,1,89,0.89,3
40,15,ode,2,55,0.55,3
40,15,ode,3,8,0.08,3
40,16,linCmt,1,100,1,4
40,16,linCmt,2,86,0.86,4
40,16,linCmt,3,51,0.51,4
40,16,linCmt,4,6,0.06,4
40,16,ode,1,100,1,4
40,16,ode,2,86,0.86,4
40,16,ode,3,51,0.51,4
40,16,ode,4,6,0.06,4
80,2,linCmt,1,98,0.98,1
80,2,ode,1,98,0.98,1
80,3,linCmt,1,48,0.48,1
80,3,ode,1,49,0.49,1
80,4,linCmt,1,99,0.99,2
80,4,linCmt,2,42,0.42,2
80,4,ode,1,99,0.99,2
80,4,ode,2,43,0.43,2
80,5,linCmt,1,81,0.81,1
80,5,ode,1,81,0.81,1
80,6,linCmt,1,100,1,2
80,6,linCmt,2,84,0.84,2
80,6,ode,1,100,1,2
80,6,ode,2,84,0.84,2
80,7,linCmt,1,90,0.9,2
80,7,linCmt,2,45,0.45,2
80,7,ode,1,90,0.9,2
80,7,ode,2,45,0.45,2
80,8,linCmt,1,100,1,3
80,8,linCmt,2,89,0.89,3
80,8,linCmt,3,39,0.39,3
80,8,ode,1,100,1,3
80,8,ode,2,89,0.89,3
80,8,ode,3,37,0.37,3
80,9,linCmt,1,50,0.5,1
80,9,ode,1,51,0.51,1
80,10,linCmt,1,100,1,2
80,10,linCmt,2,55,0.55,2
80,10,ode,1,100,1,2
80,10,ode,2,57,0.57,2
80,11,linCmt,1,88,0.88,2
80,11,linCmt,2,33,0.33,2
80,11,ode,1,89,0.89,2
80,11,ode,2,33,0.33,2
80,12,linCmt,1,100,1,3
80,12,linCmt,2,73,0.73,3
80,12,linCmt,3,21,0.21,3
80,12,ode,1,100,1,3
80,12,ode,2,71,0.71,3
80,12,ode,3,21,0.21,3
80,13,linCmt,1,92,0.92,2
80,13,linCmt,2,46,0.46,2
80,13,ode,1,92,0.92,2
80,13,ode,2,46,0.46,2
80,14,linCmt,1,100,1,3
80,14,linCmt,2,94,0.94,3
80,14,linCmt,3,44,0.44,3
80,14,ode,1,100,1,3
80,14,ode,2,95,0.95,3
80,14,ode,3,45,0.45,3
80,15,linCmt,1,97,0.97,3
80,15,linCmt,2,65,0.65,3
80,15,linCmt,3,28,0.28,3
80,15,ode,1,97,0.97,3
80,15,ode,2,64,0.64,3
80,15,ode,3,29,0.29,3
80,16,linCmt,1,100,1,4
80,16,linCmt,2,95,0.95,4
80,16,linCmt,3,63,0.63,4
80,16,linCmt,4,19,0.19,4
80,16,ode,1,100,1,4
80,16,ode,2,95,0.95,4
80,16,ode,3,64,0.64,4
80,16,ode,4,17,0.17,4
300,2,linCmt,1,100,1,1
300,2,ode,1,100,1,1
300,3,linCmt,1,63,0.63,1
300,3,ode,1,61,0.61,1
300,4,linCmt,1,100,1,2
300,4,linCmt,2,47,0.47,2
300,4,ode,1,100,1,2
300,4,ode,2,46,0.46,2
300,5,linCmt,1,99,0.99,1
300,5,ode,1,99,0.99,1
300,6,linCmt,1,100,1,2
300,6,linCmt,2,94,0.94,2
300,6,ode,1,100,1,2
300,6,ode,2,94,0.94,2
300,7,linCmt,1,97,0.97,2
300,7,linCmt,2,55,0.55,2
300,7,ode,1,97,0.97,2
300,7,ode,2,54,0.54,2
300,8,linCmt,1,100,1,3
300,8,linCmt,2,96,0.96,3
300,8,linCmt,3,51,0.51,3
300,8,ode,1,100,1,3
300,8,ode,2,96,0.96,3
300,8,ode,3,52,0.52,3
300,9,linCmt,1,77,0.77,1
300,9,ode,1,77,0.77,1
300,10,linCmt,1,100,1,2
300,10,linCmt,2,84,0.84,2
300,10,ode,1,100,1,2
300,10,ode,2,84,0.84,2
300,11,linCmt,1,93,0.93,2
300,11,linCmt,2,59,0.59,2
300,11,ode,1,93,0.93,2
300,11,ode,2,59,0.59,2
300,12,linCmt,1,100,1,3
300,12,linCmt,2,85,0.85,3
300,12,linCmt,3,40,0.4,3
300,12,ode,1,100,1,3
300,12,ode,2,85,0.85,3
300,12,ode,3,42,0.42,3
300,13,linCmt,1,100,1,2
300,13,linCmt,2,78,0.78,2
300,13,ode,1,100,1,2
300,13,ode,2,78,0.78,2
300,14,linCmt,1,100,1,3
300,14,linCmt,2,100,1,3
300,14,linCmt,3,72,0.72,3
300,14,ode,1,100,1,3
300,14,ode,2,100,1,3
300,14,ode,3,72,0.72,3
300,15,linCmt,1,100,1,3
300,15,linCmt,2,89,0.89,3
300,15,linCmt,3,59,0.59,3
300,15,ode,1,99,0.99,3
300,15,ode,2,89,0.89,3
300,15,ode,3,59,0.59,3
300,16,linCmt,1,100,1,4
300,16,linCmt,2,100,1,4
300,16,linCmt,3,85,0.85,4
300,16,linCmt,4,53,0.53,4
300,16,ode,1,100,1,4
300,16,ode,2,100,1,4
300,16,ode,3,85,0.85,4
300,16,ode,4,51,0.51,4
