sample_N,scenario,structure,estimator,outer_opt,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
80,1,advan4,nonmem_scm,focei,CL,BMI,power,1,FALSE,1,1,0,0,1
80,1,advan4,nonmem_scm,focei,CL,CRCL,power,2,FALSE,2,1,0,0,2
80,1,advan4,nonmem_scm,focei,CL,RACE,cat,1,FALSE,1,1,0,0,1
80,1,advan4,nonmem_scm,focei,CL,SEX,cat,1,FALSE,1,1,0,0,1
80,1,advan4,nonmem_scm,focei,VC,BMI,power,1,FALSE,1,1,0,0,1
80,1,advan4,nonmem_scm,focei,VC,BW,power,1,FALSE,1,1,0,0,1
80,1,advan4,nonmem_scm,focei,VC,CRCL,power,1,FALSE,1,1,0,0,1
80,1,advan4,nonmem_scm,focei,VC,RACE,cat,3,FALSE,3,1,0,0,3
80,2,advan4,nonmem_scm,focei,VC,SEX,cat,100,TRUE,97,0.97,97,3,0
80,2,advan4,nonmem_scm,focei,CL,BMI,power,1,FALSE,1,1,0,0,1
80,2,advan4,nonmem_scm,focei,CL,CRCL,power,1,FALSE,1,1,0,0,1
80,2,advan4,nonmem_scm,focei,CL,SEX,cat,2,FALSE,2,1,0,0,2
80,2,advan4,nonmem_scm,focei,VC,BMI,power,1,FALSE,1,1,0,0,1
80,2,advan4,nonmem_scm,focei,VC,BW,power,2,FALSE,2,1,0,0,2
80,2,advan4,nonmem_scm,focei,VC,CRCL,power,1,FALSE,1,1,0,0,1
80,2,advan4,nonmem_scm,focei,VC,RACE,cat,1,FALSE,1,1,0,0,1
80,3,advan4,nonmem_scm,focei,VC,BW,power,100,TRUE,98,0.98,98,2,0
80,3,advan4,nonmem_scm,focei,CL,BMI,power,1,FALSE,1,1,0,0,1
80,3,advan4,nonmem_scm,focei,CL,BW,power,1,FALSE,1,1,0,0,1
80,3,advan4,nonmem_scm,focei,CL,CRCL,power,2,FALSE,2,1,0,0,2
80,3,advan4,nonmem_scm,focei,CL,RACE,cat,1,FALSE,1,1,0,0,1
80,3,advan4,nonmem_scm,focei,CL,SEX,cat,1,FALSE,1,1,0,0,1
80,3,advan4,nonmem_scm,focei,VC,BMI,power,2,FALSE,2,1,0,0,2
80,3,advan4,nonmem_scm,focei,VC,CRCL,power,5,FALSE,5,1,0,0,5
80,3,advan4,nonmem_scm,focei,VC,RACE,cat,2,FALSE,2,1,0,0,2
80,4,advan4,nonmem_scm,focei,VC,BW,power,100,TRUE,92,0.92,92,8,0
80,4,advan4,nonmem_scm,focei,VC,SEX,cat,100,TRUE,96,0.96,96,4,0
80,4,advan4,nonmem_scm,focei,CL,BW,power,1,FALSE,1,1,0,0,1
80,4,advan4,nonmem_scm,focei,CL,CRCL,power,1,FALSE,1,1,0,0,1
80,4,advan4,nonmem_scm,focei,CL,RACE,cat,2,FALSE,2,1,0,0,2
80,4,advan4,nonmem_scm,focei,CL,SEX,cat,1,FALSE,1,1,0,0,1
80,4,advan4,nonmem_scm,focei,VC,BMI,power,10,FALSE,10,1,0,0,10
80,4,advan4,nonmem_scm,focei,VC,RACE,cat,2,FALSE,2,1,0,0,2
80,5,advan4,nonmem_scm,focei,CL,CRCL,power,100,TRUE,100,1,100,0,0
80,5,advan4,nonmem_scm,focei,CL,BMI,power,3,FALSE,3,1,0,0,3
80,5,advan4,nonmem_scm,focei,CL,SEX,cat,2,FALSE,2,1,0,0,2
80,5,advan4,nonmem_scm,focei,VC,BMI,power,1,FALSE,1,1,0,0,1
80,5,advan4,nonmem_scm,focei,VC,BW,power,1,FALSE,1,1,0,0,1
80,5,advan4,nonmem_scm,focei,VC,CRCL,power,3,FALSE,3,1,0,0,3
80,6,advan4,nonmem_scm,focei,CL,CRCL,power,100,TRUE,100,1,100,0,0
80,6,advan4,nonmem_scm,focei,VC,SEX,cat,100,TRUE,97,0.97,97,3,0
80,6,advan4,nonmem_scm,focei,CL,BMI,power,1,FALSE,1,1,0,0,1
80,6,advan4,nonmem_scm,focei,CL,BW,power,1,FALSE,1,1,0,0,1
80,6,advan4,nonmem_scm,focei,CL,SEX,cat,1,FALSE,1,1,0,0,1
80,6,advan4,nonmem_scm,focei,VC,BW,power,1,FALSE,1,1,0,0,1
80,6,advan4,nonmem_scm,focei,VC,CRCL,power,2,FALSE,2,1,0,0,2
80,6,advan4,nonmem_scm,focei,VC,RACE,cat,2,FALSE,2,1,0,0,2
80,7,advan4,nonmem_scm,focei,CL,CRCL,power,100,TRUE,99,0.99,99,1,0
80,7,advan4,nonmem_scm,focei,VC,BW,power,100,TRUE,92,0.92,92,8,0
80,7,advan4,nonmem_scm,focei,CL,BW,power,1,FALSE,1,1,0,0,1
80,7,advan4,nonmem_scm,focei,VC,BMI,power,9,FALSE,9,1,0,0,9
80,7,advan4,nonmem_scm,focei,VC,CRCL,power,1,FALSE,1,1,0,0,1
80,7,advan4,nonmem_scm,focei,VC,RACE,cat,3,FALSE,3,1,0,0,3
80,8,advan4,nonmem_scm,focei,CL,CRCL,power,100,TRUE,99,0.99,99,1,0
80,8,advan4,nonmem_scm,focei,VC,BW,power,100,TRUE,91,0.91,91,9,0
80,8,advan4,nonmem_scm,focei,VC,SEX,cat,100,TRUE,97,0.97,97,3,0
80,8,advan4,nonmem_scm,focei,CL,BMI,power,1,FALSE,1,1,0,0,1
80,8,advan4,nonmem_scm,focei,CL,BW,power,2,FALSE,2,1,0,0,2
80,8,advan4,nonmem_scm,focei,CL,RACE,cat,1,FALSE,1,1,0,0,1
80,8,advan4,nonmem_scm,focei,CL,SEX,cat,1,FALSE,1,1,0,0,1
80,8,advan4,nonmem_scm,focei,VC,BMI,power,11,FALSE,11,1,0,0,11
80,8,advan4,nonmem_scm,focei,VC,CRCL,power,4,FALSE,4,1,0,0,4
80,8,advan4,nonmem_scm,focei,VC,RACE,cat,1,FALSE,1,1,0,0,1
80,9,advan4,nonmem_scm,focei,CL,BW,power,100,TRUE,86,0.86,86,14,0
80,9,advan4,nonmem_scm,focei,CL,BMI,power,11,FALSE,11,1,0,0,11
80,9,advan4,nonmem_scm,focei,CL,CRCL,power,2,FALSE,2,1,0,0,2
80,9,advan4,nonmem_scm,focei,CL,RACE,cat,4,FALSE,4,1,0,0,4
80,9,advan4,nonmem_scm,focei,CL,SEX,cat,3,FALSE,3,1,0,0,3
80,9,advan4,nonmem_scm,focei,VC,BMI,power,1,FALSE,1,1,0,0,1
80,9,advan4,nonmem_scm,focei,VC,BW,power,1,FALSE,1,1,0,0,1
80,9,advan4,nonmem_scm,focei,VC,CRCL,power,2,FALSE,2,1,0,0,2
80,9,advan4,nonmem_scm,focei,VC,RACE,cat,2,FALSE,2,1,0,0,2
80,9,advan4,nonmem_scm,focei,VC,SEX,cat,1,FALSE,1,1,0,0,1
80,10,advan4,nonmem_scm,focei,CL,BW,power,100,TRUE,83,0.83,83,17,0
80,10,advan4,nonmem_scm,focei,VC,SEX,cat,100,TRUE,100,1,100,0,0
80,10,advan4,nonmem_scm,focei,CL,BMI,power,16,FALSE,16,1,0,0,16
80,10,advan4,nonmem_scm,focei,CL,RACE,cat,3,FALSE,3,1,0,0,3
80,10,advan4,nonmem_scm,focei,CL,SEX,cat,2,FALSE,2,1,0,0,2
80,10,advan4,nonmem_scm,focei,VC,BMI,power,1,FALSE,1,1,0,0,1
80,10,advan4,nonmem_scm,focei,VC,CRCL,power,3,FALSE,3,1,0,0,3
80,10,advan4,nonmem_scm,focei,VC,RACE,cat,2,FALSE,2,1,0,0,2
80,11,advan4,nonmem_scm,focei,CL,BW,power,100,TRUE,88,0.88,88,12,0
80,11,advan4,nonmem_scm,focei,VC,BW,power,100,TRUE,91,0.91,91,9,0
80,11,advan4,nonmem_scm,focei,CL,BMI,power,12,FALSE,12,1,0,0,12
80,11,advan4,nonmem_scm,focei,CL,CRCL,power,2,FALSE,2,1,0,0,2
80,11,advan4,nonmem_scm,focei,CL,RACE,cat,1,FALSE,1,1,0,0,1
80,11,advan4,nonmem_scm,focei,CL,SEX,cat,1,FALSE,1,1,0,0,1
80,11,advan4,nonmem_scm,focei,VC,BMI,power,9,FALSE,9,1,0,0,9
80,11,advan4,nonmem_scm,focei,VC,CRCL,power,1,FALSE,1,1,0,0,1
80,11,advan4,nonmem_scm,focei,VC,RACE,cat,2,FALSE,2,1,0,0,2
80,11,advan4,nonmem_scm,focei,VC,SEX,cat,2,FALSE,2,1,0,0,2
80,12,advan4,nonmem_scm,focei,CL,BW,power,100,TRUE,88,0.88,88,12,0
80,12,advan4,nonmem_scm,focei,VC,BW,power,100,TRUE,79,0.79,79,21,0
80,12,advan4,nonmem_scm,focei,VC,SEX,cat,100,TRUE,98,0.98,98,2,0
80,12,advan4,nonmem_scm,focei,CL,BMI,power,11,FALSE,11,1,0,0,11
80,12,advan4,nonmem_scm,focei,CL,RACE,cat,1,FALSE,1,1,0,0,1
80,12,advan4,nonmem_scm,focei,VC,BMI,power,20,FALSE,20,1,0,0,20
80,12,advan4,nonmem_scm,focei,VC,CRCL,power,3,FALSE,3,1,0,0,3
80,12,advan4,nonmem_scm,focei,VC,RACE,cat,1,FALSE,1,1,0,0,1
80,13,advan4,nonmem_scm,focei,CL,BW,power,100,TRUE,83,0.83,83,17,0
80,13,advan4,nonmem_scm,focei,CL,CRCL,power,100,TRUE,97,0.97,97,3,0
80,13,advan4,nonmem_scm,focei,CL,BMI,power,10,FALSE,10,1,0,0,10
80,13,advan4,nonmem_scm,focei,VC,BMI,power,4,FALSE,4,1,0,0,4
80,13,advan4,nonmem_scm,focei,VC,CRCL,power,3,FALSE,3,1,0,0,3
80,13,advan4,nonmem_scm,focei,VC,RACE,cat,1,FALSE,1,1,0,0,1
80,14,advan4,nonmem_scm,focei,CL,BW,power,100,TRUE,89,0.89,89,11,0
80,14,advan4,nonmem_scm,focei,CL,CRCL,power,100,TRUE,98,0.98,98,2,0
80,14,advan4,nonmem_scm,focei,VC,SEX,cat,100,TRUE,99,0.99,99,1,0
80,14,advan4,nonmem_scm,focei,CL,BMI,power,9,FALSE,9,1,0,0,9
80,14,advan4,nonmem_scm,focei,CL,SEX,cat,1,FALSE,1,1,0,0,1
80,14,advan4,nonmem_scm,focei,VC,BMI,power,1,FALSE,1,1,0,0,1
80,14,advan4,nonmem_scm,focei,VC,BW,power,2,FALSE,2,1,0,0,2
80,15,advan4,nonmem_scm,focei,CL,BW,power,100,TRUE,84,0.84,84,16,0
80,15,advan4,nonmem_scm,focei,CL,CRCL,power,100,TRUE,94,0.94,94,6,0
80,15,advan4,nonmem_scm,focei,VC,BW,power,100,TRUE,90,0.9,90,10,0
80,15,advan4,nonmem_scm,focei,CL,BMI,power,14,FALSE,14,1,0,0,14
80,15,advan4,nonmem_scm,focei,CL,RACE,cat,3,FALSE,3,1,0,0,3
80,15,advan4,nonmem_scm,focei,CL,SEX,cat,1,FALSE,1,1,0,0,1
80,15,advan4,nonmem_scm,focei,VC,BMI,power,11,FALSE,11,1,0,0,11
80,15,advan4,nonmem_scm,focei,VC,RACE,cat,1,FALSE,1,1,0,0,1
80,15,advan4,nonmem_scm,focei,VC,SEX,cat,3,FALSE,3,1,0,0,3
80,16,advan4,nonmem_scm,focei,CL,BW,power,100,TRUE,79,0.79,79,21,0
80,16,advan4,nonmem_scm,focei,CL,CRCL,power,100,TRUE,96,0.96,96,4,0
80,16,advan4,nonmem_scm,focei,VC,BW,power,100,TRUE,96,0.96,96,4,0
80,16,advan4,nonmem_scm,focei,VC,SEX,cat,100,TRUE,94,0.94,94,6,0
80,16,advan4,nonmem_scm,focei,CL,BMI,power,13,FALSE,13,1,0,0,13
80,16,advan4,nonmem_scm,focei,CL,SEX,cat,3,FALSE,3,1,0,0,3
80,16,advan4,nonmem_scm,focei,VC,BMI,power,8,FALSE,8,1,0,0,8
80,16,advan4,nonmem_scm,focei,VC,RACE,cat,1,FALSE,1,1,0,0,1
80,1,ode,nonmem_scm,focei,CL,BMI,power,1,FALSE,1,1,0,0,1
80,1,ode,nonmem_scm,focei,CL,CRCL,power,1,FALSE,1,1,0,0,1
80,1,ode,nonmem_scm,focei,CL,RACE,cat,1,FALSE,1,1,0,0,1
80,1,ode,nonmem_scm,focei,CL,SEX,cat,1,FALSE,1,1,0,0,1
80,1,ode,nonmem_scm,focei,VC,BMI,power,1,FALSE,1,1,0,0,1
80,1,ode,nonmem_scm,focei,VC,BW,power,1,FALSE,1,1,0,0,1
80,1,ode,nonmem_scm,focei,VC,CRCL,power,1,FALSE,1,1,0,0,1
80,1,ode,nonmem_scm,focei,VC,RACE,cat,3,FALSE,3,1,0,0,3
80,2,ode,nonmem_scm,focei,VC,SEX,cat,100,TRUE,97,0.97,97,3,0
80,2,ode,nonmem_scm,focei,CL,BMI,power,1,FALSE,1,1,0,0,1
80,2,ode,nonmem_scm,focei,CL,CRCL,power,1,FALSE,1,1,0,0,1
80,2,ode,nonmem_scm,focei,CL,SEX,cat,3,FALSE,3,1,0,0,3
80,2,ode,nonmem_scm,focei,VC,BMI,power,2,FALSE,2,1,0,0,2
80,2,ode,nonmem_scm,focei,VC,BW,power,2,FALSE,2,1,0,0,2
80,2,ode,nonmem_scm,focei,VC,CRCL,power,1,FALSE,1,1,0,0,1
80,2,ode,nonmem_scm,focei,VC,RACE,cat,1,FALSE,1,1,0,0,1
80,3,ode,nonmem_scm,focei,VC,BW,power,100,TRUE,97,0.97,97,3,0
