sample_N,scenario,structure,estimator,outer_opt,dataset_id,var,covar,shape,in_true,in_scm,verdict
80,1,advan4,nonmem_scm,focei,9,CL,CRCL,power,FALSE,TRUE,FP
80,1,advan4,nonmem_scm,focei,14,CL,BMI,power,FALSE,TRUE,FP
80,1,advan4,nonmem_scm,focei,33,VC,BMI,power,FALSE,TRUE,FP
80,1,advan4,nonmem_scm,focei,34,CL,SEX,cat,FALSE,TRUE,FP
80,1,advan4,nonmem_scm,focei,39,VC,RACE,cat,FALSE,TRUE,FP
80,1,advan4,nonmem_scm,focei,50,CL,RACE,cat,FALSE,TRUE,FP
80,1,advan4,nonmem_scm,focei,50,VC,RACE,cat,FALSE,TRUE,FP
80,1,advan4,nonmem_scm,focei,60,VC,RACE,cat,FALSE,TRUE,FP
80,1,advan4,nonmem_scm,focei,74,CL,CRCL,power,FALSE,TRUE,FP
80,1,advan4,nonmem_scm,focei,81,VC,CRCL,power,FALSE,TRUE,FP
80,1,advan4,nonmem_scm,focei,81,VC,BW,power,FALSE,TRUE,FP
80,2,advan4,nonmem_scm,focei,1,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,2,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,3,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,4,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,5,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,6,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,7,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,8,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,8,CL,SEX,cat,FALSE,TRUE,FP
80,2,advan4,nonmem_scm,focei,9,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,9,CL,BMI,power,FALSE,TRUE,FP
80,2,advan4,nonmem_scm,focei,10,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,11,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,12,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,13,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,14,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,15,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,16,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,17,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,18,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,19,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,20,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,21,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,22,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,23,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,24,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,25,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,26,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,27,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,27,CL,CRCL,power,FALSE,TRUE,FP
80,2,advan4,nonmem_scm,focei,28,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,29,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,29,VC,BW,power,FALSE,TRUE,FP
80,2,advan4,nonmem_scm,focei,30,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,30,VC,BW,power,FALSE,TRUE,FP
80,2,advan4,nonmem_scm,focei,31,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,32,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,32,VC,RACE,cat,FALSE,TRUE,FP
80,2,advan4,nonmem_scm,focei,33,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,34,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,35,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,35,CL,SEX,cat,FALSE,TRUE,FP
80,2,advan4,nonmem_scm,focei,36,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,37,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,38,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,39,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,39,VC,BMI,power,FALSE,TRUE,FP
80,2,advan4,nonmem_scm,focei,40,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,41,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,42,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,43,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,44,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,45,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,46,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,47,VC,SEX,cat,TRUE,FALSE,FN
80,2,advan4,nonmem_scm,focei,48,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,49,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,50,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,51,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,52,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,53,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,54,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,55,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,56,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,57,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,58,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,59,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,59,VC,CRCL,power,FALSE,TRUE,FP
80,2,advan4,nonmem_scm,focei,60,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,61,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,62,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,63,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,64,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,65,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,66,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,67,VC,SEX,cat,TRUE,FALSE,FN
80,2,advan4,nonmem_scm,focei,68,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,69,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,70,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,71,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,72,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,73,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,74,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,75,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,76,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,77,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,78,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,79,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,80,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,81,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,82,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,83,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,84,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,85,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,86,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,87,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,88,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,89,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,90,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,91,VC,SEX,cat,TRUE,FALSE,FN
80,2,advan4,nonmem_scm,focei,92,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,93,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,94,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,95,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,96,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,97,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,98,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,99,VC,SEX,cat,TRUE,TRUE,TP
80,2,advan4,nonmem_scm,focei,100,VC,SEX,cat,TRUE,TRUE,TP
80,3,advan4,nonmem_scm,focei,1,VC,BW,power,TRUE,TRUE,TP
80,3,advan4,nonmem_scm,focei,2,VC,BW,power,TRUE,TRUE,TP
80,3,advan4,nonmem_scm,focei,3,VC,BW,power,TRUE,TRUE,TP
80,3,advan4,nonmem_scm,focei,3,VC,RACE,cat,FALSE,TRUE,FP
80,3,advan4,nonmem_scm,focei,4,VC,BW,power,TRUE,TRUE,TP
80,3,advan4,nonmem_scm,focei,5,VC,BW,power,TRUE,TRUE,TP
80,3,advan4,nonmem_scm,focei,5,CL,SEX,cat,FALSE,TRUE,FP
80,3,advan4,nonmem_scm,focei,6,VC,BW,power,TRUE,TRUE,TP
80,3,advan4,nonmem_scm,focei,7,VC,BW,power,TRUE,TRUE,TP
80,3,advan4,nonmem_scm,focei,8,VC,BW,power,TRUE,TRUE,TP
80,3,advan4,nonmem_scm,focei,9,VC,BW,power,TRUE,TRUE,TP
80,3,advan4,nonmem_scm,focei,10,VC,BW,power,TRUE,TRUE,TP
80,3,advan4,nonmem_scm,focei,11,VC,BW,power,TRUE,TRUE,TP
80,3,advan4,nonmem_scm,focei,12,VC,BW,power,TRUE,TRUE,TP
