sample_N,scenario,structure,estimator,outer_opt,dataset_id,status,converged,cn_below_cutoff,cov_ok,cov_done,objf,cond_num_cor,cond_num_cor_source,convergence_code,min_suc,cov_step,est_bnd,phys_bnd,est_family,cov_source,n_selected,n_true,n_true_hit,n_false_pos,exact_match,wall_base_sec,wall_scm_sec,wall_refit_sec,wall_total_sec,cpu_total_sec,hog_factor,scm_workers,rx_threads,message
80,1,advan4,nonmem_scm,focei,1,not_converged,FALSE,FALSE,FALSE,FALSE,-1506.4576055750988,NA,psn_lst,NA,FALSE,FALSE,TRUE,NA,nonmem,psn_cov,0,0,0,0,TRUE,NA,NA,NA,65.741,100.22,1.524,NA,NA,NA
80,1,advan4,nonmem_scm,focei,2,ok,TRUE,TRUE,TRUE,TRUE,-1549.156904685805,12.19730941704036,psn_lst,NA,TRUE,TRUE,FALSE,NA,nonmem,psn_cov,0,0,0,0,TRUE,NA,NA,NA,94.459,176.46,1.868,NA,NA,NA
80,1,advan4,nonmem_scm,focei,3,ok,TRUE,TRUE,TRUE,TRUE,-1525.7921414019218,17.569444444444443,psn_lst,NA,TRUE,TRUE,FALSE,NA,nonmem,psn_cov,0,0,0,0,TRUE,NA,NA,NA,63.39,96.62,1.524,NA,NA,NA
80,1,advan4,nonmem_scm,focei,4,ok,TRUE,FALSE,FALSE,FALSE,-1555.0804508603785,NA,psn_lst,NA,TRUE,FALSE,FALSE,NA,nonmem,psn_cov,0,0,0,0,TRUE,NA,NA,NA,63.709,97.49,1.53,NA,NA,NA
80,1,advan4,nonmem_scm,focei,5,ok,TRUE,TRUE,TRUE,TRUE,-1505.7944666619562,933.3333333333336,psn_lst,NA,TRUE,TRUE,FALSE,NA,nonmem,psn_cov,0,0,0,0,TRUE,NA,NA,NA,131.576,266.12,2.023,NA,NA,NA
80,1,advan4,nonmem_scm,focei,6,ok,TRUE,FALSE,FALSE,FALSE,-1586.7341024344712,NA,psn_lst,NA,TRUE,FALSE,FALSE,NA,nonmem,psn_cov,0,0,0,0,TRUE,NA,NA,NA,96.239,178.78,1.858,NA,NA,NA
80,1,advan4,nonmem_scm,focei,7,ok,TRUE,FALSE,FALSE,FALSE,-1504.3999517751906,NA,psn_lst,NA,TRUE,FALSE,FALSE,NA,nonmem,psn_cov,0,0,0,0,TRUE,NA,NA,NA,63.73,97.18,1.525,NA,NA,NA
80,1,advan4,nonmem_scm,focei,8,ok,TRUE,FALSE,FALSE,FALSE,-1487.0131475423864,NA,psn_lst,NA,TRUE,FALSE,FALSE,NA,nonmem,psn_cov,0,0,0,0,TRUE,NA,NA,NA,65.618,96.53,1.471,NA,NA,NA
80,1,advan4,nonmem_scm,focei,9,not_converged,FALSE,TRUE,TRUE,TRUE,-1632.7094716799666,68.27242524916944,psn_lst,NA,FALSE,TRUE,TRUE,NA,nonmem,psn_cov,1,0,0,1,FALSE,NA,NA,NA,97,181.05,1.866,NA,NA,NA
80,1,advan4,nonmem_scm,focei,10,ok,TRUE,TRUE,TRUE,TRUE,-1531.4716764707375,15.272727272727272,psn_lst,NA,TRUE,TRUE,FALSE,NA,nonmem,psn_cov,0,0,0,0,TRUE,NA,NA,NA,65.58,95.84,1.461,NA,NA,NA
80,1,advan4,nonmem_scm,focei,11,ok,TRUE,TRUE,TRUE,TRUE,-1558.189861738564,77.56563245823389,psn_lst,NA,TRUE,TRUE,FALSE,NA,nonmem,psn_cov,0,0,0,0,TRUE,NA,NA,NA,61.277,94.63,1.544,NA,NA,NA
80,1,advan4,nonmem_scm,focei,12,ok,TRUE,TRUE,TRUE,TRUE,-1567.9383622440605,30.593220338983052,psn_lst,NA,TRUE,TRUE,FALSE,NA,nonmem,psn_cov,0,0,0,0,TRUE,NA,NA,NA,64.539,95.21,1.475,NA,NA,NA
80,1,advan4,nonmem_scm,focei,13,ok,TRUE,FALSE,FALSE,FALSE,-1562.7466327510283,NA,psn_lst,NA,TRUE,FALSE,FALSE,NA,nonmem,psn_cov,0,0,0,0,TRUE,NA,NA,NA,63.537,96.68,1.522,NA,NA,NA
