sample_N,scenario,structure,estimator,outer_opt,N,n_exact,n_ok_cn,n_ok_min,n_exact_cn,n_exact_min,Power,PowerCN,PowerMinSuc
80,1,advan4,nonmem_scm,focei,100,91,45,92,40,84,0.91,0.8888888888888888,0.9130434782608696
80,2,advan4,nonmem_scm,focei,100,88,46,79,41,70,0.88,0.8913043478260869,0.8860759493670886
80,3,advan4,nonmem_scm,focei,100,87,42,92,35,83,0.87,0.8333333333333334,0.9021739130434784
80,4,advan4,nonmem_scm,focei,100,83,36,89,28,73,0.83,0.7777777777777778,0.8202247191011236
80,5,advan4,nonmem_scm,focei,100,90,41,88,38,79,0.9,0.926829268292683,0.8977272727272727
80,6,advan4,nonmem_scm,focei,100,90,39,79,38,70,0.9,0.97435897435897445,0.8860759493670886
80,7,advan4,nonmem_scm,focei,100,87,32,84,27,73,0.87,0.84375,0.8690476190476191
80,8,advan4,nonmem_scm,focei,100,80,33,79,26,63,0.8,0.7878787878787878,0.7974683544303798
80,9,advan4,nonmem_scm,focei,100,78,27,73,20,56,0.78,0.7407407407407407,0.7671232876712328
80,10,advan4,nonmem_scm,focei,100,76,24,77,18,57,0.76,0.75,0.7402597402597403
80,11,advan4,nonmem_scm,focei,100,73,30,81,23,57,0.73,0.7666666666666667,0.7037037037037037
80,12,advan4,nonmem_scm,focei,100,61,29,82,18,51,0.61,0.6206896551724138,0.6219512195121951
80,13,advan4,nonmem_scm,focei,100,75,23,87,13,64,0.75,0.5652173913043478,0.735632183908046
80,14,advan4,nonmem_scm,focei,100,84,24,79,19,67,0.84,0.7916666666666666,0.8481012658227848
80,15,advan4,nonmem_scm,focei,100,64,27,74,15,45,0.64,0.5555555555555556,0.6081081081081081
80,16,advan4,nonmem_scm,focei,100,69,17,72,10,47,0.69,0.5882352941176471,0.6527777777777778
80,1,ode,nonmem_scm,focei,100,92,0,65,0,60,0.92,NA,0.9230769230769232
80,2,ode,nonmem_scm,focei,100,87,0,45,0,39,0.87,NA,0.8666666666666667
80,3,ode,nonmem_scm,focei,100,86,0,59,0,52,0.86,NA,0.8813559322033898
80,4,ode,nonmem_scm,focei,100,85,0,41,0,36,0.85,NA,0.8780487804878049
80,5,ode,nonmem_scm,focei,100,90,0,62,0,58,0.9,NA,0.935483870967742
80,6,ode,nonmem_scm,focei,100,91,0,44,0,42,0.91,NA,0.9545454545454546
80,7,ode,nonmem_scm,focei,100,87,0,68,0,59,0.87,NA,0.8676470588235294
80,8,ode,nonmem_scm,focei,100,81,0,50,0,43,0.81,NA,0.86
80,9,ode,nonmem_scm,focei,100,75,0,61,0,47,0.75,NA,0.7704918032786885
80,10,ode,nonmem_scm,focei,100,75,0,46,0,35,0.75,NA,0.7608695652173914
80,11,ode,nonmem_scm,focei,100,72,0,58,0,44,0.72,NA,0.7586206896551724
80,12,ode,nonmem_scm,focei,100,61,0,34,0,19,0.61,NA,0.5588235294117647
80,13,ode,nonmem_scm,focei,100,77,0,59,0,43,0.77,NA,0.7288135593220338
80,14,ode,nonmem_scm,focei,100,80,0,51,0,40,0.8,NA,0.7843137254901961
80,15,ode,nonmem_scm,focei,100,65,0,53,0,40,0.65,NA,0.7547169811320755
80,16,ode,nonmem_scm,focei,100,66,0,45,0,28,0.66,NA,0.6222222222222222
