sample_N,scenario,structure,estimator,outer_opt,k,n_at_least_k,fraction_at_least_k,n_true
80,2,advan4,nonmem_scm,focei,1,97,0.97,1
80,3,advan4,nonmem_scm,focei,1,98,0.98,1
80,4,advan4,nonmem_scm,focei,1,100,1,2
80,4,advan4,nonmem_scm,focei,2,88,0.88,2
80,5,advan4,nonmem_scm,focei,1,100,1,1
80,6,advan4,nonmem_scm,focei,1,100,1,2
80,6,advan4,nonmem_scm,focei,2,97,0.97,2
80,7,advan4,nonmem_scm,focei,1,99,0.99,2
80,7,advan4,nonmem_scm,focei,2,92,0.92,2
80,8,advan4,nonmem_scm,focei,1,100,1,3
80,8,advan4,nonmem_scm,focei,2,100,1,3
80,8,advan4,nonmem_scm,focei,3,87,0.87,3
80,9,advan4,nonmem_scm,focei,1,86,0.86,1
80,10,advan4,nonmem_scm,focei,1,100,1,2
80,10,advan4,nonmem_scm,focei,2,83,0.83,2
80,11,advan4,nonmem_scm,focei,1,99,0.99,2
80,11,advan4,nonmem_scm,focei,2,80,0.8,2
80,12,advan4,nonmem_scm,focei,1,100,1,3
80,12,advan4,nonmem_scm,focei,2,99,0.99,3
80,12,advan4,nonmem_scm,focei,3,66,0.66,3
80,13,advan4,nonmem_scm,focei,1,100,1,2
80,13,advan4,nonmem_scm,focei,2,80,0.8,2
80,14,advan4,nonmem_scm,focei,1,100,1,3
80,14,advan4,nonmem_scm,focei,2,100,1,3
80,14,advan4,nonmem_scm,focei,3,86,0.86,3
80,15,advan4,nonmem_scm,focei,1,100,1,3
80,15,advan4,nonmem_scm,focei,2,98,0.98,3
80,15,advan4,nonmem_scm,focei,3,70,0.7,3
80,16,advan4,nonmem_scm,focei,1,100,1,4
80,16,advan4,nonmem_scm,focei,2,100,1,4
80,16,advan4,nonmem_scm,focei,3,96,0.96,4
80,16,advan4,nonmem_scm,focei,4,69,0.69,4
80,2,ode,nonmem_scm,focei,1,97,0.97,1
80,3,ode,nonmem_scm,focei,1,97,0.97,1
80,4,ode,nonmem_scm,focei,1,100,1,2
80,4,ode,nonmem_scm,focei,2,90,0.9,2
80,5,ode,nonmem_scm,focei,1,100,1,1
80,6,ode,nonmem_scm,focei,1,100,1,2
80,6,ode,nonmem_scm,focei,2,98,0.98,2
80,7,ode,nonmem_scm,focei,1,99,0.99,2
80,7,ode,nonmem_scm,focei,2,92,0.92,2
80,8,ode,nonmem_scm,focei,1,100,1,3
80,8,ode,nonmem_scm,focei,2,100,1,3
80,8,ode,nonmem_scm,focei,3,87,0.87,3
80,9,ode,nonmem_scm,focei,1,84,0.84,1
80,10,ode,nonmem_scm,focei,1,99,0.99,2
80,10,ode,nonmem_scm,focei,2,82,0.82,2
80,11,ode,nonmem_scm,focei,1,99,0.99,2
80,11,ode,nonmem_scm,focei,2,78,0.78,2
80,12,ode,nonmem_scm,focei,1,100,1,3
80,12,ode,nonmem_scm,focei,2,98,0.98,3
80,12,ode,nonmem_scm,focei,3,66,0.66,3
80,13,ode,nonmem_scm,focei,1,100,1,2
80,13,ode,nonmem_scm,focei,2,81,0.81,2
80,14,ode,nonmem_scm,focei,1,100,1,3
80,14,ode,nonmem_scm,focei,2,100,1,3
80,14,ode,nonmem_scm,focei,3,83,0.83,3
80,15,ode,nonmem_scm,focei,1,100,1,3
80,15,ode,nonmem_scm,focei,2,98,0.98,3
80,15,ode,nonmem_scm,focei,3,70,0.7,3
80,16,ode,nonmem_scm,focei,1,100,1,4
80,16,ode,nonmem_scm,focei,2,100,1,4
80,16,ode,nonmem_scm,focei,3,97,0.97,4
80,16,ode,nonmem_scm,focei,4,66,0.66,4
