sample_N,scenario,structure,estimator,outer_opt,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
80,1,linCmt,focei,bobyqa,cl,BMI,power,1,FALSE,1,1,0,0,1
80,1,linCmt,focei,bobyqa,cl,CrCL,power,2,FALSE,2,1,0,0,2
80,1,linCmt,focei,bobyqa,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,1,linCmt,focei,bobyqa,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,1,linCmt,focei,bobyqa,vc,BMI,power,1,FALSE,1,1,0,0,1
80,1,linCmt,focei,bobyqa,vc,BW,power,1,FALSE,1,1,0,0,1
80,1,linCmt,focei,bobyqa,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,1,linCmt,focei,bobyqa,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,1,ode,focei,bobyqa,cl,BMI,power,1,FALSE,1,1,0,0,1
80,1,ode,focei,bobyqa,cl,CrCL,power,1,FALSE,1,1,0,0,1
80,1,ode,focei,bobyqa,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,1,ode,focei,bobyqa,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,1,ode,focei,bobyqa,vc,BMI,power,1,FALSE,1,1,0,0,1
80,1,ode,focei,bobyqa,vc,BW,power,1,FALSE,1,1,0,0,1
80,1,ode,focei,bobyqa,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,1,ode,focei,bobyqa,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,2,linCmt,focei,bobyqa,vc,SEX,cat,100,TRUE,97,0.97,97,3,0
80,2,linCmt,focei,bobyqa,cl,BMI,power,1,FALSE,1,1,0,0,1
80,2,linCmt,focei,bobyqa,cl,CrCL,power,1,FALSE,1,1,0,0,1
80,2,linCmt,focei,bobyqa,cl,SEX,cat,2,FALSE,2,1,0,0,2
80,2,linCmt,focei,bobyqa,vc,BMI,power,1,FALSE,1,1,0,0,1
80,2,linCmt,focei,bobyqa,vc,BW,power,2,FALSE,2,1,0,0,2
80,2,linCmt,focei,bobyqa,vc,CrCL,power,1,FALSE,1,1,0,0,1
