sample_N,scenario,structure,estimator,outer_opt,dataset_id,var,covar,shape,in_true,in_scm,verdict
80,1,linCmt,focei,bobyqa,9,cl,CrCL,power,FALSE,TRUE,FP
80,1,linCmt,focei,bobyqa,14,cl,BMI,power,FALSE,TRUE,FP
80,1,linCmt,focei,bobyqa,33,vc,BMI,power,FALSE,TRUE,FP
80,1,linCmt,focei,bobyqa,34,cl,SEX,cat,FALSE,TRUE,FP
80,1,linCmt,focei,bobyqa,39,vc,RACE,cat,FALSE,TRUE,FP
80,1,linCmt,focei,bobyqa,50,vc,RACE,cat,FALSE,TRUE,FP
80,1,linCmt,focei,bobyqa,50,cl,RACE,cat,FALSE,TRUE,FP
80,1,linCmt,focei,bobyqa,60,vc,RACE,cat,FALSE,TRUE,FP
80,1,linCmt,focei,bobyqa,74,cl,CrCL,power,FALSE,TRUE,FP
80,1,linCmt,focei,bobyqa,81,vc,BW,power,FALSE,TRUE,FP
80,1,linCmt,focei,bobyqa,81,vc,CrCL,power,FALSE,TRUE,FP
80,1,ode,focei,bobyqa,9,cl,CrCL,power,FALSE,TRUE,FP
80,1,ode,focei,bobyqa,14,cl,BMI,power,FALSE,TRUE,FP
80,1,ode,focei,bobyqa,33,vc,BMI,power,FALSE,TRUE,FP
80,1,ode,focei,bobyqa,34,cl,SEX,cat,FALSE,TRUE,FP
80,1,ode,focei,bobyqa,39,vc,RACE,cat,FALSE,TRUE,FP
80,1,ode,focei,bobyqa,50,vc,RACE,cat,FALSE,TRUE,FP
80,1,ode,focei,bobyqa,50,cl,RACE,cat,FALSE,TRUE,FP
80,1,ode,focei,bobyqa,60,vc,RACE,cat,FALSE,TRUE,FP
80,1,ode,focei,bobyqa,81,vc,BW,power,FALSE,TRUE,FP
80,1,ode,focei,bobyqa,81,vc,CrCL,power,FALSE,TRUE,FP
80,2,linCmt,focei,bobyqa,1,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,2,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,3,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,4,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,5,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,6,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,7,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,8,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,8,cl,SEX,cat,FALSE,TRUE,FP
80,2,linCmt,focei,bobyqa,9,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,9,cl,BMI,power,FALSE,TRUE,FP
80,2,linCmt,focei,bobyqa,10,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,11,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,12,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,13,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,14,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,15,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,16,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,17,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,18,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,19,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,20,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,21,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,22,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,23,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,24,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,25,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,26,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,27,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,27,cl,CrCL,power,FALSE,TRUE,FP
80,2,linCmt,focei,bobyqa,28,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,29,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,29,vc,BW,power,FALSE,TRUE,FP
80,2,linCmt,focei,bobyqa,30,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,30,vc,BW,power,FALSE,TRUE,FP
80,2,linCmt,focei,bobyqa,31,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,32,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,32,vc,RACE,cat,FALSE,TRUE,FP
80,2,linCmt,focei,bobyqa,33,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,34,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,35,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,35,cl,SEX,cat,FALSE,TRUE,FP
80,2,linCmt,focei,bobyqa,36,vc,SEX,cat,TRUE,TRUE,TP
80,2,linCmt,focei,bobyqa,37,vc,SEX,cat,TRUE,TRUE,TP
