sample_N,scenario,structure,estimator,outer_opt,N,n_exact,n_ok_cn,n_ok_min,n_exact_cn,n_exact_min,Power,PowerCN,PowerMinSuc
80,1,linCmt,focei,bobyqa,100,91,100,100,91,91,0.91,0.91,0.91
80,1,ode,focei,bobyqa,100,92,100,100,92,92,0.92,0.92,0.92
80,2,linCmt,focei,bobyqa,100,88,100,100,88,88,0.88,0.88,0.88
80,2,ode,focei,bobyqa,100,88,100,100,88,88,0.88,0.88,0.88
80,3,linCmt,focei,bobyqa,99,86,99,99,86,86,0.8686868686868687,0.8686868686868687,0.8686868686868687
80,3,ode,focei,bobyqa,100,87,100,100,87,87,0.87,0.87,0.87
80,4,linCmt,focei,bobyqa,100,83,100,100,83,83,0.83,0.83,0.83
80,4,ode,focei,bobyqa,100,84,100,100,84,84,0.84,0.84,0.84
80,5,linCmt,focei,bobyqa,100,90,100,100,90,90,0.9,0.9,0.9
80,5,ode,focei,bobyqa,100,90,100,100,90,90,0.9,0.9,0.9
80,6,linCmt,focei,bobyqa,100,90,100,100,90,90,0.9,0.9,0.9
80,6,ode,focei,bobyqa,100,90,100,100,90,90,0.9,0.9,0.9
80,7,linCmt,focei,bobyqa,100,87,100,100,87,87,0.87,0.87,0.87
80,7,ode,focei,bobyqa,100,87,100,100,87,87,0.87,0.87,0.87
80,8,linCmt,focei,bobyqa,100,78,100,100,78,78,0.78,0.78,0.78
80,8,ode,focei,bobyqa,100,76,100,100,76,76,0.76,0.76,0.76
80,9,linCmt,focei,bobyqa,100,77,100,100,77,77,0.77,0.77,0.77
80,9,ode,focei,bobyqa,100,75,100,100,75,75,0.75,0.75,0.75
80,10,linCmt,focei,bobyqa,100,75,100,100,75,75,0.75,0.75,0.75
80,10,ode,focei,bobyqa,100,74,100,100,74,74,0.74,0.74,0.74
80,11,linCmt,focei,bobyqa,100,73,100,100,73,73,0.73,0.73,0.73
80,11,ode,focei,bobyqa,100,67,100,100,67,67,0.67,0.67,0.67
80,12,linCmt,focei,bobyqa,100,60,100,100,60,60,0.6,0.6,0.6
80,12,ode,focei,bobyqa,100,60,100,100,60,60,0.6,0.6,0.6
80,13,linCmt,focei,bobyqa,100,73,100,100,73,73,0.73,0.73,0.73
80,13,ode,focei,bobyqa,100,73,99,100,73,73,0.73,0.7373737373737373,0.73
80,14,linCmt,focei,bobyqa,100,82,100,100,82,82,0.82,0.82,0.82
80,14,ode,focei,bobyqa,100,74,99,100,74,74,0.74,0.7474747474747475,0.74
80,15,linCmt,focei,bobyqa,100,64,100,100,64,64,0.64,0.64,0.64
80,15,ode,focei,bobyqa,100,59,99,100,59,59,0.59,0.5959595959595959,0.59
80,16,linCmt,focei,bobyqa,100,66,100,100,66,66,0.66,0.66,0.66
80,16,ode,focei,bobyqa,100,58,100,100,58,58,0.58,0.58,0.58
