sample_N,scenario,structure,estimator,outer_opt,k,n_at_least_k,fraction_at_least_k,n_true
80,2,linCmt,focei,bobyqa,1,97,0.97,1
80,2,ode,focei,bobyqa,1,97,0.97,1
80,3,linCmt,focei,bobyqa,1,97,0.9797979797979798,1
80,3,ode,focei,bobyqa,1,98,0.98,1
80,4,linCmt,focei,bobyqa,1,100,1,2
80,4,linCmt,focei,bobyqa,2,88,0.88,2
80,4,ode,focei,bobyqa,1,100,1,2
80,4,ode,focei,bobyqa,2,89,0.89,2
80,5,linCmt,focei,bobyqa,1,100,1,1
80,5,ode,focei,bobyqa,1,100,1,1
80,6,linCmt,focei,bobyqa,1,100,1,2
80,6,linCmt,focei,bobyqa,2,97,0.97,2
80,6,ode,focei,bobyqa,1,100,1,2
80,6,ode,focei,bobyqa,2,96,0.96,2
80,7,linCmt,focei,bobyqa,1,99,0.99,2
80,7,linCmt,focei,bobyqa,2,92,0.92,2
80,7,ode,focei,bobyqa,1,99,0.99,2
80,7,ode,focei,bobyqa,2,92,0.92,2
80,8,linCmt,focei,bobyqa,1,100,1,3
80,8,linCmt,focei,bobyqa,2,100,1,3
80,8,linCmt,focei,bobyqa,3,86,0.86,3
80,8,ode,focei,bobyqa,1,100,1,3
80,8,ode,focei,bobyqa,2,100,1,3
80,8,ode,focei,bobyqa,3,84,0.84,3
80,9,linCmt,focei,bobyqa,1,85,0.85,1
80,9,ode,focei,bobyqa,1,83,0.83,1
80,10,linCmt,focei,bobyqa,1,100,1,2
80,10,linCmt,focei,bobyqa,2,82,0.82,2
80,10,ode,focei,bobyqa,1,100,1,2
80,10,ode,focei,bobyqa,2,81,0.81,2
80,11,linCmt,focei,bobyqa,1,98,0.98,2
80,11,linCmt,focei,bobyqa,2,80,0.8,2
80,11,ode,focei,bobyqa,1,99,0.99,2
80,11,ode,focei,bobyqa,2,75,0.75,2
80,12,linCmt,focei,bobyqa,1,100,1,3
80,12,linCmt,focei,bobyqa,2,98,0.98,3
80,12,linCmt,focei,bobyqa,3,66,0.66,3
80,12,ode,focei,bobyqa,1,100,1,3
80,12,ode,focei,bobyqa,2,99,0.99,3
80,12,ode,focei,bobyqa,3,66,0.66,3
80,13,linCmt,focei,bobyqa,1,100,1,2
80,13,linCmt,focei,bobyqa,2,78,0.78,2
80,13,ode,focei,bobyqa,1,100,1,2
80,13,ode,focei,bobyqa,2,76,0.76,2
80,14,linCmt,focei,bobyqa,1,100,1,3
80,14,linCmt,focei,bobyqa,2,100,1,3
80,14,linCmt,focei,bobyqa,3,84,0.84,3
80,14,ode,focei,bobyqa,1,100,1,3
80,14,ode,focei,bobyqa,2,99,0.99,3
80,14,ode,focei,bobyqa,3,75,0.75,3
80,15,linCmt,focei,bobyqa,1,100,1,3
80,15,linCmt,focei,bobyqa,2,98,0.98,3
80,15,linCmt,focei,bobyqa,3,69,0.69,3
80,15,ode,focei,bobyqa,1,99,0.99,3
80,15,ode,focei,bobyqa,2,95,0.95,3
80,15,ode,focei,bobyqa,3,65,0.65,3
80,16,linCmt,focei,bobyqa,1,100,1,4
80,16,linCmt,focei,bobyqa,2,100,1,4
80,16,linCmt,focei,bobyqa,3,95,0.95,4
80,16,linCmt,focei,bobyqa,4,66,0.66,4
80,16,ode,focei,bobyqa,1,100,1,4
80,16,ode,focei,bobyqa,2,100,1,4
80,16,ode,focei,bobyqa,3,94,0.94,4
80,16,ode,focei,bobyqa,4,60,0.6,4
