sample_N,scenario,structure,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
80,1,linCmt,cl,BMI,power,3,FALSE,3,1,0,0,3
80,1,linCmt,cl,BW,power,3,FALSE,3,1,0,0,3
80,1,linCmt,cl,CrCL,power,6,FALSE,6,1,0,0,6
80,1,linCmt,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,1,linCmt,cl,SEX,cat,3,FALSE,3,1,0,0,3
80,1,linCmt,vc,BMI,power,4,FALSE,4,1,0,0,4
80,1,linCmt,vc,BW,power,2,FALSE,2,1,0,0,2
80,1,linCmt,vc,CrCL,power,2,FALSE,2,1,0,0,2
80,1,linCmt,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,1,linCmt,vc,SEX,cat,2,FALSE,2,1,0,0,2
80,1,ode,cl,BMI,power,3,FALSE,3,1,0,0,3
80,1,ode,cl,BW,power,3,FALSE,3,1,0,0,3
80,1,ode,cl,CrCL,power,6,FALSE,6,1,0,0,6
80,1,ode,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,1,ode,cl,SEX,cat,3,FALSE,3,1,0,0,3
80,1,ode,vc,BMI,power,3,FALSE,3,1,0,0,3
80,1,ode,vc,BW,power,2,FALSE,2,1,0,0,2
80,1,ode,vc,CrCL,power,3,FALSE,3,1,0,0,3
80,1,ode,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,1,ode,vc,SEX,cat,2,FALSE,2,1,0,0,2
80,2,linCmt,vc,SEX,cat,100,TRUE,98,0.98,98,2,0
80,2,linCmt,cl,BMI,power,4,FALSE,4,1,0,0,4
80,2,linCmt,cl,BW,power,3,FALSE,3,1,0,0,3
80,2,linCmt,cl,CrCL,power,5,FALSE,5,1,0,0,5
80,2,linCmt,cl,RACE,cat,3,FALSE,3,1,0,0,3
80,2,linCmt,cl,SEX,cat,4,FALSE,4,1,0,0,4
80,2,linCmt,vc,BMI,power,3,FALSE,3,1,0,0,3
80,2,linCmt,vc,BW,power,2,FALSE,2,1,0,0,2
80,2,linCmt,vc,CrCL,power,3,FALSE,3,1,0,0,3
80,2,linCmt,vc,RACE,cat,1,FALSE,1,1,0,0,1
80,2,ode,vc,SEX,cat,100,TRUE,98,0.98,98,2,0
80,2,ode,cl,BMI,power,4,FALSE,4,1,0,0,4
80,2,ode,cl,BW,power,3,FALSE,3,1,0,0,3
80,2,ode,cl,CrCL,power,5,FALSE,5,1,0,0,5
80,2,ode,cl,RACE,cat,3,FALSE,3,1,0,0,3
80,2,ode,cl,SEX,cat,4,FALSE,4,1,0,0,4
80,2,ode,vc,BMI,power,3,FALSE,3,1,0,0,3
80,2,ode,vc,BW,power,2,FALSE,2,1,0,0,2
80,2,ode,vc,CrCL,power,3,FALSE,3,1,0,0,3
80,2,ode,vc,RACE,cat,1,FALSE,1,1,0,0,1
80,3,linCmt,vc,BW,power,100,TRUE,95,0.95,95,5,0
80,3,linCmt,cl,BMI,power,4,FALSE,4,1,0,0,4
80,3,linCmt,cl,BW,power,3,FALSE,3,1,0,0,3
80,3,linCmt,cl,CrCL,power,7,FALSE,7,1,0,0,7
80,3,linCmt,cl,RACE,cat,4,FALSE,4,1,0,0,4
80,3,linCmt,cl,SEX,cat,3,FALSE,3,1,0,0,3
