sample_N,scenario,structure,dataset_id,var,covar,shape,in_true,in_vae,verdict
80,1,linCmt,2,vc,BMI,power,FALSE,TRUE,FP
80,1,linCmt,5,vc,BMI,power,FALSE,TRUE,FP
80,1,linCmt,6,cl,BW,power,FALSE,TRUE,FP
80,1,linCmt,9,cl,CrCL,power,FALSE,TRUE,FP
80,1,linCmt,14,cl,BMI,power,FALSE,TRUE,FP
80,1,linCmt,20,cl,SEX,cat,FALSE,TRUE,FP
80,1,linCmt,33,vc,BMI,power,FALSE,TRUE,FP
80,1,linCmt,34,cl,SEX,cat,FALSE,TRUE,FP
80,1,linCmt,39,vc,RACE,cat,FALSE,TRUE,FP
80,1,linCmt,43,cl,CrCL,power,FALSE,TRUE,FP
80,1,linCmt,44,vc,SEX,cat,FALSE,TRUE,FP
80,1,linCmt,47,cl,SEX,cat,FALSE,TRUE,FP
80,1,linCmt,50,vc,RACE,cat,FALSE,TRUE,FP
80,1,linCmt,50,cl,RACE,cat,FALSE,TRUE,FP
80,1,linCmt,52,cl,BMI,power,FALSE,TRUE,FP
80,1,linCmt,52,cl,BW,power,FALSE,TRUE,FP
80,1,linCmt,57,vc,SEX,cat,FALSE,TRUE,FP
80,1,linCmt,59,cl,CrCL,power,FALSE,TRUE,FP
80,1,linCmt,60,vc,RACE,cat,FALSE,TRUE,FP
80,1,linCmt,62,vc,BMI,power,FALSE,TRUE,FP
80,1,linCmt,63,cl,CrCL,power,FALSE,TRUE,FP
80,1,linCmt,65,vc,BW,power,FALSE,TRUE,FP
80,1,linCmt,74,cl,CrCL,power,FALSE,TRUE,FP
80,1,linCmt,77,cl,BMI,power,FALSE,TRUE,FP
80,1,linCmt,77,cl,BW,power,FALSE,TRUE,FP
80,1,linCmt,79,vc,CrCL,power,FALSE,TRUE,FP
80,1,linCmt,81,vc,BW,power,FALSE,TRUE,FP
80,1,linCmt,81,vc,CrCL,power,FALSE,TRUE,FP
80,1,linCmt,97,cl,CrCL,power,FALSE,TRUE,FP
80,1,ode,2,vc,BMI,power,FALSE,TRUE,FP
80,1,ode,6,cl,BW,power,FALSE,TRUE,FP
80,1,ode,9,cl,CrCL,power,FALSE,TRUE,FP
