sample_N,scenario,structure,estimator,outer_opt,dataset_id,status,converged,cn_below_cutoff,cov_ok,objf,cond_num_cor,cond_num_cor_source,convergence_code,min_suc,cov_step,est_bnd,phys_bnd,est_family,cov_source,n_selected,n_true,n_true_hit,n_false_pos,exact_match,fit_runtime_sec,message
80,1,linCmt,vae,NA,1,ok,TRUE,TRUE,TRUE,-1479.7794057737797,9.807132291313714,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,43.48362350463867,
80,1,linCmt,vae,NA,2,ok,TRUE,TRUE,TRUE,-1533.3234945635256,4.344760670119129,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,47.3807315826416,
80,1,linCmt,vae,NA,3,ok,TRUE,TRUE,TRUE,-1497.5505847955728,4.29133384859194,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,41.78534197807312,
80,1,linCmt,vae,NA,4,ok,TRUE,TRUE,TRUE,-1521.3496671220785,6.334506326136775,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,40.97067403793335,
80,1,linCmt,vae,NA,5,ok,TRUE,TRUE,TRUE,-1467.591544660543,3.2354813734042476,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,46.805504322052,
80,1,linCmt,vae,NA,6,ok,TRUE,TRUE,TRUE,-1548.3899816977937,10.18869082426278,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,47.987382650375366,
80,1,linCmt,vae,NA,7,ok,TRUE,TRUE,TRUE,-1477.7085704176823,4.5255488424320065,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,41.37455153465271,
80,1,linCmt,vae,NA,8,ok,TRUE,TRUE,TRUE,-1457.6883728946395,4.003053665837367,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,41.974501848220825,
80,1,linCmt,vae,NA,9,ok,TRUE,TRUE,TRUE,-1583.2880533689774,6.0734899005062175,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,46.0760543346405,
80,1,linCmt,vae,NA,10,ok,TRUE,TRUE,TRUE,-1502.4681074630744,4.087045729945928,native,NA,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,41.09179496765137,
