sample_N,scenario,structure,n_total,n_ok_status,Converged_pct,ConvergedStrict_pct,CovStep_pct,CNBelowCutoff_pct,MinSuc_pct,EstBnd_pct,MedCN,MaxCN,P90CN,MedObjF,MedNSelected,MedRuntime_sec,MedRuntime_min
80,1,linCmt,100,100,100,100,100,100,100,NA,5.353674095196154,156.35743034248603,9.845288144608624,-1502.1494883026148,0,53.12416648864746,0.885402774810791
80,1,ode,100,100,100,98,100,98,100,NA,7.453900535413273,8918.417030487008,80.79692593901689,-1501.7944939799095,0,74.27514588832855,1.2379190981388093
80,2,linCmt,100,100,100,100,100,100,100,NA,10.629131492706687,117.71940693180707,18.13449983099521,-1516.8060324553624,1,66.71498215198517,1.111916369199753
80,2,ode,100,100,100,97,100,97,100,NA,11.765943966531815,116235806.03723066,30.209508831991933,-1517.7328454149495,1,81.41645431518555,1.3569409052530925
80,3,linCmt,100,100,100,100,100,100,100,NA,8.26133135146598,333.60153551255047,14.324446684815246,-1509.980592356519,1,66.41994225978851,1.1069990376631418
80,3,ode,100,100,100,92,100,92,100,NA,9.57960580691982,15932.818403959423,165.17739798966852,-1509.266978910273,1,83.53636837005615,1.3922728061676026
80,4,linCmt,100,100,100,100,100,100,100,NA,17.53955276409816,395.14393593021845,37.718006824046405,-1526.860473986848,2,66.69100880622864,1.111516813437144
80,4,ode,100,100,100,96,100,96,100,NA,17.989612602791773,16841.181762246677,130.22044188386803,-1527.9861425111694,2,89.25458407402039,1.4875764012336732
80,5,linCmt,100,100,100,100,100,100,100,NA,5.428301596684692,144.5098143848306,13.037198448636167,-1525.3459001271951,1,63.16078758239746,1.0526797930399576
80,5,ode,100,100,100,94,100,94,100,NA,16.30053106661215,38429.29565363455,173.8588324127737,-1525.6167989843193,1,84.79889273643494,1.4133148789405823
80,6,linCmt,100,100,100,100,100,100,100,NA,12.017646084721843,331.58061836656384,21.32113378242134,-1519.6737026982414,2,66.02773940563202,1.1004623234272004
80,6,ode,100,100,100,97,100,97,100,NA,25.312871643451377,1655040.4262705173,238.50411388544438,-1520.7517732054723,2,88.08924198150635,1.4681540330251057
80,7,linCmt,100,100,100,100,100,100,100,NA,7.999004640109098,102.68212567028883,39.93246941266712,-1515.444959481476,2,67.35965132713318,1.1226608554522197
80,7,ode,100,100,100,97,100,97,100,NA,21.785460165366853,12093.537045268748,116.06294967054475,-1515.2796614597844,2,90.36445796489716,1.5060742994149525
80,8,linCmt,100,100,100,100,100,100,100,NA,20.281500661922685,194.80966092042866,35.52075063292103,-1524.7775193184711,3,68.7072890996933,1.1451214849948883
80,8,ode,100,100,100,98,100,98,100,NA,28.273999339123776,28175.6745467491,160.77902317499098,-1524.1515959163635,3,90.39983880519867,1.5066639800866446
80,9,linCmt,100,100,100,100,100,100,100,NA,7.662983089253634,265.6245746342272,74.28712850392672,-1554.1763734753554,1,66.27983450889587,1.104663908481598
80,9,ode,100,100,100,96,100,96,100,NA,28.176982265278227,100706.95770370385,157.34772756453657,-1553.4848878156868,1,86.53737258911133,1.4422895431518554
80,10,linCmt,100,100,100,100,100,100,100,NA,13.339371246805987,244.23433616834757,28.496597642968915,-1563.0275514147477,2,68.3532246351242,1.1392204105854034
80,10,ode,100,100,100,97,100,97,100,NA,35.30167101985138,3896.6060368296494,148.7496803717599,-1564.2676175991962,2,90.38782215118408,1.5064637025197347
80,11,linCmt,100,100,100,100,100,100,100,NA,9.605806723565259,650.8345784238891,39.9487542856579,-1561.3082398156173,2,69.28723359107971,1.1547872265179953
80,11,ode,100,100,100,95,100,95,100,NA,37.37035230035562,3005.769347125166,189.33005770739476,-1560.4875517761122,2,94.84887683391571,1.5808146138985952
80,12,linCmt,100,100,100,100,100,100,100,NA,21.12310529376432,350.8666679949099,44.10940453806954,-1557.1488749850678,3,56.72271537780762,0.945378589630127
80,12,ode,100,100,100,97,100,97,100,NA,45.87589973382458,4994.3203330231645,217.68732285170063,-1557.257738101608,3,68.73899614810944,1.145649935801824
80,13,linCmt,100,100,100,100,100,100,100,NA,14.52855798021244,193.42769719349067,46.61529020518891,-1581.7822107177055,2,47.45277118682861,0.7908795197804769
80,13,ode,100,100,99,92,99,92,99,NA,97.80282297580963,10802.43282214747,671.7682931248024,-1579.1732945720287,2,66.06803369522095,1.101133894920349
80,14,linCmt,100,100,100,100,100,100,100,NA,22.775566388840193,337.70913608430317,77.32839386952168,-1575.043244354811,3,48.14397168159485,0.8023995280265808
80,14,ode,100,100,100,86,100,86,100,NA,148.67449355820202,16769.135938698582,1738.3443785440002,-1575.4222437091335,3,67.52819204330444,1.1254698673884074
80,15,linCmt,100,100,100,100,100,100,100,NA,16.331004882972977,613.0968522209173,97.51427160836744,-1568.004872703066,3,48.18673527240753,0.8031122545401256
80,15,ode,100,100,100,87,100,87,100,NA,111.17637505620965,85190.83130399486,1625.2421802139525,-1568.034795931673,3,67.9897027015686,1.13316171169281
80,16,linCmt,100,100,100,100,100,100,100,NA,30.065618015708033,239.2683081619835,95.11001060111688,-1573.928209454897,4,48.69907546043396,0.8116512576738993
80,16,ode,100,100,100,88,100,88,100,NA,121.3079308400853,3029830.7731946595,1411.3955370745698,-1575.5764738038724,4,70.17807996273041,1.1696346660455068
