sample_N,scenario,structure,parameter,param_class,true_value,n_used,MedRE_pct,MeanRE_pct,MARE_pct,RMRSE_pct,P90AbsRE_pct
80,1,linCmt,TVCL,structural_intercept,0.6,75,0.28181755085667415,0.6218086937784598,2.597984640238767,3.6261317056453977,5.437468541695846
80,1,linCmt,TVVc,structural_intercept,20,75,0.8259207789051537,0.11012774850001987,2.8399362655891203,4.508626642494047,7.231273963573479
80,1,linCmt,ResErr,structural_other,0.1,75,13.925895214999997,14.364119488973328,13.925895214999997,14.728908483875774,18.667529350199995
80,1,linCmt,TVKA,structural_other,0.7,75,0,0,0,0,0
80,1,linCmt,TVQ,structural_other,1.8,75,3.5444731569689427,3.861218091928087,3.5444731569689427,4.11737441664551,5.7806657257985705
80,1,linCmt,TVVp,structural_other,80,75,1.8031695880450191,1.6997534053988124,1.8031695880450191,2.115632225933115,3.2170225764399167
80,1,linCmt,cov_VcCL,structural_other,0.02,75,-12.653328516499961,-10.398471412709869,27.76697902750001,40.89348374439901,63.27810768283001
80,1,linCmt,var_CL,structural_other,0.1,75,-2.664423026599985,-0.09733452526133846,10.408329324900004,15.964762551893555,25.908284173579975
80,1,linCmt,var_Vc,structural_other,0.1,75,-49.11030219490001,-47.31885677222533,49.11030219490001,49.480031874599625,64.97031700228001
80,1,ode,TVCL,structural_intercept,0.6,76,0.42395406541877645,0.6203907381638945,2.6269054212163896,3.585561270061345,5.586910196514195
80,1,ode,TVVc,structural_intercept,20,76,0.702836568212124,0.04300165196184992,2.8871889861773603,4.52211734625095,7.127368980595686
80,1,ode,ResErr,structural_other,0.1,76,13.865568186999994,14.461832215078942,13.865568186999994,14.86639586233474,19.077273622499995
80,1,ode,TVKA,structural_other,0.7,76,0,0,0,0,0
80,1,ode,TVQ,structural_other,1.8,76,3.53009672455422,3.850293990384927,3.53009672455422,4.106358683089417,5.6758285774002815
80,1,ode,TVVp,structural_other,80,76,1.8255150780001819,1.6998653533411117,1.8255150780001819,2.102469597540582,3.062743742331593
80,1,ode,cov_VcCL,structural_other,0.02,76,-12.71321535750002,-10.802536500731975,28.07128064774997,41.05682600237421,64.70192276277503
80,1,ode,var_CL,structural_other,0.1,76,-2.1318880414500017,0.08454289261052185,10.892752858400016,15.903236232366073,25.86697823925002
80,1,ode,var_Vc,structural_other,0.1,76,-47.665772820099995,-47.26844806059079,47.665772820099995,49.439721535370786,65.8538637861
80,2,linCmt,VcSEX,covariate_beta,0.4054651081081644,76,-11.67713084427326,-9.274478402152623,15.978615349450104,21.806211168801667,35.08522098878473
80,2,linCmt,TVCL,structural_intercept,0.6,76,0.027636643894046742,0.7414053383391911,2.48758884940542,3.775710770685823,6.532305099591102
80,2,linCmt,TVVc,structural_intercept,20,76,1.6067868301286834,2.2389080686427256,3.7596179582185836,6.007418181242708,9.938109975296738
80,2,linCmt,ResErr,structural_other,0.1,76,8.935657569999998,9.294504687584206,8.935657569999998,10.30383074228342,15.62808110399999
