sample_N,scenario,structure,parameter,param_class,true_value,n_used,MedRE_pct,MeanRE_pct,MARE_pct,RMRSE_pct,P90AbsRE_pct
80,1,linCmt,TVCL,structural_intercept,0.6,100,-0.23849614588213516,0.6576539528729987,2.7609787607193925,5.149585846700056,5.3762366096413245
80,1,linCmt,TVVc,structural_intercept,20,100,0.9132015652811631,1.5660838234419532,3.466498333330366,9.26073898611324,10.28969081301836
80,1,linCmt,ResErr,structural_other,0.1,100,13.887432667499999,14.012582903968996,13.887432667499999,14.565658879688744,18.496069678299992
80,1,linCmt,TVKA,structural_other,0.7,100,0,0,0,0,0
80,1,linCmt,TVQ,structural_other,1.8,100,3.447852620759257,3.602950031230873,3.447852620759257,3.890488105891582,5.548478383775353
80,1,linCmt,TVVp,structural_other,80,100,1.7308247420069736,1.6827035036950493,1.7308247420069736,2.089049400024922,3.2319522442869877
80,1,linCmt,cov_VcCL,structural_other,0.02,100,-13.804742837499978,-10.5907219443289,28.299820113249996,42.89227164349176,67.63136174875997
80,1,linCmt,var_CL,structural_other,0.1,100,-3.108334420199997,-2.122799396322005,10.704982770050005,15.726968386714152,25.829257798929973
80,1,linCmt,var_Vc,structural_other,0.1,100,-45.2779129866,-46.081784748684,45.2779129866,48.69645771843446,65.25280633495
80,1,ode,TVCL,structural_intercept,0.6,98,-0.2765675345472359,0.612593665491584,2.7500655433505736,5.14827196894947,5.326522269346587
80,1,ode,TVVc,structural_intercept,20,98,0.980319282331612,1.899079129642908,3.444741731905454,8.957680610902722,9.802537927260339
80,1,ode,ResErr,structural_other,0.1,98,13.865568186999994,14.02366165133877,13.865568186999994,14.61011447876596,18.76129454339999
80,1,ode,TVKA,structural_other,0.7,98,0,0,0,0,0
80,1,ode,TVQ,structural_other,1.8,98,3.4660623484620476,3.6106304142622947,3.4660623484620476,3.9044630221831835,5.6165823188171595
80,1,ode,TVVp,structural_other,80,98,1.689104578253238,1.6855541844111188,1.689104578253238,2.093659163679733,3.165716619408718
80,1,ode,cov_VcCL,structural_other,0.02,98,-14.305782497999992,-11.18639269700337,28.710548000500008,43.38298356640349,66.44944055036501
80,1,ode,var_CL,structural_other,0.1,98,-2.955856299799976,-2.1697942615683723,11.19760865460001,15.78500495756058,25.757624302560018
80,1,ode,var_Vc,structural_other,0.1,98,-45.672188339150004,-46.14161891029184,45.672188339150004,48.77393507069222,65.86873315145
80,2,linCmt,VcSEX,covariate_beta,0.4054651081081644,98,-10.382260596498597,-8.053915286575709,14.385533614261076,20.534109187410102,35.044909479672974
80,2,linCmt,TVCL,structural_intercept,0.6,100,0.353863517378511,0.6755868231821326,2.48758884940542,5.982563013393064,7.4907387206566725
80,2,linCmt,TVVc,structural_intercept,20,100,1.8462158443507004,1.9828585555572165,4.046839468037531,7.191966589060937,10.480728237166732
80,2,linCmt,ResErr,structural_other,0.1,100,8.935657569999998,9.369965863763994,8.935657569999998,10.390992029790224,15.478658244799995
80,2,linCmt,TVKA,structural_other,0.7,100,0,0,0,0,0
80,2,linCmt,TVQ,structural_other,1.8,100,2.824969598337125,2.8987000350847665,2.824969598337125,3.375957479558938,4.891540039472039
80,2,linCmt,TVVp,structural_other,80,100,1.3251200547656428,1.3263611066537224,1.3476215821450754,1.8249901645078992,2.8458085116116436
80,2,linCmt,cov_VcCL,structural_other,0.02,100,-4.143831888250033,-4.173487199273006,26.29867141375003,39.39192281821151,60.04008754095504
80,2,linCmt,var_CL,structural_other,0.1,100,-3.8975442516000216,-2.00525509723801,12.230421547000006,16.87188743201244,26.84373113587001
80,2,linCmt,var_Vc,structural_other,0.1,100,-26.970051823000002,-25.59669808320701,26.970051823000002,32.31002779005847,49.92067931338998
