sample_N,scenario,structure,estimator,outer_opt,dataset_id,has_error,file_path
80,1,linCmt,vae,NA,1,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds001.rds
80,1,linCmt,vae,NA,2,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds002.rds
80,1,linCmt,vae,NA,3,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds003.rds
80,1,linCmt,vae,NA,4,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds004.rds
80,1,linCmt,vae,NA,5,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds005.rds
80,1,linCmt,vae,NA,6,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds006.rds
80,1,linCmt,vae,NA,7,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds007.rds
80,1,linCmt,vae,NA,8,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds008.rds
80,1,linCmt,vae,NA,9,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds009.rds
80,1,linCmt,vae,NA,10,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds010.rds
80,1,linCmt,vae,NA,11,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds011.rds
80,1,linCmt,vae,NA,12,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds012.rds
80,1,linCmt,vae,NA,13,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds013.rds
80,1,linCmt,vae,NA,14,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds014.rds
80,1,linCmt,vae,NA,15,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds015.rds
80,1,linCmt,vae,NA,16,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds016.rds
80,1,linCmt,vae,NA,17,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds017.rds
80,1,linCmt,vae,NA,18,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds018.rds
80,1,linCmt,vae,NA,19,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds019.rds
80,1,linCmt,vae,NA,20,FALSE,output/vae_covsel_poweronly_N80_08162026/N80/scn01_linCmt/covsel/res_ds020.rds
