sample_N,scenario,structure,N,n_exact,n_ok_cn,n_ok_min,n_exact_cn,n_exact_min,Power,PowerCN,PowerMinSuc
80,1,linCmt,100,75,100,100,75,75,0.75,0.75,0.75
80,1,ode,100,76,98,100,75,76,0.76,0.7653061224489796,0.76
80,2,linCmt,100,76,100,100,76,76,0.76,0.76,0.76
80,2,ode,100,76,97,100,73,76,0.76,0.7525773195876289,0.76
80,3,linCmt,100,73,100,100,73,73,0.73,0.73,0.73
80,3,ode,100,73,92,100,67,73,0.73,0.7282608695652174,0.73
80,4,linCmt,100,68,100,100,68,68,0.68,0.68,0.68
80,4,ode,100,68,96,100,67,68,0.68,0.6979166666666666,0.68
80,5,linCmt,100,77,100,100,77,77,0.77,0.77,0.77
80,5,ode,100,78,94,100,73,78,0.78,0.776595744680851,0.78
80,6,linCmt,100,77,100,100,77,77,0.77,0.77,0.77
80,6,ode,100,78,97,100,75,78,0.78,0.7731958762886598,0.78
80,7,linCmt,100,70,100,100,70,70,0.7,0.7,0.7
80,7,ode,100,70,97,100,67,70,0.7,0.6907216494845361,0.7
80,8,linCmt,100,64,100,100,64,64,0.64,0.64,0.64
80,8,ode,100,64,98,100,63,64,0.64,0.6428571428571429,0.64
80,9,linCmt,100,61,100,100,61,61,0.61,0.61,0.61
80,9,ode,100,59,96,100,58,59,0.59,0.6041666666666666,0.59
80,10,linCmt,100,67,100,100,67,67,0.67,0.67,0.67
80,10,ode,100,66,97,100,65,66,0.66,0.6701030927835051,0.66
80,11,linCmt,100,61,100,100,61,61,0.61,0.61,0.61
80,11,ode,100,62,95,100,60,62,0.62,0.631578947368421,0.62
80,12,linCmt,100,56,100,100,56,56,0.56,0.56,0.56
80,12,ode,100,56,97,100,55,56,0.56,0.5670103092783505,0.56
80,13,linCmt,100,67,100,100,67,67,0.67,0.67,0.67
80,13,ode,100,68,92,99,65,68,0.68,0.7065217391304348,0.6868686868686869
80,14,linCmt,100,72,100,100,72,72,0.72,0.72,0.72
80,14,ode,100,72,86,100,61,72,0.72,0.7093023255813954,0.72
80,15,linCmt,100,64,100,100,64,64,0.64,0.64,0.64
80,15,ode,100,61,87,100,56,61,0.61,0.6436781609195402,0.61
80,16,linCmt,100,65,100,100,65,65,0.65,0.65,0.65
80,16,ode,100,65,88,100,58,65,0.65,0.6590909090909091,0.65
