sample_N,scenario,structure,k,n_at_least_k,fraction_at_least_k,n_true
80,2,linCmt,1,98,0.98,1
80,2,ode,1,98,0.98,1
80,3,linCmt,1,95,0.95,1
80,3,ode,1,95,0.95,1
80,4,linCmt,1,100,1,2
80,4,linCmt,2,87,0.87,2
80,4,ode,1,100,1,2
80,4,ode,2,87,0.87,2
80,5,linCmt,1,100,1,1
80,5,ode,1,100,1,1
80,6,linCmt,1,100,1,2
80,6,linCmt,2,99,0.99,2
80,6,ode,1,100,1,2
80,6,ode,2,99,0.99,2
80,7,linCmt,1,100,1,2
80,7,linCmt,2,89,0.89,2
80,7,ode,1,100,1,2
80,7,ode,2,89,0.89,2
80,8,linCmt,1,100,1,3
80,8,linCmt,2,100,1,3
80,8,linCmt,3,79,0.79,3
80,8,ode,1,100,1,3
80,8,ode,2,100,1,3
80,8,ode,3,79,0.79,3
80,9,linCmt,1,86,0.86,1
80,9,ode,1,86,0.86,1
80,10,linCmt,1,100,1,2
80,10,linCmt,2,85,0.85,2
80,10,ode,1,100,1,2
80,10,ode,2,85,0.85,2
80,11,linCmt,1,99,0.99,2
80,11,linCmt,2,79,0.79,2
80,11,ode,1,99,0.99,2
80,11,ode,2,79,0.79,2
80,12,linCmt,1,100,1,3
80,12,linCmt,2,97,0.97,3
80,12,linCmt,3,72,0.72,3
80,12,ode,1,100,1,3
80,12,ode,2,97,0.97,3
80,12,ode,3,72,0.72,3
80,13,linCmt,1,100,1,2
80,13,linCmt,2,86,0.86,2
80,13,ode,1,100,1,2
80,13,ode,2,85,0.85,2
80,14,linCmt,1,100,1,3
80,14,linCmt,2,100,1,3
80,14,linCmt,3,86,0.86,3
80,14,ode,1,100,1,3
80,14,ode,2,100,1,3
80,14,ode,3,88,0.88,3
80,15,linCmt,1,100,1,3
80,15,linCmt,2,98,0.98,3
80,15,linCmt,3,76,0.76,3
80,15,ode,1,100,1,3
80,15,ode,2,98,0.98,3
80,15,ode,3,77,0.77,3
80,16,linCmt,1,100,1,4
80,16,linCmt,2,100,1,4
80,16,linCmt,3,100,1,4
80,16,linCmt,4,71,0.71,4
80,16,ode,1,100,1,4
80,16,ode,2,100,1,4
80,16,ode,3,100,1,4
80,16,ode,4,71,0.71,4
