sample_N,scenario,structure,estimator,outer_opt,dataset_id,parameter,param_class,true_value,estimate,rel_err,rel_err_pct,sq_rel,abs_rel
80,1,linCmt,vae,NA,1,TVCL,structural_intercept,0.6,0.5889753062017558,-0.018374489663740372,-1.8374489663740372,3.376218704029018e-4,0.018374489663740372
80,1,linCmt,vae,NA,1,TVVc,structural_intercept,20,18.8462399170518,-0.057688004147409974,-5.768800414740998,0.0033279058225115904,0.057688004147409974
80,1,linCmt,vae,NA,1,TVQ,structural_other,1.8,1.855304320958481,0.030724622754711623,3.072462275471162,9.440024434193432e-4,0.030724622754711623
80,1,linCmt,vae,NA,1,TVVp,structural_other,80,83.02019881031644,0.03775248512895555,3.775248512895555,0.00142525013341201,0.03775248512895555
80,1,linCmt,vae,NA,1,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,linCmt,vae,NA,1,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,vae,NA,1,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,vae,NA,1,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,vae,NA,1,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,vae,NA,1,var_CL,structural_other,0.1,0.09733557697340002,-0.026644230265999852,-2.664423026599985,7.099150064676225e-4,0.026644230265999852
80,1,linCmt,vae,NA,1,var_Vc,structural_other,0.1,0.0656993870718,-0.3430061292820001,-34.30061292820001,0.11765320472502015,0.3430061292820001
80,1,linCmt,vae,NA,1,cov_VcCL,structural_other,0.02,0.03415366148309999,0.7076830741549995,70.76830741549995,0.5008153334454706,0.7076830741549995
80,1,linCmt,vae,NA,1,ResErr,structural_other,0.1,0.117228878738,0.17228878737999997,17.228878738,0.02968342625687084,0.17228878737999997
80,1,linCmt,vae,NA,1,CLBMI,covariate_beta,NA,NA,NA,NA,NA,NA
80,1,linCmt,vae,NA,1,VcBMI,covariate_beta,NA,NA,NA,NA,NA,NA
80,1,linCmt,vae,NA,1,VcCrCL,covariate_beta,NA,NA,NA,NA,NA,NA
80,1,linCmt,vae,NA,1,VcRACE,covariate_beta,NA,NA,NA,NA,NA,NA
80,1,linCmt,vae,NA,2,TVCL,structural_intercept,0.6,0.5875877429989178,-0.020687095001803622,-2.068709500180362,4.2795589961364843e-4,0.020687095001803622
80,1,linCmt,vae,NA,2,TVVc,structural_intercept,20,22.98831424729191,0.14941571236459553,14.941571236459552,0.022325055101419543,0.14941571236459553
80,1,linCmt,vae,NA,2,TVQ,structural_other,1.8,1.8231393465609802,0.012855192533877863,1.2855192533877864,1.6525597508306917e-4,0.012855192533877863
80,1,linCmt,vae,NA,2,TVVp,structural_other,80,79.02325309568667,-0.01220933630391663,-1.220933630391663,1.4906789298213657e-4,0.01220933630391663
80,1,linCmt,vae,NA,2,TVKA,structural_other,0.7,0.7,0,0,0,0
