method,structure,metric,estimate,ci_low,ci_high,effect_scale,p_raw,test,n_pairs,tested,better,p_adj,marker
nlmixr2-SCM,Analytic,Convergence,3.894392629785342,3.07699083552468,4.711794424046004,log-odds (OR),9.804443800308327e-21,mixed-effects,1600,TRUE,TRUE,8.823999420277495e-20,***
PsN-SCM,Analytic,Convergence,NA,NA,NA,NA,NA,NA,0,FALSE,NA,NA,
nlmixr2-VAE,Analytic,Convergence,0.155,NA,NA,risk diff,4.421718300208296e-75,McNemar (exact) [separation fallback],1600,TRUE,TRUE,7.074749280333273e-74,***
nlmixr2-SCM,ODE,Convergence,5.507738519859259,4.694413579234767,6.321063460483752,log-odds (OR),3.325326672493209e-40,mixed-effects,1600,TRUE,TRUE,4.322924674241172e-39,***
PsN-SCM,ODE,Convergence,NA,NA,NA,NA,NA,NA,0,FALSE,NA,NA,
nlmixr2-VAE,ODE,Convergence,7.301340376344716,5.3248039893315,9.277876763357932,log-odds (OR),4.4784244365831324e-13,mixed-effects,1600,TRUE,TRUE,2.2392122182915662e-12,***
nlmixr2-SCM,Analytic,CovStep,5.92897907927131,5.116979570136595,6.740978588406025,log-odds (OR),1.859033288518972e-46,mixed-effects,1600,TRUE,TRUE,2.602646603926561e-45,***
PsN-SCM,Analytic,CovStep,NA,NA,NA,NA,NA,NA,0,FALSE,NA,NA,
nlmixr2-VAE,Analytic,CovStep,0.580625,NA,NA,risk diff,4.407212831701317e-280,McNemar (exact) [separation fallback],1600,TRUE,TRUE,7.932983097062371e-279,***
nlmixr2-SCM,ODE,CovStep,0.99625,NA,NA,risk diff,0,McNemar (exact) [separation fallback],1600,TRUE,TRUE,0,***
PsN-SCM,ODE,CovStep,NA,NA,NA,NA,NA,NA,0,FALSE,NA,NA,
nlmixr2-VAE,ODE,CovStep,0.999375,NA,NA,risk diff,0,McNemar (exact) [separation fallback],1600,TRUE,TRUE,0,***
nlmixr2-SCM,Analytic,Power,0.5584238157554189,0.37958954884635654,0.7372580826644812,log-odds (OR),9.34278160397113e-10,mixed-effects,1600,TRUE,TRUE,3.737112641588452e-9,***
