cohort,var1,var2,pooled_r,sd_r,mean_r,median_r,q05_r,q95_r,ref_r,abs_delta_ref,within_0.05
N40,BMI,BMI,1,0,1,1,1,1,1,0,TRUE
N40,BMI,BW,0.880111614185085,0.03381158454653399,0.8773804636978986,0.8806897672202509,0.8176514739771061,0.925909260042552,0.8778530473721834,0.0022585668129015968,TRUE
N40,BMI,CrCL,0.5016358912180099,0.06901508282652764,0.5063278387618594,0.5108648813309222,0.39174248182092897,0.6152176347356892,0.4951557344365463,0.006480156781463575,TRUE
N40,BMI,RACE,0.19212587396484743,0.06584601127259695,0.1953236954798581,0.2003360804979914,0.07901712760557242,0.29472672279556866,0.179124119264698,0.013001754700149415,TRUE
N40,BMI,SEX,-0.050453334668597596,0.0703417214964215,-0.0511675525794188,-0.05561220948198091,-0.16184820687642898,0.06250805242619682,-0.0402288449790899,0.010224489689507697,TRUE
N40,BW,BMI,0.880111614185085,0.03381158454653399,0.8773804636978986,0.8806897672202509,0.8176514739771061,0.925909260042552,0.8778530473721834,0.0022585668129015968,TRUE
N40,BW,BW,1,0,1,1,1,1,1,0,TRUE
N40,BW,CrCL,0.5897558499749156,0.06472554817320254,0.5920601910018126,0.5960840355627453,0.47911923649414734,0.688858725674335,0.5832354406459398,0.006520409328975796,TRUE
N40,BW,RACE,0.23308883293942326,0.06349198858453477,0.2363223327789458,0.24520160575417033,0.11819711525070153,0.3305036960666543,0.22837341514503054,0.004715417794392718,TRUE
N40,BW,SEX,0.2770492018994435,0.0684242801634635,0.2827407412730234,0.28184099774913385,0.17363213860724142,0.39598343893393606,0.2934493057932009,0.0164001038937574,TRUE
N40,CrCL,BMI,0.5016358912180099,0.06901508282652764,0.5063278387618594,0.5108648813309222,0.39174248182092897,0.6152176347356892,0.4951557344365463,0.006480156781463575,TRUE
N40,CrCL,BW,0.5897558499749156,0.06472554817320254,0.5920601910018126,0.5960840355627453,0.47911923649414734,0.688858725674335,0.5832354406459398,0.006520409328975796,TRUE
N40,CrCL,CrCL,1,0,1,1,1,1,1,0,TRUE
N40,CrCL,RACE,0.035881146887770284,0.07106777768719168,0.03620249654102827,0.03028236948751026,-0.07723696094279672,0.1505181341271758,0.039662897722010836,0.003781750834240552,TRUE
N40,CrCL,SEX,0.07606239700793783,0.07412889117130388,0.07872783832429343,0.0728636412918639,-0.03335199054765178,0.19765044568137285,0.08076041586287484,0.004698018854937008,TRUE
N40,RACE,BMI,0.19212587396484743,0.06584601127259695,0.1953236954798581,0.2003360804979914,0.07901712760557242,0.29472672279556866,0.179124119264698,0.013001754700149415,TRUE
N40,RACE,BW,0.23308883293942326,0.06349198858453477,0.2363223327789458,0.24520160575417033,0.11819711525070153,0.3305036960666543,0.22837341514503054,0.004715417794392718,TRUE
N40,RACE,CrCL,0.035881146887770284,0.07106777768719168,0.03620249654102827,0.03028236948751026,-0.07723696094279672,0.1505181341271758,0.039662897722010836,0.003781750834240552,TRUE
N40,RACE,RACE,1,0,1,1,1,1,1,0,TRUE
N40,RACE,SEX,-0.0335012605086404,0,-0.0335012605086404,-0.0335012605086404,-0.0335012605086404,-0.0335012605086404,0.0024812453206723355,0.035982505829312735,TRUE
N40,SEX,BMI,-0.050453334668597596,0.0703417214964215,-0.0511675525794188,-0.05561220948198091,-0.16184820687642898,0.06250805242619682,-0.0402288449790899,0.010224489689507697,TRUE
N40,SEX,BW,0.2770492018994435,0.0684242801634635,0.2827407412730234,0.28184099774913385,0.17363213860724142,0.39598343893393606,0.2934493057932009,0.0164001038937574,TRUE
N40,SEX,CrCL,0.07606239700793783,0.07412889117130388,0.07872783832429343,0.0728636412918639,-0.03335199054765178,0.19765044568137285,0.08076041586287484,0.004698018854937008,TRUE
N40,SEX,RACE,-0.0335012605086404,0,-0.0335012605086404,-0.0335012605086404,-0.0335012605086404,-0.0335012605086404,0.0024812453206723355,0.035982505829312735,TRUE
N40,SEX,SEX,1,0,1,1,1,1,1,0,TRUE
N80,BMI,BMI,1,0,1,1,1,1,1,0,TRUE
N80,BMI,BW,0.8787491475532188,0.023233253442294904,0.8767936200013534,0.8797270238002233,0.8344280520698691,0.9109100042856653,0.8778530473721834,8.961001810353642e-4,TRUE
N80,BMI,CrCL,0.5012919061564216,0.05019049499160088,0.5028600838090692,0.506607852600764,0.4173787801377141,0.5786742114766541,0.4951557344365463,0.006136171719875294,TRUE
N80,BMI,RACE,0.18355380565590096,0.047595804409895505,0.18524243683965114,0.18960039852125532,0.10352085036037993,0.2617946670018274,0.179124119264698,0.004429686391202947,TRUE
N80,BMI,SEX,-0.04383100923373883,0.05222098417030504,-0.04503525205765828,-0.05103615632476009,-0.12514117839001854,0.03975112256989716,-0.0402288449790899,0.003602164254648932,TRUE
N80,BW,BMI,0.8787491475532188,0.023233253442294904,0.8767936200013534,0.8797270238002233,0.8344280520698691,0.9109100042856653,0.8778530473721834,8.961001810353642e-4,TRUE
N80,BW,BW,1,0,1,1,1,1,1,0,TRUE
N80,BW,CrCL,0.5871380343440693,0.04498526345097732,0.5877123936747166,0.5890934531064447,0.5124288086203281,0.6582257436188467,0.5832354406459398,0.0039025936981295084,TRUE
N80,BW,RACE,0.2361626086445387,0.04161263566882013,0.23823579245578555,0.24122389649188491,0.16489247486881656,0.3044641876023826,0.22837341514503054,0.007789193499508157,TRUE
N80,BW,SEX,0.28978066825568233,0.0470534139683747,0.2922409695805727,0.2929148604423566,0.2127689870254916,0.3655550594744496,0.2934493057932009,0.00366863753751856,TRUE
N80,CrCL,BMI,0.5012919061564216,0.05019049499160088,0.5028600838090692,0.506607852600764,0.4173787801377141,0.5786742114766541,0.4951557344365463,0.006136171719875294,TRUE
N80,CrCL,BW,0.5871380343440693,0.04498526345097732,0.5877123936747166,0.5890934531064447,0.5124288086203281,0.6582257436188467,0.5832354406459398,0.0039025936981295084,TRUE
N80,CrCL,CrCL,1,0,1,1,1,1,1,0,TRUE
N80,CrCL,RACE,0.03713992212789859,0.055418710063142106,0.03685475719549507,0.03329187547478828,-0.044816215516200145,0.12581429578729217,0.039662897722010836,0.0025229755941122423,TRUE
N80,CrCL,SEX,0.08012413370523137,0.053755851901934354,0.08122612121771676,0.08142714165306017,-0.0020632046764957066,0.16559734681872593,0.08076041586287484,6.362821576434696e-4,TRUE
N80,RACE,BMI,0.18355380565590096,0.047595804409895505,0.18524243683965114,0.18960039852125532,0.10352085036037993,0.2617946670018274,0.179124119264698,0.004429686391202947,TRUE
N80,RACE,BW,0.2361626086445387,0.04161263566882013,0.23823579245578555,0.24122389649188491,0.16489247486881656,0.3044641876023826,0.22837341514503054,0.007789193499508157,TRUE
N80,RACE,CrCL,0.03713992212789859,0.055418710063142106,0.03685475719549507,0.03329187547478828,-0.044816215516200145,0.12581429578729217,0.039662897722010836,0.0025229755941122423,TRUE
N80,RACE,RACE,1,0,1,1,1,1,1,0,TRUE
N80,RACE,SEX,0.013338076603968378,0,0.013338076603968374,0.013338076603968374,0.013338076603968374,0.013338076603968374,0.0024812453206723355,0.010856831283296042,TRUE
N80,SEX,BMI,-0.04383100923373883,0.05222098417030504,-0.04503525205765828,-0.05103615632476009,-0.12514117839001854,0.03975112256989716,-0.0402288449790899,0.003602164254648932,TRUE
N80,SEX,BW,0.28978066825568233,0.0470534139683747,0.2922409695805727,0.2929148604423566,0.2127689870254916,0.3655550594744496,0.2934493057932009,0.00366863753751856,TRUE
N80,SEX,CrCL,0.08012413370523137,0.053755851901934354,0.08122612121771676,0.08142714165306017,-0.0020632046764957066,0.16559734681872593,0.08076041586287484,6.362821576434696e-4,TRUE
N80,SEX,RACE,0.013338076603968378,0,0.013338076603968374,0.013338076603968374,0.013338076603968374,0.013338076603968374,0.0024812453206723355,0.010856831283296042,TRUE
N80,SEX,SEX,1,0,1,1,1,1,1,0,TRUE
N300,BMI,BMI,1,0,1,1,1,1,1,0,TRUE
N300,BMI,BW,0.8781933027718992,0.01216961008173708,0.8775229081807022,0.8778297270735795,0.8571346432065341,0.8954412690735611,0.8778530473721834,3.402553997158275e-4,TRUE
N300,BMI,CrCL,0.49429082682304976,0.026562168182757313,0.49453221843422496,0.4949275258032212,0.45321901489526106,0.539349912985946,0.4951557344365463,8.649076134965572e-4,TRUE
N300,BMI,RACE,0.1815524292114595,0.023651382736727334,0.18165592131510255,0.1817467139148988,0.1421197480136987,0.22092882381158008,0.179124119264698,0.002428309946761492,TRUE
N300,BMI,SEX,-0.045101645269650555,0.025386488788856926,-0.045318669913361066,-0.04812302416986819,-0.08587847336663326,7.150461462687389e-4,-0.0402288449790899,0.0048728002905606554,TRUE
N300,BW,BMI,0.8781933027718992,0.01216961008173708,0.8775229081807022,0.8778297270735795,0.8571346432065341,0.8954412690735611,0.8778530473721834,3.402553997158275e-4,TRUE
N300,BW,BW,1,0,1,1,1,1,1,0,TRUE
N300,BW,CrCL,0.5842419651558711,0.02467734032258837,0.5844717416969725,0.5851280902406766,0.544904225245973,0.6242761341605658,0.5832354406459398,0.001006524509931328,TRUE
