cohort,var1,var2,pooled_r,sd_r,mean_r,median_r,q05_r,q95_r,ref_r,abs_delta_ref,within_0.05
N40,BMI,BMI,1,0,1,1,1,1,1,0,TRUE
N40,BMI,BW,0.876419631222348,0.03379420350650212,0.8732034508544174,0.8785834903045171,0.8217036802303288,0.9249251823940415,0.8778530473721834,0.001433416149835387,TRUE
N40,BMI,CrCL,0.4936801704746636,0.06389095561944146,0.49676661110862713,0.49810944186178224,0.39285314220991796,0.5903589450582013,0.4951557344365463,0.0014755639618826977,TRUE
N40,BMI,RACE,0.19024649564334012,0.06261644956739155,0.19430895126483239,0.19385530800943912,0.09411068883867915,0.29124734006584335,0.179124119264698,0.011122376378642107,TRUE
N40,BMI,SEX,-0.06435509187963441,0.07103229602804043,-0.06557995879744319,-0.07052874355847004,-0.1646568925585499,0.04648133333668223,-0.0402288449790899,0.02412624690054451,TRUE
N40,BW,BMI,0.876419631222348,0.03379420350650212,0.8732034508544174,0.8785834903045171,0.8217036802303288,0.9249251823940415,0.8778530473721834,0.001433416149835387,TRUE
N40,BW,BW,1,0,1,1,1,1,1,0,TRUE
N40,BW,CrCL,0.5819656985854229,0.06516325494407181,0.583606398516071,0.5894881888503494,0.47181298138137584,0.6728059384157618,0.5832354406459398,0.0012697420605168874,TRUE
N40,BW,RACE,0.23475627216321096,0.062346839134933385,0.23881557693229102,0.24956418908491612,0.12241418938936825,0.32630466682544895,0.22837341514503054,0.006382857018180421,TRUE
N40,BW,SEX,0.27031484589995647,0.06671945307206324,0.27651967196372756,0.276642091237433,0.17487663504284395,0.38484251492795835,0.2934493057932009,0.02313445989324442,TRUE
N40,CrCL,BMI,0.4936801704746636,0.06389095561944146,0.49676661110862713,0.49810944186178224,0.39285314220991796,0.5903589450582013,0.4951557344365463,0.0014755639618826977,TRUE
N40,CrCL,BW,0.5819656985854229,0.06516325494407181,0.583606398516071,0.5894881888503494,0.47181298138137584,0.6728059384157618,0.5832354406459398,0.0012697420605168874,TRUE
N40,CrCL,CrCL,1,0,1,1,1,1,1,0,TRUE
N40,CrCL,RACE,0.03328423424313712,0.07629714480565747,0.03308115643642449,0.021094888883392025,-0.0802723815107652,0.15416194448308843,0.039662897722010836,0.006378663478873718,TRUE
N40,CrCL,SEX,0.06974857324850788,0.07694069548257827,0.07316187049874183,0.07017214315294157,-0.03739170920680641,0.1946009656602424,0.08076041586287484,0.011011842614366968,TRUE
N40,RACE,BMI,0.19024649564334012,0.06261644956739155,0.19430895126483239,0.19385530800943912,0.09411068883867915,0.29124734006584335,0.179124119264698,0.011122376378642107,TRUE
N40,RACE,BW,0.23475627216321096,0.062346839134933385,0.23881557693229102,0.24956418908491612,0.12241418938936825,0.32630466682544895,0.22837341514503054,0.006382857018180421,TRUE
N40,RACE,CrCL,0.03328423424313712,0.07629714480565747,0.03308115643642449,0.021094888883392025,-0.0802723815107652,0.15416194448308843,0.039662897722010836,0.006378663478873718,TRUE
N40,RACE,RACE,1,0,1,1,1,1,1,0,TRUE
N40,RACE,SEX,-0.03350126050864039,0,-0.0335012605086404,-0.0335012605086404,-0.0335012605086404,-0.0335012605086404,0.0024812453206723355,0.03598250582931273,TRUE
N40,SEX,BMI,-0.06435509187963441,0.07103229602804043,-0.06557995879744319,-0.07052874355847004,-0.1646568925585499,0.04648133333668223,-0.0402288449790899,0.02412624690054451,TRUE
N40,SEX,BW,0.27031484589995647,0.06671945307206324,0.27651967196372756,0.276642091237433,0.17487663504284395,0.38484251492795835,0.2934493057932009,0.02313445989324442,TRUE
