pair,NHANES_r,N40_r_±_SD,N80_r_±_SD,N300_r_±_SD
BMI-BW,0.88,0.88 ± 0.03,0.88 ± 0.02,0.88 ± 0.01
BMI-CrCL,0.50,0.50 ± 0.07,0.50 ± 0.05,0.49 ± 0.03
BW-CrCL,0.58,0.59 ± 0.06,0.59 ± 0.04,0.58 ± 0.02
BMI-RACE,0.18,0.19 ± 0.07,0.18 ± 0.05,0.18 ± 0.02
BW-RACE,0.23,0.23 ± 0.06,0.24 ± 0.04,0.23 ± 0.02
CrCL-RACE,0.04,0.04 ± 0.07,0.04 ± 0.06,0.04 ± 0.03
BMI-SEX,-0.04,-0.05 ± 0.07,-0.04 ± 0.05,-0.05 ± 0.03
BW-SEX,0.29,0.28 ± 0.07,0.29 ± 0.05,0.29 ± 0.02
CrCL-SEX,0.08,0.08 ± 0.07,0.08 ± 0.05,0.08 ± 0.03
RACE-SEX,0.00,-0.03 ± 0.00,0.01 ± 0.00,0.00 ± 0.03
