sample_N,scenario,structure,estimator,outer_opt,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
80,1,linCmt,focei,lbfgsb3c,cl,BMI,power,1,FALSE,1,1,0,0,1
80,1,linCmt,focei,lbfgsb3c,cl,CrCL,lin,1,FALSE,1,1,0,0,1
80,1,linCmt,focei,lbfgsb3c,cl,CrCL,power,1,FALSE,1,1,0,0,1
80,1,linCmt,focei,lbfgsb3c,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,1,linCmt,focei,lbfgsb3c,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,1,linCmt,focei,lbfgsb3c,vc,BMI,power,1,FALSE,1,1,0,0,1
80,1,linCmt,focei,lbfgsb3c,vc,BW,power,1,FALSE,1,1,0,0,1
80,1,linCmt,focei,lbfgsb3c,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,1,linCmt,focei,lbfgsb3c,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,1,linCmt,focei,lbfgsb3c,vc,SEX,cat,1,FALSE,1,1,0,0,1
80,2,linCmt,focei,lbfgsb3c,vc,SEX,cat,100,TRUE,97,0.97,97,3,0
80,2,linCmt,focei,lbfgsb3c,cl,BMI,power,1,FALSE,1,1,0,0,1
80,2,linCmt,focei,lbfgsb3c,cl,CrCL,power,1,FALSE,1,1,0,0,1
80,2,linCmt,focei,lbfgsb3c,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,2,linCmt,focei,lbfgsb3c,cl,SEX,cat,2,FALSE,2,1,0,0,2
80,2,linCmt,focei,lbfgsb3c,vc,BMI,power,2,FALSE,2,1,0,0,2
80,2,linCmt,focei,lbfgsb3c,vc,BW,power,2,FALSE,2,1,0,0,2
80,2,linCmt,focei,lbfgsb3c,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,2,linCmt,focei,lbfgsb3c,vc,RACE,cat,1,FALSE,1,1,0,0,1
80,3,linCmt,focei,lbfgsb3c,vc,BW,power,100,TRUE,83,0.83,83,17,0
80,3,linCmt,focei,lbfgsb3c,cl,BMI,power,2,FALSE,2,1,0,0,2
80,3,linCmt,focei,lbfgsb3c,cl,BW,power,1,FALSE,1,1,0,0,1
80,3,linCmt,focei,lbfgsb3c,cl,CrCL,power,3,FALSE,3,1,0,0,3
80,3,linCmt,focei,lbfgsb3c,cl,RACE,cat,2,FALSE,2,1,0,0,2
80,3,linCmt,focei,lbfgsb3c,vc,BMI,power,6,FALSE,6,1,0,0,6
80,3,linCmt,focei,lbfgsb3c,vc,BW,lin,10,FALSE,10,1,0,0,10
80,3,linCmt,focei,lbfgsb3c,vc,CrCL,power,6,FALSE,6,1,0,0,6
80,3,linCmt,focei,lbfgsb3c,vc,RACE,cat,2,FALSE,2,1,0,0,2
80,4,linCmt,focei,lbfgsb3c,vc,BW,power,100,TRUE,82,0.82,82,18,0
80,4,linCmt,focei,lbfgsb3c,vc,SEX,cat,100,TRUE,93,0.93,93,7,0
80,4,linCmt,focei,lbfgsb3c,cl,BW,power,1,FALSE,1,1,0,0,1
80,4,linCmt,focei,lbfgsb3c,cl,CrCL,power,1,FALSE,1,1,0,0,1
80,4,linCmt,focei,lbfgsb3c,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,4,linCmt,focei,lbfgsb3c,cl,SEX,cat,2,FALSE,2,1,0,0,2
80,4,linCmt,focei,lbfgsb3c,vc,BMI,power,12,FALSE,12,1,0,0,12
80,4,linCmt,focei,lbfgsb3c,vc,BW,lin,6,FALSE,6,1,0,0,6
80,4,linCmt,focei,lbfgsb3c,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,4,linCmt,focei,lbfgsb3c,vc,RACE,cat,2,FALSE,2,1,0,0,2
80,5,linCmt,focei,lbfgsb3c,cl,CrCL,power,100,TRUE,89,0.89,89,11,0
80,5,linCmt,focei,lbfgsb3c,cl,BMI,power,3,FALSE,3,1,0,0,3
80,5,linCmt,focei,lbfgsb3c,cl,CrCL,lin,11,FALSE,11,1,0,0,11
80,5,linCmt,focei,lbfgsb3c,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,5,linCmt,focei,lbfgsb3c,vc,BMI,power,2,FALSE,2,1,0,0,2
80,5,linCmt,focei,lbfgsb3c,vc,BW,power,1,FALSE,1,1,0,0,1
80,5,linCmt,focei,lbfgsb3c,vc,CrCL,power,4,FALSE,4,1,0,0,4
