sample_N,scenario,structure,estimator,outer_opt,dataset_id,status,converged,cn_below_cutoff,cov_ok,cov_done,objf,cond_num_cor,cond_num_cor_source,convergence_code,min_suc,cov_step,est_bnd,phys_bnd,est_family,cov_source,n_selected,n_true,n_true_hit,n_false_pos,exact_match,wall_base_sec,wall_scm_sec,wall_refit_sec,wall_total_sec,cpu_total_sec,hog_factor,scm_workers,rx_threads,message
80,1,linCmt,focei,lbfgsb3c,1,ok,TRUE,TRUE,TRUE,TRUE,-4389.050579799839,3.032026877916586,native,8,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,65.869,404.3810648918152,11.050379037857056,481.30044392967227,6.786,0.014099301352382652,3,1,
80,1,linCmt,focei,lbfgsb3c,2,ok,TRUE,TRUE,TRUE,TRUE,-4431.826357719221,4.083951978488984,native,8,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,67.78500000000001,758.5307083129883,8.545845985412598,834.8615542984008,6.341999999999999,0.007596469099993082,3,1,
80,1,linCmt,focei,lbfgsb3c,3,ok,TRUE,TRUE,TRUE,TRUE,-4406.803515718331,3.105073283472765,native,8,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,74.17,407.9871962070465,9.266265869140625,491.42346207618715,6.664999999999999,0.013562641009937577,3,1,
80,1,linCmt,focei,lbfgsb3c,4,ok,TRUE,TRUE,TRUE,TRUE,-4437.867641766037,2.17907774434054,native,8,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,76.42099999999999,406.1619620323181,8.236464977264404,490.8194270095825,6.476999999999999,0.013196299175569401,3,1,
80,1,linCmt,focei,lbfgsb3c,5,ok,TRUE,TRUE,TRUE,TRUE,-4388.5329555495455,3.3114194409966804,native,8,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,74.411,769.9240970611572,12.906795501708984,857.2418925628663,6.883000000000001,0.008029238957772042,3,1,
80,1,linCmt,focei,lbfgsb3c,6,ok,TRUE,TRUE,TRUE,TRUE,-4469.937659823904,2.5393488826754087,native,8,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,66.77900000000001,756.1983850002289,12.252585411071777,835.2299704113007,6.838,0.00818696675435712,3,1,
80,1,linCmt,focei,lbfgsb3c,7,ok,TRUE,TRUE,TRUE,TRUE,-4387.85204734092,2.9260515233326716,native,8,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,77.279,394.94170236587524,7.5907065868377686,479.811408952713,6.763,0.014095121278507398,3,1,
80,1,linCmt,focei,lbfgsb3c,8,ok,TRUE,TRUE,TRUE,TRUE,-4370.355721480802,3.1479303018521048,native,8,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,72.459,416.79262375831604,8.584232568740845,497.8358563270569,6.523,0.013102712303861591,3,1,
80,1,linCmt,focei,lbfgsb3c,9,ok,TRUE,TRUE,TRUE,TRUE,-4514.550333480234,3.4747647450381223,native,8,TRUE,TRUE,NA,FALSE,focei,"r,s",1,0,0,1,FALSE,58.032999999999994,746.2936236858368,10.857832431793213,815.18445611763,8.183,0.010038218882352198,3,1,
80,1,linCmt,focei,lbfgsb3c,10,ok,TRUE,TRUE,TRUE,TRUE,-4414.664497033338,3.404172880592072,native,8,TRUE,TRUE,NA,FALSE,focei,"r,s",0,0,0,0,TRUE,78.912,409.94032311439514,9.250524759292603,498.1028478736878,6.627999999999998,0.01330648886729668,3,1,
