sample_N,scenario,structure,estimator,outer_opt,k,n_at_least_k,fraction_at_least_k,n_true
80,2,linCmt,focei,lbfgsb3c,1,97,0.97,1
80,3,linCmt,focei,lbfgsb3c,1,83,0.83,1
80,4,linCmt,focei,lbfgsb3c,1,98,0.98,2
80,4,linCmt,focei,lbfgsb3c,2,77,0.77,2
80,5,linCmt,focei,lbfgsb3c,1,89,0.89,1
80,6,linCmt,focei,lbfgsb3c,1,99,1,2
80,6,linCmt,focei,lbfgsb3c,2,82,0.8282828282828283,2
80,7,linCmt,focei,lbfgsb3c,1,98,0.98,2
80,7,linCmt,focei,lbfgsb3c,2,77,0.77,2
80,8,linCmt,focei,lbfgsb3c,1,100,1,3
80,8,linCmt,focei,lbfgsb3c,2,93,0.93,3
80,8,linCmt,focei,lbfgsb3c,3,69,0.69,3
80,9,linCmt,focei,lbfgsb3c,1,79,0.79,1
80,10,linCmt,focei,lbfgsb3c,1,98,0.98,2
80,10,linCmt,focei,lbfgsb3c,2,78,0.78,2
80,11,linCmt,focei,lbfgsb3c,1,95,0.95,2
80,11,linCmt,focei,lbfgsb3c,2,70,0.7,2
80,12,linCmt,focei,lbfgsb3c,1,100,1,3
80,12,linCmt,focei,lbfgsb3c,2,93,0.93,3
80,12,linCmt,focei,lbfgsb3c,3,55,0.55,3
80,13,linCmt,focei,lbfgsb3c,1,90,0.9,2
80,13,linCmt,focei,lbfgsb3c,2,66,0.66,2
80,14,linCmt,focei,lbfgsb3c,1,99,0.99,3
80,14,linCmt,focei,lbfgsb3c,2,90,0.9,3
80,14,linCmt,focei,lbfgsb3c,3,62,0.62,3
80,15,linCmt,focei,lbfgsb3c,1,97,0.97,3
80,15,linCmt,focei,lbfgsb3c,2,85,0.85,3
80,15,linCmt,focei,lbfgsb3c,3,51,0.51,3
80,16,linCmt,focei,lbfgsb3c,1,99,0.99,4
80,16,linCmt,focei,lbfgsb3c,2,96,0.96,4
80,16,linCmt,focei,lbfgsb3c,3,87,0.87,4
80,16,linCmt,focei,lbfgsb3c,4,48,0.48,4
