sample_N,scenario,structure,estimator,outer_opt,N,n_exact,n_ok_cn,n_ok_min,n_exact_cn,n_exact_min,Power,PowerCN,PowerMinSuc
80,1,ode,focei,lbfgsb3c,100,90,99,100,89,90,0.9,0.898989898989899,0.9
80,2,ode,focei,lbfgsb3c,100,85,100,100,85,85,0.85,0.85,0.85
80,3,ode,focei,lbfgsb3c,100,73,99,100,72,73,0.73,0.7272727272727273,0.73
80,4,ode,focei,lbfgsb3c,100,79,100,100,79,79,0.79,0.79,0.79
80,5,ode,focei,lbfgsb3c,100,78,98,100,77,78,0.78,0.7857142857142857,0.78
80,6,ode,focei,lbfgsb3c,100,69,100,100,69,69,0.69,0.69,0.69
80,7,ode,focei,lbfgsb3c,100,62,100,100,62,62,0.62,0.62,0.62
80,8,ode,focei,lbfgsb3c,100,48,100,100,48,48,0.48,0.48,0.48
80,9,ode,focei,lbfgsb3c,100,64,97,100,64,64,0.64,0.6597938144329897,0.64
80,10,ode,focei,lbfgsb3c,100,71,100,100,71,71,0.71,0.71,0.71
80,11,ode,focei,lbfgsb3c,100,67,99,100,67,67,0.67,0.6767676767676768,0.67
80,12,ode,focei,lbfgsb3c,100,55,100,100,55,55,0.55,0.55,0.55
80,13,ode,focei,lbfgsb3c,100,53,98,100,53,53,0.53,0.5408163265306123,0.53
80,14,ode,focei,lbfgsb3c,100,52,100,100,52,52,0.52,0.52,0.52
80,15,ode,focei,lbfgsb3c,100,44,95,98,43,44,0.44,0.45263157894736844,0.4489795918367347
80,16,ode,focei,lbfgsb3c,100,44,99,100,44,44,0.44,0.4444444444444444,0.44
