sample_N,scenario,structure,estimator,outer_opt,k,n_at_least_k,fraction_at_least_k,n_true
80,2,ode,focei,lbfgsb3c,1,95,0.95,1
80,3,ode,focei,lbfgsb3c,1,80,0.8,1
80,4,ode,focei,lbfgsb3c,1,100,1,2
80,4,ode,focei,lbfgsb3c,2,83,0.83,2
80,5,ode,focei,lbfgsb3c,1,87,0.87,1
80,6,ode,focei,lbfgsb3c,1,100,1,2
80,6,ode,focei,lbfgsb3c,2,77,0.77,2
80,7,ode,focei,lbfgsb3c,1,99,0.99,2
80,7,ode,focei,lbfgsb3c,2,66,0.66,2
80,8,ode,focei,lbfgsb3c,1,99,0.99,3
80,8,ode,focei,lbfgsb3c,2,89,0.89,3
80,8,ode,focei,lbfgsb3c,3,52,0.52,3
80,9,ode,focei,lbfgsb3c,1,75,0.75,1
80,10,ode,focei,lbfgsb3c,1,99,0.99,2
80,10,ode,focei,lbfgsb3c,2,76,0.76,2
80,11,ode,focei,lbfgsb3c,1,93,0.93,2
80,11,ode,focei,lbfgsb3c,2,73,0.73,2
80,12,ode,focei,lbfgsb3c,1,99,0.99,3
80,12,ode,focei,lbfgsb3c,2,85,0.85,3
80,12,ode,focei,lbfgsb3c,3,57,0.57,3
80,13,ode,focei,lbfgsb3c,1,90,0.9,2
80,13,ode,focei,lbfgsb3c,2,56,0.56,2
80,14,ode,focei,lbfgsb3c,1,98,0.98,3
80,14,ode,focei,lbfgsb3c,2,94,0.94,3
80,14,ode,focei,lbfgsb3c,3,56,0.56,3
80,15,ode,focei,lbfgsb3c,1,98,0.98,3
80,15,ode,focei,lbfgsb3c,2,82,0.82,3
80,15,ode,focei,lbfgsb3c,3,50,0.5,3
80,16,ode,focei,lbfgsb3c,1,100,1,4
80,16,ode,focei,lbfgsb3c,2,96,0.96,4
80,16,ode,focei,lbfgsb3c,3,86,0.86,4
80,16,ode,focei,lbfgsb3c,4,46,0.46,4
