sample_N,scenario,structure,estimator,outer_opt,dataset_id,parameter,param_class,true_value,estimate,rel_err,rel_err_pct,sq_rel,abs_rel
80,1,ode,focei,lbfgsb3c,1,TVCL,structural_intercept,0.6,0.5908300050012648,-0.015283324997891942,-1.5283324997891943,2.3358002299118873e-4,0.015283324997891942
80,1,ode,focei,lbfgsb3c,1,TVVc,structural_intercept,20,18.943192123156763,-0.05284039384216186,-5.284039384216186,0.002792107221394777,0.05284039384216186
80,1,ode,focei,lbfgsb3c,1,TVQ,structural_other,1.8,1.8316727587054795,0.017595977058599707,1.7595977058599708,3.096184086467672e-4,0.017595977058599707
80,1,ode,focei,lbfgsb3c,1,TVVp,structural_other,80,82.22513683932557,0.027814210491569645,2.7814210491569646,7.736303052693429e-4,0.027814210491569645
80,1,ode,focei,lbfgsb3c,1,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,ode,focei,lbfgsb3c,1,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,1,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,1,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,1,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,1,var_CL,structural_other,0.1,0.09840774616832088,-0.0159225383167913,-1.5922538316791301,2.5352722644968715e-4,0.0159225383167913
80,1,ode,focei,lbfgsb3c,1,var_Vc,structural_other,0.1,0.10192832952353707,0.019283295235370673,1.9283295235370672,3.718454751344693e-4,0.019283295235370673
80,1,ode,focei,lbfgsb3c,1,cov_VcCL,structural_other,0.02,0.020370260352180113,0.01851301760900561,1.8513017609005609,3.4273182099135176e-4,0.01851301760900561
80,1,ode,focei,lbfgsb3c,1,ResErr,structural_other,0.1,0.10424158138833506,0.04241581388335053,4.241581388335053,0.0017991012673870314,0.04241581388335053
80,1,ode,focei,lbfgsb3c,2,TVCL,structural_intercept,0.6,0.590021230663919,-0.016631282226801658,-1.6631282226801658,2.765995485075287e-4,0.016631282226801658
80,1,ode,focei,lbfgsb3c,2,TVVc,structural_intercept,20,23.68549799292719,0.18427489964635946,18.427489964635946,0.03395723863967585,0.18427489964635946
80,1,ode,focei,lbfgsb3c,2,TVQ,structural_other,1.8,1.807756601364696,0.004309222980386619,0.4309222980386619,1.8569402694692135e-5,0.004309222980386619
80,1,ode,focei,lbfgsb3c,2,TVVp,structural_other,80,78.68602598732058,-0.016424675158492795,-1.6424675158492794,2.6976995406201033e-4,0.016424675158492795
80,1,ode,focei,lbfgsb3c,2,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,ode,focei,lbfgsb3c,2,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,2,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,2,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,2,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,2,var_CL,structural_other,0.1,0.07888413694799308,-0.21115863052006925,-21.115863052006926,0.04458796724311112,0.21115863052006925
80,1,ode,focei,lbfgsb3c,2,var_Vc,structural_other,0.1,0.08723263575280041,-0.12767364247199597,-12.767364247199598,0.016300558982067056,0.12767364247199597
80,1,ode,focei,lbfgsb3c,2,cov_VcCL,structural_other,0.02,0.016048583678200702,-0.1975708160899649,-19.75708160899649,0.039034227370454734,0.1975708160899649
80,1,ode,focei,lbfgsb3c,2,ResErr,structural_other,0.1,0.0980703355529448,-0.0192966444705521,-1.92966444705521,3.723604878228889e-4,0.0192966444705521
80,1,ode,focei,lbfgsb3c,3,TVCL,structural_intercept,0.6,0.5934060049257738,-0.010989991790377001,-1.0989991790377,1.2077991955255388e-4,0.010989991790377001
80,1,ode,focei,lbfgsb3c,3,TVVc,structural_intercept,20,22.29823277242567,0.11491163862128354,11.491163862128353,0.013204684690628462,0.11491163862128354
80,1,ode,focei,lbfgsb3c,3,TVQ,structural_other,1.8,1.8232791538560782,0.01293286325337675,1.293286325337675,1.6725895193054263e-4,0.01293286325337675
80,1,ode,focei,lbfgsb3c,3,TVVp,structural_other,80,79.33634224363873,-0.008295721954515934,-0.8295721954515934,6.881900274663767e-5,0.008295721954515934
80,1,ode,focei,lbfgsb3c,3,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,ode,focei,lbfgsb3c,3,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,3,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,3,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,3,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,3,var_CL,structural_other,0.1,0.09822045680542668,-0.017795431945733242,-1.7795431945733242,3.166773981352232e-4,0.017795431945733242
80,1,ode,focei,lbfgsb3c,3,var_Vc,structural_other,0.1,0.09984558311328186,-0.001544168867181478,-0.1544168867181478,2.384457490372529e-6,0.001544168867181478
80,1,ode,focei,lbfgsb3c,3,cov_VcCL,structural_other,0.02,0.019984774724700366,-7.612637649817219e-4,-0.0761263764981722,5.795225198741463e-7,7.612637649817219e-4
80,1,ode,focei,lbfgsb3c,3,ResErr,structural_other,0.1,0.10124163731428941,0.012416373142894038,1.2416373142894037,1.5416632202358037e-4,0.012416373142894038
80,1,ode,focei,lbfgsb3c,4,TVCL,structural_intercept,0.6,0.5899217230345652,-0.01679712827572455,-1.6797128275724549,2.8214351831114514e-4,0.01679712827572455
80,1,ode,focei,lbfgsb3c,4,TVVc,structural_intercept,20,19.906324144944477,-0.004683792752776128,-0.4683792752776128,2.1937914550958178e-5,0.004683792752776128
80,1,ode,focei,lbfgsb3c,4,TVQ,structural_other,1.8,1.8775602356128642,0.04308901978492454,4.308901978492454,0.0018566636260256186,0.04308901978492454
80,1,ode,focei,lbfgsb3c,4,TVVp,structural_other,80,81.97007953161483,0.02462599414518536,2.462599414518536,6.064395876387036e-4,0.02462599414518536
80,1,ode,focei,lbfgsb3c,4,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,ode,focei,lbfgsb3c,4,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,4,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,4,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,4,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,4,var_CL,structural_other,0.1,0.09993938608619828,-6.061391380172976e-4,-0.06061391380172976,3.674046546363525e-7,6.061391380172976e-4
80,1,ode,focei,lbfgsb3c,4,var_Vc,structural_other,0.1,0.09851640732219011,-0.014835926778098973,-1.4835926778098973,2.201047233651142e-4,0.014835926778098973
80,1,ode,focei,lbfgsb3c,4,cov_VcCL,structural_other,0.02,0.01964071312840909,-0.017964343579545544,-1.7964343579545545,3.2271764024395923e-4,0.017964343579545544
80,1,ode,focei,lbfgsb3c,4,ResErr,structural_other,0.1,0.09657303738677793,-0.03426962613222076,-3.426962613222076,0.001174407275242188,0.03426962613222076
80,1,ode,focei,lbfgsb3c,5,TVCL,structural_intercept,0.6,0.6167024305545793,0.027837384257632197,2.78373842576322,7.749199623070689e-4,0.027837384257632197
80,1,ode,focei,lbfgsb3c,5,TVVc,structural_intercept,20,19.01143163264265,-0.04942841836786745,-4.942841836786744,0.002443168542348936,0.04942841836786745
80,1,ode,focei,lbfgsb3c,5,TVQ,structural_other,1.8,1.815244457569708,0.008469143094282186,0.8469143094282187,7.172638475142764e-5,0.008469143094282186
80,1,ode,focei,lbfgsb3c,5,TVVp,structural_other,80,80.5529883396935,0.006912354246168739,0.6912354246168739,4.7780641224526994e-5,0.006912354246168739
80,1,ode,focei,lbfgsb3c,5,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,ode,focei,lbfgsb3c,5,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,5,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,5,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,5,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,5,var_CL,structural_other,0.1,0.12332142688383017,0.23321426883830168,23.321426883830167,0.054388895189783654,0.23321426883830168
80,1,ode,focei,lbfgsb3c,5,var_Vc,structural_other,0.1,0.11125322405985706,0.11253224059857056,11.253224059857056,0.012663505174134572,0.11253224059857056
80,1,ode,focei,lbfgsb3c,5,cov_VcCL,structural_other,0.02,0.023630232332190828,0.18151161660954138,18.151161660954138,0.03294646696420914,0.18151161660954138
80,1,ode,focei,lbfgsb3c,5,ResErr,structural_other,0.1,0.10466543633161925,0.04665436331619241,4.665436331619241,0.00217662961643928,0.04665436331619241
80,1,ode,focei,lbfgsb3c,6,TVCL,structural_intercept,0.6,0.6471994348312404,0.07866572471873409,7.866572471873409,0.006188296245523652,0.07866572471873409
80,1,ode,focei,lbfgsb3c,6,TVVc,structural_intercept,20,20.883540038977326,0.04417700194886631,4.417700194886631,0.001951607501190138,0.04417700194886631
80,1,ode,focei,lbfgsb3c,6,TVQ,structural_other,1.8,1.8209103648727445,0.011616869373746916,1.1616869373746916,1.3495165404669906e-4,0.011616869373746916
80,1,ode,focei,lbfgsb3c,6,TVVp,structural_other,80,80.7652811289758,0.009566014112197508,0.9566014112197507,9.150862599476186e-5,0.009566014112197508
80,1,ode,focei,lbfgsb3c,6,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,ode,focei,lbfgsb3c,6,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,6,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,6,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,6,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,6,var_CL,structural_other,0.1,0.09743848633062656,-0.02561513669373447,-2.561513669373447,6.561352278387021e-4,0.02561513669373447
80,1,ode,focei,lbfgsb3c,6,var_Vc,structural_other,0.1,0.14356450192282558,0.4356450192282557,43.56450192282557,0.18978658277838728,0.4356450192282557
80,1,ode,focei,lbfgsb3c,6,cov_VcCL,structural_other,0.02,0.029459423656567993,0.4729711828283996,47.29711828283996,0.22370173978609542,0.4729711828283996
80,1,ode,focei,lbfgsb3c,6,ResErr,structural_other,0.1,0.09441264672640275,-0.05587353273597259,-5.587353273597259,0.003121851660397801,0.05587353273597259
80,1,ode,focei,lbfgsb3c,7,TVCL,structural_intercept,0.6,0.5518796572497429,-0.08020057125042854,-8.020057125042854,0.006432131628895064,0.08020057125042854
80,1,ode,focei,lbfgsb3c,7,TVVc,structural_intercept,20,17.564149806523048,-0.12179250967384761,-12.17925096738476,0.014833415412654264,0.12179250967384761
80,1,ode,focei,lbfgsb3c,7,TVQ,structural_other,1.8,1.8354342571446283,0.019685698413682347,1.9685698413682347,3.875267220344557e-4,0.019685698413682347
80,1,ode,focei,lbfgsb3c,7,TVVp,structural_other,80,79.797206711123,-0.0025349161109625485,-0.25349161109625484,6.425799689617492e-6,0.0025349161109625485
80,1,ode,focei,lbfgsb3c,7,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,ode,focei,lbfgsb3c,7,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,7,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,7,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,7,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,7,var_CL,structural_other,0.1,0.08951500964541938,-0.10484990354580628,-10.484990354580628,0.010993502273564881,0.10484990354580628
80,1,ode,focei,lbfgsb3c,7,var_Vc,structural_other,0.1,0.10259530333541629,0.025953033354162852,2.5953033354162853,6.735599402822895e-4,0.025953033354162852
80,1,ode,focei,lbfgsb3c,7,cov_VcCL,structural_other,0.02,0.019460679576596123,-0.026966021170193866,-2.6966021170193866,7.271662977513438e-4,0.026966021170193866
80,1,ode,focei,lbfgsb3c,7,ResErr,structural_other,0.1,0.09746073341207678,-0.025392665879232224,-2.5392665879232226,6.447874804543244e-4,0.025392665879232224
80,1,ode,focei,lbfgsb3c,8,TVCL,structural_intercept,0.6,0.5769139717431081,-0.03847671376148647,-3.8476713761486465,0.001480457501883362,0.03847671376148647
80,1,ode,focei,lbfgsb3c,8,TVVc,structural_intercept,20,19.418141497847326,-0.029092925107633682,-2.9092925107633683,8.463982913183822e-4,0.029092925107633682
80,1,ode,focei,lbfgsb3c,8,TVQ,structural_other,1.8,1.831578914819142,0.017543841566189933,1.7543841566189933,3.077863768995736e-4,0.017543841566189933
80,1,ode,focei,lbfgsb3c,8,TVVp,structural_other,80,80.54248399380565,0.0067810499225705815,0.6781049922570581,4.598263805239449e-5,0.0067810499225705815
80,1,ode,focei,lbfgsb3c,8,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,ode,focei,lbfgsb3c,8,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,8,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,8,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,8,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,8,var_CL,structural_other,0.1,0.07912510787048017,-0.20874892129519831,-20.874892129519832,0.0435761121419089,0.20874892129519831
80,1,ode,focei,lbfgsb3c,8,var_Vc,structural_other,0.1,0.1043168605116162,0.043168605116161995,4.316860511616199,0.0018635284676751275,0.043168605116161995
80,1,ode,focei,lbfgsb3c,8,cov_VcCL,structural_other,0.02,0.01869554157060205,-0.06522292146989746,-6.522292146989746,0.004254029485068411,0.06522292146989746
80,1,ode,focei,lbfgsb3c,8,ResErr,structural_other,0.1,0.10664945115533343,0.06649451155333427,6.649451155333427,0.0044215200667165055,0.06649451155333427
80,1,ode,focei,lbfgsb3c,9,TVCL,structural_intercept,0.6,0.628650577892755,0.04775096315459175,4.775096315459175,0.002280154482191179,0.04775096315459175
80,1,ode,focei,lbfgsb3c,9,TVVc,structural_intercept,20,20.661214008839348,0.033060700441967406,3.3060700441967406,0.0010930099137135038,0.033060700441967406
80,1,ode,focei,lbfgsb3c,9,TVQ,structural_other,1.8,1.8412642432370476,0.022924579576137544,2.2924579576137543,5.255363487426626e-4,0.022924579576137544
80,1,ode,focei,lbfgsb3c,9,TVVp,structural_other,80,81.35763679816218,0.016970459977027195,1.6970459977027195,2.879965118318819e-4,0.016970459977027195
80,1,ode,focei,lbfgsb3c,9,TVKA,structural_other,0.7,0.7000000000000003,4.758098676964956e-16,4.7580986769649564e-14,2.263950301973567e-31,4.758098676964956e-16
80,1,ode,focei,lbfgsb3c,9,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,9,CLcrCL,covariate_beta,0,0.26221476319598735,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,9,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,9,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,9,var_CL,structural_other,0.1,0.08313837454650244,-0.16861625453497564,-16.861625453497563,0.028431441293403692,0.16861625453497564
80,1,ode,focei,lbfgsb3c,9,var_Vc,structural_other,0.1,0.0948169039801725,-0.05183096019827499,-5.183096019827499,0.002686448435075166,0.05183096019827499
80,1,ode,focei,lbfgsb3c,9,cov_VcCL,structural_other,0.02,0.018181902562516523,-0.09090487187417388,-9.090487187417388,0.00826369573045997,0.09090487187417388
80,1,ode,focei,lbfgsb3c,9,ResErr,structural_other,0.1,0.09452968183372834,-0.05470318166271665,-5.470318166271665,0.002992438084024179,0.05470318166271665
80,1,ode,focei,lbfgsb3c,10,TVCL,structural_intercept,0.6,0.6076513763656634,0.012752293942772294,1.2752293942772295,1.6262100080286694e-4,0.012752293942772294
80,1,ode,focei,lbfgsb3c,10,TVVc,structural_intercept,20,21.382289514453362,0.06911447572266809,6.911447572266809,0.0047768107544192764,0.06911447572266809
80,1,ode,focei,lbfgsb3c,10,TVQ,structural_other,1.8,1.8289772755041123,0.016098486391173457,1.6098486391173457,2.5916126408679697e-4,0.016098486391173457
80,1,ode,focei,lbfgsb3c,10,TVVp,structural_other,80,80.17238007349334,0.0021547509186667924,0.21547509186667924,4.642951521495386e-6,0.0021547509186667924
80,1,ode,focei,lbfgsb3c,10,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,ode,focei,lbfgsb3c,10,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,10,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,10,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,10,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,10,var_CL,structural_other,0.1,0.10081978841746442,0.008197884174644121,0.8197884174644121,6.720530494088052e-5,0.008197884174644121
80,1,ode,focei,lbfgsb3c,10,var_Vc,structural_other,0.1,0.09879021767023297,-0.012097823297670396,-1.2097823297670396,1.4635732854165662e-4,0.012097823297670396
