sample_N,scenario,structure,estimator,outer_opt,n_total,n_ok_status,Converged_pct,ConvergedStrict_pct,CovStep_pct,CovDone_pct,CNBelowCutoff_pct,MinSuc_pct,EstBnd_pct,MedCN,MaxCN,P90CN,MedObjF,MedNSelected,MedWallBase_sec,MedWallScm_sec,MedWallRefit_sec,MedWallTotal_sec,MedWallTotal_min,MedCpuTotal_sec,MedHogFactor,scm_workers,rx_threads
80,1,linCmt,focei,bobyqa,100,100,100,100,100,100,100,100,NA,2.864336498148604,8.067053661132867,4.146837000266169,-4419.918784322263,0,15.05,254.31024146080017,6.976955413818359,283.1304607419968,4.718841012366613,6.336,0.022127004423262396,3,1
80,1,ode,focei,bobyqa,100,100,100,100,100,100,100,100,NA,2.836061489986146,36.952216834013484,4.085887221505419,-4419.902352881074,0,20.4045,163.85563349723816,28.489651918411255,212.73081698036194,3.5455136163393655,27.773,0.12675989054523612,3,1
80,2,linCmt,focei,bobyqa,100,100,100,100,100,100,100,100,NA,7.347249501244792,16.583932077956806,10.3771323008974,-4433.472772878929,1,13.8565,451.4354741573334,8.444591522216797,489.88653248405456,8.164775541400909,7.6259999999999994,0.015510673244682773,3,1
80,2,ode,focei,bobyqa,100,100,100,100,100,100,100,100,NA,7.391234329101911,15.760463886311223,10.497536066691497,-4433.446104816243,1,18.162,299.2848262786865,34.609195709228516,351.58692673206326,5.859782112201055,34.179,0.0974841392351376,3,1
80,3,linCmt,focei,bobyqa,100,100,100,100,100,100,100,100,NA,4.676034744013929,50.59497571161702,7.116422067244913,-4431.124267917429,1,16.764499999999998,477.2308200597763,8.518183588981628,511.56569668102264,8.526094944683711,7.6685,0.015290394814607033,3,1
80,3,ode,focei,bobyqa,100,100,100,100,100,100,100,100,NA,4.661395504208706,74.3351557729575,7.177139259206755,-4431.11060938522,1,18.4415,311.53439450263977,37.3591011762619,368.05504687023165,6.134250781170527,36.941500000000005,0.10134119134751324,3,1
80,4,linCmt,focei,bobyqa,100,100,100,100,100,100,100,100,NA,8.974342629101463,37.79859244051715,12.649919136172258,-4441.480142044797,2,21.1265,619.2358341217041,9.74560809135437,649.3771280012131,10.822952133353551,9.1015,0.014461711677808544,3,1
80,4,ode,focei,bobyqa,100,100,100,100,100,100,100,100,NA,8.94710976493319,57.67344599028192,12.11916098177805,-4441.471001385784,2,16.9195,472.0883787870407,43.945430397987366,540.3479355773926,9.005798926289877,43.647499999999994,0.08192096465978146,3,1
80,5,linCmt,focei,bobyqa,100,100,100,100,100,100,100,100,NA,3.345205664229053,7.421386181971448,4.656654009768262,-4448.186528707546,1,25.417,415.99566531181335,8.545096158981323,454.89761755084993,7.5816269591808325,8.008000000000001,0.017747655352470547,3,1
80,5,ode,focei,bobyqa,100,100,100,100,100,100,100,100,NA,3.5784478798341333,780.5283191426141,6.641701892516895,-4445.737702906123,1,20.2115,304.51461267471313,36.93273043632507,363.13043231487273,6.052173871914546,36.563500000000005,0.09571886237705332,3,1
80,6,linCmt,focei,bobyqa,100,100,100,100,100,100,100,100,NA,7.814044677935957,16.16448035824455,11.310169737041992,-4444.579329427269,2,32.8395,642.46606361866,10.552943110466003,687.4496036891937,11.457493394819895,9.412,0.013642240448818361,3,1
80,6,ode,focei,bobyqa,100,100,100,100,100,100,100,100,NA,8.25150857240445,809.4156781707878,20.518234903051503,-4442.161853880852,2,17.279500000000002,440.9656207561493,42.22334945201874,502.6096054944992,8.376826758241654,41.842999999999996,0.07585469499435218,3,1
80,7,linCmt,focei,bobyqa,100,100,99,99,99,99,99,99,NA,5.0071778701918275,44.62227049990765,7.604860621623986,-4437.8537853161815,2,24.183500000000002,563.0599681138992,10.126564264297485,592.6934247369766,9.878223745616276,9.4775,0.016679883173228945,3,1
80,7,ode,focei,bobyqa,100,100,96,96,96,96,96,96,NA,5.419623112311987,217.84552494021094,21.781469539572438,-4436.113801159387,2,18.435000000000002,433.4884362220764,43.61949336528778,494.87885488796235,8.247980914799372,43.253,0.08203277285649008,3,1
80,8,linCmt,focei,bobyqa,100,100,99,99,99,99,99,99,NA,9.796878706661786,55.649703378700764,14.74164337243468,-4448.600943624472,3,29.8195,828.1069985628128,12.055156350135803,878.0696962203979,14.63449493700663,11.036999999999999,0.012690985361420763,3,1
80,8,ode,focei,bobyqa,100,100,93,91,93,93,91,93,NA,9.680497157371818,16736232164.45139,37.58651593722213,-4448.564758651786,3,15.711500000000001,621.8214287757874,52.09093117713928,689.9543225030899,11.499238708384832,51.822,0.07263577304254251,3,1
80,9,linCmt,focei,bobyqa,100,100,100,100,100,100,100,100,NA,4.102595356627798,17.044340213106572,6.0666745010899135,-4489.123721985756,1,25.8085,420.8581917285919,9.035467147827148,466.3304648599625,7.772174414332708,8.094,0.019211508313454646,3,1
80,9,ode,focei,bobyqa,100,100,100,100,100,100,100,100,NA,4.328670148867193,15.438986144074287,6.027484909113398,-4488.475415787585,1,19.5395,349.42134153842926,38.42259132862091,411.64484671974185,6.8607474453290305,38.072500000000005,0.09299674939575753,3,1
