sample_N,scenario,structure,estimator,outer_opt,parameter,param_class,true_value,n_used,MedRE_pct,MeanRE_pct,MARE_pct,RMRSE_pct,P90AbsRE_pct
80,1,linCmt,focei,bobyqa,TVCL,structural_intercept,0.6,90,0.08400840880117463,0.7579514225638664,2.696988662174003,3.8038245192594515,6.526945884548951
80,1,linCmt,focei,bobyqa,TVVc,structural_intercept,20,90,2.696428377322339,2.362131672768793,4.452096621846921,5.850649850190723,8.604730151136627
80,1,linCmt,focei,bobyqa,ResErr,structural_other,0.1,90,1.4365760472286744,1.3118747682517715,3.0696166916015093,4.314265106193237,6.535872397648376
80,1,linCmt,focei,bobyqa,TVKA,structural_other,0.7,90,0,0,0,0,0
80,1,linCmt,focei,bobyqa,TVQ,structural_other,1.8,90,2.010155283019362,2.251746115555438,2.010155283019362,2.6816923528844963,4.32315295000204
80,1,linCmt,focei,bobyqa,TVVp,structural_other,80,90,0.5597893808103827,0.47658968423819675,0.8788994986544553,1.2241151162170691,1.9002516477133362
80,1,linCmt,focei,bobyqa,cov_VcCL,structural_other,0.02,90,-5.598530115508349,-2.7989629625043846,32.56241242419061,47.093575803483176,79.09538185128548
80,1,linCmt,focei,bobyqa,var_CL,structural_other,0.1,90,-0.9921775481095685,-0.5339378480281357,10.106387224983013,14.885650185299252,23.916201330540805
80,1,linCmt,focei,bobyqa,var_Vc,structural_other,0.1,90,-7.990379666362083,-7.979393562145373,20.976002492416683,26.70611693611772,43.59502165406771
80,1,ode,focei,bobyqa,TVCL,structural_intercept,0.6,92,0.04304131715088255,0.7049378911707176,2.7363071013949787,3.7659256949744395,6.522899412615553
80,1,ode,focei,bobyqa,TVVc,structural_intercept,20,92,2.5195096666349404,2.311594154409928,4.2564654374282895,5.772641381002673,8.497991696250407
80,1,ode,focei,bobyqa,ResErr,structural_other,0.1,92,1.1685171068545885,1.1544990191328457,2.916292828234843,4.219013398210442,6.441788146881073
80,1,ode,focei,bobyqa,TVKA,structural_other,0.7,92,0,0,0,0,0
80,1,ode,focei,bobyqa,TVQ,structural_other,1.8,92,1.9904909762581782,2.2212781344791095,1.9904909762581782,2.6508690921345845,4.278782887440497
80,1,ode,focei,bobyqa,TVVp,structural_other,80,92,0.5513746473896131,0.4713694710082871,0.8620449543074926,1.213125794556007,1.8920770197677281
80,1,ode,focei,bobyqa,cov_VcCL,structural_other,0.02,92,-6.282309485340208,-2.1603550219030354,27.84347560358732,46.76796478680471,79.10674698059387
80,1,ode,focei,bobyqa,var_CL,structural_other,0.1,92,-1.1654021511117718,-0.4565479927941707,10.704288500833846,14.778468644904658,23.988716111921736
80,1,ode,focei,bobyqa,var_Vc,structural_other,0.1,92,-7.36755112030861,-6.351865615180954,20.704889397819564,26.570569010132434,43.46797304350981
80,2,linCmt,focei,bobyqa,VcSEX,covariate_beta,0.4054651081081644,85,-3.5132286282805056,-1.2264268145003356,12.986644283297618,20.548173073926847,32.095154761471946
80,2,linCmt,focei,bobyqa,TVCL,structural_intercept,0.6,85,0.8508595536637076,1.2697914646545956,2.5464537236338054,3.813627767424241,6.733238560929814
80,2,linCmt,focei,bobyqa,TVVc,structural_intercept,20,85,1.5286392254324177,1.9717996324275702,4.498553770632245,6.770699788856806,10.55722920474633
80,2,linCmt,focei,bobyqa,ResErr,structural_other,0.1,85,-1.5928028762645234,-1.1902442390912091,3.915905551752294,4.894312494426009,7.764795352006399
80,2,linCmt,focei,bobyqa,TVKA,structural_other,0.7,85,4.7580986769649564e-14,4.7580986769649564e-14,4.7580986769649564e-14,4.7580986769649564e-14,4.7580986769649564e-14
80,2,linCmt,focei,bobyqa,TVQ,structural_other,1.8,85,1.623034660732646,1.6174230913863334,1.8290714829067238,2.317763998631005,3.7896610064334437
80,2,linCmt,focei,bobyqa,TVVp,structural_other,80,85,0.35978924058705175,0.41338681498578045,0.9026396221377553,1.1857217188427889,1.8704120771224348
80,2,linCmt,focei,bobyqa,cov_VcCL,structural_other,0.02,85,-2.5535080068748646,-3.2514697595613304,30.636204046117548,41.23957011703898,62.647887752818136
80,2,linCmt,focei,bobyqa,var_CL,structural_other,0.1,85,-3.467883007991168,-1.352082665650894,12.205309526720761,15.57510398642269,24.187084700655813
80,2,linCmt,focei,bobyqa,var_Vc,structural_other,0.1,85,-3.8359736761152674,-2.7022548800045456,17.199347344517225,24.846521446443838,41.328340901503466
80,2,ode,focei,bobyqa,VcSEX,covariate_beta,0.4054651081081644,87,-4.34411866826012,-1.3617984830762513,13.12267169560736,20.42428044208961,31.76679481777729
80,2,ode,focei,bobyqa,TVCL,structural_intercept,0.6,87,0.7579317978926674,1.2225131836340215,2.2505269166534503,3.7556785570584608,6.66383843734866
80,2,ode,focei,bobyqa,TVVc,structural_intercept,20,87,1.5635745293720047,2.0892676331741753,4.5736950828750444,6.833366516671872,10.976713759261802
80,2,ode,focei,bobyqa,ResErr,structural_other,0.1,87,-1.6349773152571634,-1.1942045164414172,3.6053140454656853,4.90964808195318,7.728605472527822
80,2,ode,focei,bobyqa,TVKA,structural_other,0.7,87,4.7580986769649564e-14,4.7580986769649564e-14,4.7580986769649564e-14,4.7580986769649564e-14,4.7580986769649564e-14
80,2,ode,focei,bobyqa,TVQ,structural_other,1.8,87,1.5732264721124063,1.5776504231845252,1.8462361930493307,2.2977409261454413,3.7288364600399735
80,2,ode,focei,bobyqa,TVVp,structural_other,80,87,0.3454885043743161,0.39425116691456974,0.9312134616696176,1.1888224732138555,1.8697149391694805
80,2,ode,focei,bobyqa,cov_VcCL,structural_other,0.02,87,-5.40974515381246,-4.432333361308377,29.79031816888548,41.290435242958345,63.24111744093599
80,2,ode,focei,bobyqa,var_CL,structural_other,0.1,87,-3.6570060167743086,-1.3313396682111,11.193374438130288,15.429217663757813,23.678972042456145
80,2,ode,focei,bobyqa,var_Vc,structural_other,0.1,87,-4.078053862359765,-2.0293577213240854,16.795122348090384,24.863147746707227,40.81706787199204
80,3,linCmt,focei,bobyqa,VcBW,covariate_beta,1,65,6.278174746210197,5.378531753787332,14.515384624418637,18.85752244833357,27.72067679304912
80,3,linCmt,focei,bobyqa,TVCL,structural_intercept,0.6,65,0.9926700477072744,0.914931314125389,2.6443285378711656,3.791876109368132,6.257193882438387
80,3,linCmt,focei,bobyqa,TVVc,structural_intercept,20,65,-0.312871201732694,0.26696108022667636,2.8222707166659156,5.262930738126466,8.935022983775983
