sample_N,scenario,structure,estimator,outer_opt,dataset_id,has_error,file_path
80,1,linCmt,focei,bobyqa,1,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds001.rds
80,1,linCmt,focei,bobyqa,2,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds002.rds
80,1,linCmt,focei,bobyqa,3,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds003.rds
80,1,linCmt,focei,bobyqa,4,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds004.rds
80,1,linCmt,focei,bobyqa,5,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds005.rds
80,1,linCmt,focei,bobyqa,6,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds006.rds
80,1,linCmt,focei,bobyqa,7,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds007.rds
80,1,linCmt,focei,bobyqa,8,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds008.rds
80,1,linCmt,focei,bobyqa,9,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds009.rds
80,1,linCmt,focei,bobyqa,10,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds010.rds
80,1,linCmt,focei,bobyqa,11,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds011.rds
80,1,linCmt,focei,bobyqa,12,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds012.rds
80,1,linCmt,focei,bobyqa,13,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds013.rds
80,1,linCmt,focei,bobyqa,14,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds014.rds
80,1,linCmt,focei,bobyqa,15,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds015.rds
80,1,linCmt,focei,bobyqa,16,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds016.rds
80,1,linCmt,focei,bobyqa,17,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds017.rds
80,1,linCmt,focei,bobyqa,18,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds018.rds
80,1,linCmt,focei,bobyqa,19,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds019.rds
80,1,linCmt,focei,bobyqa,20,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds020.rds
80,1,linCmt,focei,bobyqa,21,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds021.rds
80,1,linCmt,focei,bobyqa,22,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds022.rds
80,1,linCmt,focei,bobyqa,23,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds023.rds
80,1,linCmt,focei,bobyqa,24,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds024.rds
80,1,linCmt,focei,bobyqa,25,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds025.rds
80,1,linCmt,focei,bobyqa,26,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds026.rds
80,1,linCmt,focei,bobyqa,27,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds027.rds
80,1,linCmt,focei,bobyqa,28,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds028.rds
80,1,linCmt,focei,bobyqa,29,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds029.rds
80,1,linCmt,focei,bobyqa,30,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds030.rds
80,1,linCmt,focei,bobyqa,31,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds031.rds
80,1,linCmt,focei,bobyqa,32,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds032.rds
80,1,linCmt,focei,bobyqa,33,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds033.rds
80,1,linCmt,focei,bobyqa,34,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds034.rds
80,1,linCmt,focei,bobyqa,35,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds035.rds
80,1,linCmt,focei,bobyqa,36,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds036.rds
80,1,linCmt,focei,bobyqa,37,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds037.rds
80,1,linCmt,focei,bobyqa,38,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds038.rds
80,1,linCmt,focei,bobyqa,39,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds039.rds
80,1,linCmt,focei,bobyqa,40,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds040.rds
80,1,linCmt,focei,bobyqa,41,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds041.rds
80,1,linCmt,focei,bobyqa,42,FALSE,output/scm_profile_off/N80/scn01_linCmt/focei_bobyqa/res_ds042.rds
