sample_N,scenario,structure,estimator,outer_opt,N,n_exact,n_ok_cn,n_ok_min,n_exact_cn,n_exact_min,Power,PowerCN,PowerMinSuc
80,1,linCmt,focei,bobyqa,100,90,100,100,90,90,0.9,0.9,0.9
80,1,ode,focei,bobyqa,100,92,100,100,92,92,0.92,0.92,0.92
80,2,linCmt,focei,bobyqa,100,85,100,100,85,85,0.85,0.85,0.85
80,2,ode,focei,bobyqa,100,87,100,100,87,87,0.87,0.87,0.87
80,3,linCmt,focei,bobyqa,100,65,100,100,65,65,0.65,0.65,0.65
80,3,ode,focei,bobyqa,100,66,100,100,66,66,0.66,0.66,0.66
80,4,linCmt,focei,bobyqa,100,68,100,100,68,68,0.68,0.68,0.68
80,4,ode,focei,bobyqa,100,71,100,100,71,71,0.71,0.71,0.71
80,5,linCmt,focei,bobyqa,100,72,100,100,72,72,0.72,0.72,0.72
80,5,ode,focei,bobyqa,100,35,100,100,35,35,0.35,0.35,0.35
80,6,linCmt,focei,bobyqa,100,69,100,100,69,69,0.69,0.69,0.69
80,6,ode,focei,bobyqa,100,27,100,100,27,27,0.27,0.27,0.27
80,7,linCmt,focei,bobyqa,100,52,99,99,52,52,0.52,0.5252525252525253,0.5252525252525253
80,7,ode,focei,bobyqa,100,23,96,96,23,23,0.23,0.23958333333333334,0.23958333333333334
80,8,linCmt,focei,bobyqa,100,48,99,99,48,48,0.48,0.48484848484848486,0.48484848484848486
80,8,ode,focei,bobyqa,100,19,91,93,19,19,0.19,0.2087912087912088,0.20430107526881722
80,9,linCmt,focei,bobyqa,100,49,100,100,49,49,0.49,0.49,0.49
80,9,ode,focei,bobyqa,100,48,100,100,48,48,0.48,0.48,0.48
80,10,linCmt,focei,bobyqa,100,50,100,100,50,50,0.5,0.5,0.5
80,10,ode,focei,bobyqa,100,41,100,100,41,41,0.41,0.41,0.41
80,11,linCmt,focei,bobyqa,100,31,99,99,31,31,0.31,0.31313131313131315,0.31313131313131315
80,11,ode,focei,bobyqa,100,17,100,100,17,17,0.17,0.17,0.17
80,12,linCmt,focei,bobyqa,100,20,99,99,20,20,0.2,0.20202020202020202,0.20202020202020202
80,12,ode,focei,bobyqa,100,16,100,100,16,16,0.16,0.16,0.16
80,13,linCmt,focei,bobyqa,100,32,99,99,32,32,0.32,0.32323232323232326,0.32323232323232326
80,13,ode,focei,bobyqa,100,22,95,98,22,22,0.22,0.23157894736842105,0.22448979591836735
80,14,linCmt,focei,bobyqa,100,41,99,99,41,41,0.41,0.41414141414141414,0.41414141414141414
80,14,ode,focei,bobyqa,100,7,95,97,7,7,0.07,0.07368421052631578,0.07216494845360824
80,15,linCmt,focei,bobyqa,100,25,100,100,25,25,0.25,0.25,0.25
80,15,ode,focei,bobyqa,100,5,98,99,5,5,0.05,0.05102040816326531,0.050505050505050504
80,16,linCmt,focei,bobyqa,100,17,98,99,17,17,0.17,0.17346938775510204,0.1717171717171717
80,16,ode,focei,bobyqa,100,1,90,91,1,1,0.01,0.011111111111111112,0.01098901098901099
