sample_N,scenario,structure,estimator,outer_opt,k,n_at_least_k,fraction_at_least_k,n_true
80,2,linCmt,focei,bobyqa,1,96,0.96,1
80,2,ode,focei,bobyqa,1,96,0.96,1
80,3,linCmt,focei,bobyqa,1,71,0.71,1
80,3,ode,focei,bobyqa,1,71,0.71,1
80,4,linCmt,focei,bobyqa,1,99,0.99,2
80,4,linCmt,focei,bobyqa,2,72,0.72,2
80,4,ode,focei,bobyqa,1,99,0.99,2
80,4,ode,focei,bobyqa,2,75,0.75,2
80,5,linCmt,focei,bobyqa,1,81,0.81,1
80,5,ode,focei,bobyqa,1,44,0.44,1
80,6,linCmt,focei,bobyqa,1,100,1,2
80,6,linCmt,focei,bobyqa,2,77,0.77,2
80,6,ode,focei,bobyqa,1,98,0.98,2
80,6,ode,focei,bobyqa,2,32,0.32,2
80,7,linCmt,focei,bobyqa,1,92,0.92,2
80,7,linCmt,focei,bobyqa,2,57,0.57,2
80,7,ode,focei,bobyqa,1,78,0.78,2
80,7,ode,focei,bobyqa,2,24,0.24,2
80,8,linCmt,focei,bobyqa,1,100,1,3
80,8,linCmt,focei,bobyqa,2,89,0.89,3
80,8,linCmt,focei,bobyqa,3,54,0.54,3
80,8,ode,focei,bobyqa,1,99,0.99,3
80,8,ode,focei,bobyqa,2,78,0.78,3
80,8,ode,focei,bobyqa,3,20,0.2,3
80,9,linCmt,focei,bobyqa,1,51,0.51,1
80,9,ode,focei,bobyqa,1,52,0.52,1
80,10,linCmt,focei,bobyqa,1,99,0.99,2
80,10,linCmt,focei,bobyqa,2,54,0.54,2
80,10,ode,focei,bobyqa,1,98,0.98,2
80,10,ode,focei,bobyqa,2,42,0.42,2
80,11,linCmt,focei,bobyqa,1,89,0.89,2
80,11,linCmt,focei,bobyqa,2,37,0.37,2
80,11,ode,focei,bobyqa,1,73,0.73,2
80,11,ode,focei,bobyqa,2,18,0.18,2
80,12,linCmt,focei,bobyqa,1,99,0.99,3
80,12,linCmt,focei,bobyqa,2,78,0.78,3
80,12,linCmt,focei,bobyqa,3,24,0.24,3
80,12,ode,focei,bobyqa,1,99,0.99,3
80,12,ode,focei,bobyqa,2,72,0.72,3
80,12,ode,focei,bobyqa,3,19,0.19,3
80,13,linCmt,focei,bobyqa,1,85,0.85,2
80,13,linCmt,focei,bobyqa,2,36,0.36,2
80,13,ode,focei,bobyqa,1,73,0.73,2
80,13,ode,focei,bobyqa,2,23,0.23,2
80,14,linCmt,focei,bobyqa,1,99,0.99,3
80,14,linCmt,focei,bobyqa,2,84,0.84,3
80,14,linCmt,focei,bobyqa,3,41,0.41,3
80,14,ode,focei,bobyqa,1,99,0.99,3
80,14,ode,focei,bobyqa,2,69,0.69,3
80,14,ode,focei,bobyqa,3,8,0.08,3
80,15,linCmt,focei,bobyqa,1,92,0.92,3
80,15,linCmt,focei,bobyqa,2,66,0.66,3
80,15,linCmt,focei,bobyqa,3,26,0.26,3
80,15,ode,focei,bobyqa,1,77,0.77,3
80,15,ode,focei,bobyqa,2,40,0.4,3
80,15,ode,focei,bobyqa,3,6,0.06,3
80,16,linCmt,focei,bobyqa,1,100,1,4
80,16,linCmt,focei,bobyqa,2,93,0.93,4
80,16,linCmt,focei,bobyqa,3,61,0.61,4
80,16,linCmt,focei,bobyqa,4,17,0.17,4
80,16,ode,focei,bobyqa,1,100,1,4
80,16,ode,focei,bobyqa,2,82,0.82,4
80,16,ode,focei,bobyqa,3,38,0.38,4
80,16,ode,focei,bobyqa,4,1,0.01,4
