sample_N,scenario,structure,estimator,outer_opt,var,covar,shape,n_datasets,is_true,n_detected,detection_rate,n_TP,n_FN,n_FP
80,1,ode,focei,lbfgsb3c,cl,BMI,power,1,FALSE,1,1,0,0,1
80,1,ode,focei,lbfgsb3c,cl,CrCL,lin,1,FALSE,1,1,0,0,1
80,1,ode,focei,lbfgsb3c,cl,CrCL,power,2,FALSE,2,1,0,0,2
80,1,ode,focei,lbfgsb3c,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,1,ode,focei,lbfgsb3c,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,1,ode,focei,lbfgsb3c,vc,BMI,power,1,FALSE,1,1,0,0,1
80,1,ode,focei,lbfgsb3c,vc,BW,power,1,FALSE,1,1,0,0,1
80,1,ode,focei,lbfgsb3c,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,1,ode,focei,lbfgsb3c,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,1,ode,focei,lbfgsb3c,vc,SEX,cat,1,FALSE,1,1,0,0,1
80,2,ode,focei,lbfgsb3c,vc,SEX,cat,100,TRUE,97,0.97,97,3,0
80,2,ode,focei,lbfgsb3c,cl,BMI,power,1,FALSE,1,1,0,0,1
80,2,ode,focei,lbfgsb3c,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,2,ode,focei,lbfgsb3c,cl,SEX,cat,2,FALSE,2,1,0,0,2
80,2,ode,focei,lbfgsb3c,vc,BMI,power,1,FALSE,1,1,0,0,1
80,2,ode,focei,lbfgsb3c,vc,BW,power,3,FALSE,3,1,0,0,3
80,2,ode,focei,lbfgsb3c,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,2,ode,focei,lbfgsb3c,vc,RACE,cat,1,FALSE,1,1,0,0,1
80,3,ode,focei,lbfgsb3c,vc,BW,power,100,TRUE,83,0.83,83,17,0
80,3,ode,focei,lbfgsb3c,cl,BMI,power,1,FALSE,1,1,0,0,1
80,3,ode,focei,lbfgsb3c,cl,BW,power,1,FALSE,1,1,0,0,1
80,3,ode,focei,lbfgsb3c,cl,CrCL,power,2,FALSE,2,1,0,0,2
80,3,ode,focei,lbfgsb3c,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,3,ode,focei,lbfgsb3c,vc,BMI,power,6,FALSE,6,1,0,0,6
80,3,ode,focei,lbfgsb3c,vc,BW,lin,11,FALSE,11,1,0,0,11
80,3,ode,focei,lbfgsb3c,vc,CrCL,lin,1,FALSE,1,1,0,0,1
80,3,ode,focei,lbfgsb3c,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,3,ode,focei,lbfgsb3c,vc,RACE,cat,4,FALSE,4,1,0,0,4
80,3,ode,focei,lbfgsb3c,vc,SEX,cat,1,FALSE,1,1,0,0,1
80,4,ode,focei,lbfgsb3c,vc,BW,power,100,TRUE,84,0.84,84,16,0
80,4,ode,focei,lbfgsb3c,vc,SEX,cat,100,TRUE,96,0.96,96,4,0
80,4,ode,focei,lbfgsb3c,cl,BMI,power,1,FALSE,1,1,0,0,1
80,4,ode,focei,lbfgsb3c,cl,BW,power,1,FALSE,1,1,0,0,1
80,4,ode,focei,lbfgsb3c,cl,CrCL,power,1,FALSE,1,1,0,0,1
80,4,ode,focei,lbfgsb3c,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,4,ode,focei,lbfgsb3c,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,4,ode,focei,lbfgsb3c,vc,BMI,power,12,FALSE,12,1,0,0,12
80,4,ode,focei,lbfgsb3c,vc,BW,lin,5,FALSE,5,1,0,0,5
80,4,ode,focei,lbfgsb3c,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,4,ode,focei,lbfgsb3c,vc,RACE,cat,2,FALSE,2,1,0,0,2
80,5,ode,focei,lbfgsb3c,cl,CrCL,power,100,TRUE,91,0.91,91,9,0
80,5,ode,focei,lbfgsb3c,cl,BMI,lin,1,FALSE,1,1,0,0,1
80,5,ode,focei,lbfgsb3c,cl,BMI,power,2,FALSE,2,1,0,0,2
80,5,ode,focei,lbfgsb3c,cl,BW,power,2,FALSE,2,1,0,0,2
80,5,ode,focei,lbfgsb3c,cl,CrCL,lin,9,FALSE,9,1,0,0,9
80,5,ode,focei,lbfgsb3c,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,5,ode,focei,lbfgsb3c,vc,BMI,power,2,FALSE,2,1,0,0,2
80,5,ode,focei,lbfgsb3c,vc,BW,power,1,FALSE,1,1,0,0,1
80,5,ode,focei,lbfgsb3c,vc,CrCL,lin,2,FALSE,2,1,0,0,2
80,5,ode,focei,lbfgsb3c,vc,CrCL,power,3,FALSE,3,1,0,0,3
80,5,ode,focei,lbfgsb3c,vc,RACE,cat,1,FALSE,1,1,0,0,1
80,6,ode,focei,lbfgsb3c,cl,CrCL,power,100,TRUE,89,0.89,89,11,0
80,6,ode,focei,lbfgsb3c,vc,SEX,cat,100,TRUE,96,0.96,96,4,0
80,6,ode,focei,lbfgsb3c,cl,BMI,power,2,FALSE,2,1,0,0,2
80,6,ode,focei,lbfgsb3c,cl,BW,power,1,FALSE,1,1,0,0,1
80,6,ode,focei,lbfgsb3c,cl,CrCL,lin,11,FALSE,11,1,0,0,11
80,6,ode,focei,lbfgsb3c,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,6,ode,focei,lbfgsb3c,vc,BW,lin,1,FALSE,1,1,0,0,1
80,6,ode,focei,lbfgsb3c,vc,BW,power,1,FALSE,1,1,0,0,1
80,6,ode,focei,lbfgsb3c,vc,CrCL,power,3,FALSE,3,1,0,0,3
80,6,ode,focei,lbfgsb3c,vc,RACE,cat,4,FALSE,4,1,0,0,4
80,7,ode,focei,lbfgsb3c,cl,CrCL,power,100,TRUE,91,0.91,91,9,0
80,7,ode,focei,lbfgsb3c,vc,BW,power,100,TRUE,85,0.85,85,15,0
80,7,ode,focei,lbfgsb3c,cl,CrCL,lin,9,FALSE,9,1,0,0,9
80,7,ode,focei,lbfgsb3c,vc,BMI,lin,2,FALSE,2,1,0,0,2
80,7,ode,focei,lbfgsb3c,vc,BMI,power,10,FALSE,10,1,0,0,10
80,7,ode,focei,lbfgsb3c,vc,BW,lin,3,FALSE,3,1,0,0,3
80,7,ode,focei,lbfgsb3c,vc,CrCL,lin,2,FALSE,2,1,0,0,2
80,7,ode,focei,lbfgsb3c,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,7,ode,focei,lbfgsb3c,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,7,ode,focei,lbfgsb3c,vc,SEX,cat,1,FALSE,1,1,0,0,1
80,8,ode,focei,lbfgsb3c,cl,CrCL,power,100,TRUE,83,0.83,83,17,0
80,8,ode,focei,lbfgsb3c,vc,BW,power,100,TRUE,83,0.83,83,17,0
80,8,ode,focei,lbfgsb3c,vc,SEX,cat,100,TRUE,97,0.97,97,3,0
80,8,ode,focei,lbfgsb3c,cl,BMI,power,1,FALSE,1,1,0,0,1
80,8,ode,focei,lbfgsb3c,cl,BW,power,4,FALSE,4,1,0,0,4
80,8,ode,focei,lbfgsb3c,cl,CrCL,lin,15,FALSE,15,1,0,0,15
80,8,ode,focei,lbfgsb3c,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,8,ode,focei,lbfgsb3c,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,8,ode,focei,lbfgsb3c,vc,BMI,power,13,FALSE,13,1,0,0,13
80,8,ode,focei,lbfgsb3c,vc,BW,lin,5,FALSE,5,1,0,0,5
80,8,ode,focei,lbfgsb3c,vc,CrCL,lin,1,FALSE,1,1,0,0,1
80,8,ode,focei,lbfgsb3c,vc,CrCL,power,1,FALSE,1,1,0,0,1
80,8,ode,focei,lbfgsb3c,vc,RACE,cat,1,FALSE,1,1,0,0,1
80,9,ode,focei,lbfgsb3c,cl,BW,power,100,TRUE,78,0.78,78,22,0
80,9,ode,focei,lbfgsb3c,cl,BMI,lin,1,FALSE,1,1,0,0,1
80,9,ode,focei,lbfgsb3c,cl,BMI,power,11,FALSE,11,1,0,0,11
80,9,ode,focei,lbfgsb3c,cl,BW,lin,10,FALSE,10,1,0,0,10
80,9,ode,focei,lbfgsb3c,cl,CrCL,power,2,FALSE,2,1,0,0,2
80,9,ode,focei,lbfgsb3c,cl,RACE,cat,4,FALSE,4,1,0,0,4
80,9,ode,focei,lbfgsb3c,cl,SEX,cat,4,FALSE,4,1,0,0,4
80,9,ode,focei,lbfgsb3c,vc,BMI,power,2,FALSE,2,1,0,0,2
80,9,ode,focei,lbfgsb3c,vc,BW,power,3,FALSE,3,1,0,0,3
80,9,ode,focei,lbfgsb3c,vc,CrCL,lin,1,FALSE,1,1,0,0,1
80,9,ode,focei,lbfgsb3c,vc,CrCL,power,2,FALSE,2,1,0,0,2
80,9,ode,focei,lbfgsb3c,vc,RACE,cat,3,FALSE,3,1,0,0,3
80,9,ode,focei,lbfgsb3c,vc,SEX,cat,1,FALSE,1,1,0,0,1
80,10,ode,focei,lbfgsb3c,cl,BW,power,100,TRUE,83,0.83,83,17,0
80,10,ode,focei,lbfgsb3c,vc,SEX,cat,100,TRUE,99,0.99,99,1,0
80,10,ode,focei,lbfgsb3c,cl,BMI,power,15,FALSE,15,1,0,0,15
80,10,ode,focei,lbfgsb3c,cl,BW,lin,1,FALSE,1,1,0,0,1
80,10,ode,focei,lbfgsb3c,cl,RACE,cat,3,FALSE,3,1,0,0,3
80,10,ode,focei,lbfgsb3c,cl,SEX,cat,1,FALSE,1,1,0,0,1
80,10,ode,focei,lbfgsb3c,vc,BMI,power,1,FALSE,1,1,0,0,1
80,10,ode,focei,lbfgsb3c,vc,CrCL,lin,1,FALSE,1,1,0,0,1
80,10,ode,focei,lbfgsb3c,vc,CrCL,power,2,FALSE,2,1,0,0,2
80,10,ode,focei,lbfgsb3c,vc,RACE,cat,2,FALSE,2,1,0,0,2
80,11,ode,focei,lbfgsb3c,cl,BW,power,100,TRUE,81,0.81,81,19,0
80,11,ode,focei,lbfgsb3c,vc,BW,power,100,TRUE,81,0.81,81,19,0
80,11,ode,focei,lbfgsb3c,cl,BMI,lin,1,FALSE,1,1,0,0,1
80,11,ode,focei,lbfgsb3c,cl,BMI,power,12,FALSE,12,1,0,0,12
80,11,ode,focei,lbfgsb3c,cl,BW,lin,5,FALSE,5,1,0,0,5
80,11,ode,focei,lbfgsb3c,cl,CrCL,lin,2,FALSE,2,1,0,0,2
80,11,ode,focei,lbfgsb3c,cl,CrCL,power,1,FALSE,1,1,0,0,1
80,11,ode,focei,lbfgsb3c,cl,RACE,cat,1,FALSE,1,1,0,0,1
80,11,ode,focei,lbfgsb3c,cl,SEX,cat,3,FALSE,3,1,0,0,3
80,11,ode,focei,lbfgsb3c,vc,BMI,power,11,FALSE,11,1,0,0,11
