sample_N,scenario,structure,estimator,outer_opt,parameter,param_class,true_value,n_used,MedRE_pct,MeanRE_pct,MARE_pct,RMRSE_pct,P90AbsRE_pct
80,1,ode,focei,lbfgsb3c,TVCL,structural_intercept,0.6,100,-0.129969224160994,0.536000001450903,2.84165274702345,4.06802068482238,6.26307890852174
80,1,ode,focei,lbfgsb3c,TVVc,structural_intercept,20,100,2.61619911219804,2.44200046297714,4.2085322382437,6.21021589863025,9.5332425993678
80,1,ode,focei,lbfgsb3c,ResErr,structural_other,0.1,100,1.10055463579208,0.844639001925721,2.87606420374507,4.00863102434052,6.07500486159896
80,1,ode,focei,lbfgsb3c,TVKA,structural_other,0.7,100,0,5.23390854466145e-15,0,1.57808280269792e-14,4.75809867696496e-14
80,1,ode,focei,lbfgsb3c,TVQ,structural_other,1.8,100,1.87011680827791,2.10101858873737,1.87011680827791,2.55508069824058,4.22157812330397
80,1,ode,focei,lbfgsb3c,TVVp,structural_other,80,100,0.526275616610761,0.445685591400328,0.836949885852496,1.19051891186159,1.87971558639432
80,1,ode,focei,lbfgsb3c,cov_VcCL,structural_other,0.02,100,-1.75492995918838,-4.28091277609127,11.0109374497196,22.5828989879957,40.3770594856035
80,1,ode,focei,lbfgsb3c,var_CL,structural_other,0.1,100,-0.932851192058111,-1.04296985210477,13.2168732960391,15.9059248541358,26.1657250144456
80,1,ode,focei,lbfgsb3c,var_Vc,structural_other,0.1,100,-0.41914706125349,-4.41167021663048,7.81333234625964,21.3382900592058,36.4427577213852
80,2,ode,focei,lbfgsb3c,VcSEX,covariate_beta,0.405465108108164,97,-1.49782977670563,0.6598176346656,12.9921554695529,19.6434466407639,31.6036080807449
80,2,ode,focei,lbfgsb3c,TVCL,structural_intercept,0.6,100,0.837750255279777,1.12900036354057,2.64227521069036,3.93802422948082,7.13901513648233
80,2,ode,focei,lbfgsb3c,TVVc,structural_intercept,20,100,1.76089528676327,2.26737386017167,4.49246100560023,7.54664429886452,10.8460877651496
80,2,ode,focei,lbfgsb3c,ResErr,structural_other,0.1,100,-1.43176589562851,-1.3602449006522,4.12953966142243,5.00702459932642,7.71834845896972
80,2,ode,focei,lbfgsb3c,TVKA,structural_other,0.7,100,4.75809867696496e-14,4.61535571665601e-14,4.75809867696496e-14,4.6861837276342e-14,4.75809867696496e-14
80,2,ode,focei,lbfgsb3c,TVQ,structural_other,1.8,100,1.58767532566857,1.55064873275118,1.75431878042866,2.28929529535178,3.58783790845184
80,2,ode,focei,lbfgsb3c,TVVp,structural_other,80,100,0.250233916656519,0.2775164781128,0.912363059626813,1.16822424592331,1.76119537660782
80,2,ode,focei,lbfgsb3c,cov_VcCL,structural_other,0.02,100,-7.34338963179942,-2.82659352866744,16.3033807830354,25.6205703669421,41.2349864970586
80,2,ode,focei,lbfgsb3c,var_CL,structural_other,0.1,100,-4.35475295862918,-1.6773265985161,11.4284118957625,15.9554717234292,24.505169584948
80,2,ode,focei,lbfgsb3c,var_Vc,structural_other,0.1,100,-0.44840204313918,2.52309657354114,16.9502878917032,25.7567812378866,40.2164331952386
80,3,ode,focei,lbfgsb3c,VcBW,covariate_beta,1,82,2.28894248405486,1.95892879971996,13.0359116694912,18.5474933347041,29.3793758943168
80,3,ode,focei,lbfgsb3c,TVCL,structural_intercept,0.6,99,0.907350632446865,0.863989266051389,2.53606383403486,3.79603344714274,5.91357831204188
80,3,ode,focei,lbfgsb3c,TVVc,structural_intercept,20,99,0.677026186418921,1.3029481691485,3.06985916513758,5.77814073189375,10.2508272428207
80,3,ode,focei,lbfgsb3c,ResErr,structural_other,0.1,99,0.0699506870935063,0.210159929460239,2.93857543044379,4.81571902973581,7.97891031082329
80,3,ode,focei,lbfgsb3c,TVKA,structural_other,0.7,99,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14
80,3,ode,focei,lbfgsb3c,TVQ,structural_other,1.8,99,1.8724141896222,1.85392440387365,1.95324778251928,2.4122284838345,3.87451168618963
80,3,ode,focei,lbfgsb3c,TVVp,structural_other,80,99,0.761304400987175,0.598884081199232,1.0547368337016,1.44053009777847,2.31588526963167
80,3,ode,focei,lbfgsb3c,cov_VcCL,structural_other,0.02,99,-16.8570694185396,-15.7698467520588,20.8454683011235,32.5989148998928,50.9959939990463
80,3,ode,focei,lbfgsb3c,var_CL,structural_other,0.1,99,-3.81769768789225,-1.67962945494957,13.6214057189385,16.0524600482042,23.8590944939237
80,3,ode,focei,lbfgsb3c,var_Vc,structural_other,0.1,99,-10.3455193277409,-8.48709726632486,19.2498894326608,25.0576192305177,42.3744624466838
80,4,ode,focei,lbfgsb3c,VcBW,covariate_beta,1,84,6.15535141004178,7.52896456071705,12.9599784408481,23.8505452652677,32.3959751805334
80,4,ode,focei,lbfgsb3c,VcSEX,covariate_beta,0.405465108108164,96,1.63632453415738,4.12594980262899,16.5004330998385,22.203000007637,35.865470017228
80,4,ode,focei,lbfgsb3c,TVCL,structural_intercept,0.6,100,1.19585840552917,0.928112379194638,2.62931209804743,3.78060078833614,5.8869363088732
80,4,ode,focei,lbfgsb3c,TVVc,structural_intercept,20,100,1.84433044565663,2.12527708972503,3.51054129097141,6.53370989891139,11.3460989672272
80,4,ode,focei,lbfgsb3c,ResErr,structural_other,0.1,100,-1.23456517125088,-0.941030787078078,2.88445954148695,4.64900295090908,7.89217394379171
80,4,ode,focei,lbfgsb3c,TVKA,structural_other,0.7,100,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14
80,4,ode,focei,lbfgsb3c,TVQ,structural_other,1.8,100,1.21239193760542,1.54382610535584,1.33757154709742,2.35013133510188,3.95986145286122
80,4,ode,focei,lbfgsb3c,TVVp,structural_other,80,100,0.0429655244880056,0.124455667940133,0.958648227672745,1.42430430601268,2.13515846613311
80,4,ode,focei,lbfgsb3c,cov_VcCL,structural_other,0.02,100,-19.0534540643672,-22.8067787605685,21.0391594774285,35.8618305155064,57.1441966771085
80,4,ode,focei,lbfgsb3c,var_CL,structural_other,0.1,100,-3.92188102356845,-2.80860560596911,10.2872744163897,16.5611264227275,27.8862087421468
80,4,ode,focei,lbfgsb3c,var_Vc,structural_other,0.1,100,-8.38890740513723,-7.57913944747774,14.5450599459815,24.3104904299658,43.4069183017399
80,5,ode,focei,lbfgsb3c,CLcrCL,covariate_beta,0.5,90,2.96997618681439,2.40560534940792,11.4871126708467,18.4716617706493,29.1145149462803
80,5,ode,focei,lbfgsb3c,TVCL,structural_intercept,0.6,99,0.229613607297748,0.589824163205431,2.61349762889799,3.68317428761239,5.44698423956908
80,5,ode,focei,lbfgsb3c,TVVc,structural_intercept,20,99,2.13237177359265,1.94287510019824,3.28368237418735,5.03538058720637,7.9978556627288
80,5,ode,focei,lbfgsb3c,ResErr,structural_other,0.1,99,-0.257827089323745,-0.154279868365237,3.50648287617833,5.3052694022666,8.5277172314205
80,5,ode,focei,lbfgsb3c,TVKA,structural_other,0.7,99,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14
80,5,ode,focei,lbfgsb3c,TVQ,structural_other,1.8,99,2.01499667378862,1.96377442148493,2.01712261716731,2.58350926684688,4.08506872095453
80,5,ode,focei,lbfgsb3c,TVVp,structural_other,80,99,0.412887799716426,0.481800125178532,1.01638323752621,1.27082144056785,2.21308561582463
80,5,ode,focei,lbfgsb3c,cov_VcCL,structural_other,0.02,99,-12.4653115233414,-12.7705819822706,17.2218720676118,27.6011814704711,47.3723373043606
80,5,ode,focei,lbfgsb3c,var_CL,structural_other,0.1,99,-7.59371329558484,-5.33999469044704,13.4566455694727,18.7120657448046,27.4132556296976
80,5,ode,focei,lbfgsb3c,var_Vc,structural_other,0.1,99,-3.74607324845241,-6.66056583489146,14.9660182972183,25.6658461208805,45.3767992923804
80,6,ode,focei,lbfgsb3c,CLcrCL,covariate_beta,0.5,89,-0.479619794040043,0.449596662982519,10.7167322076565,17.5348541590125,27.9837117447247
80,6,ode,focei,lbfgsb3c,VcSEX,covariate_beta,0.405465108108164,96,1.12381538848741,0.631545898760255,12.9726531384065,20.0891041099102,33.3273537314779
80,6,ode,focei,lbfgsb3c,TVCL,structural_intercept,0.6,100,0.699862641201097,0.952577566119459,3.06734922330349,4.00956194382625,6.06248519807957
80,6,ode,focei,lbfgsb3c,TVVc,structural_intercept,20,100,2.03971151250932,1.80233239826132,3.77779991067473,6.87549712572653,9.09174610341975
80,6,ode,focei,lbfgsb3c,ResErr,structural_other,0.1,100,-0.473214872813245,-0.625811931890144,3.50510904817869,4.88424145860749,7.97127567843832
80,6,ode,focei,lbfgsb3c,TVKA,structural_other,0.7,100,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14
80,6,ode,focei,lbfgsb3c,TVQ,structural_other,1.8,100,1.79504050653184,1.75843899834865,1.81086108501554,2.42356679761156,3.84832749994489
80,6,ode,focei,lbfgsb3c,TVVp,structural_other,80,100,0.17380193443949,0.297186598182034,0.863894111573149,1.19210868618475,1.98570659962346
80,6,ode,focei,lbfgsb3c,cov_VcCL,structural_other,0.02,100,-4.68757638276709,-4.94072440096869,15.0037916425752,31.3270162175926,46.2355449227675
80,6,ode,focei,lbfgsb3c,var_CL,structural_other,0.1,100,-6.14497424012336,-4.66054876698767,10.683803011315,15.1177496881753,25.7909036250512
80,6,ode,focei,lbfgsb3c,var_Vc,structural_other,0.1,100,1.49886776382935,1.49903689795005,13.0620753866981,21.6208512269577,38.1069768501572
80,7,ode,focei,lbfgsb3c,CLcrCL,covariate_beta,0.5,91,-0.0838972905126467,-0.122359832796046,10.2222215730866,15.7310970615896,24.7570023288137
80,7,ode,focei,lbfgsb3c,VcBW,covariate_beta,1,85,-0.260531327071711,-0.87156746603861,9.91714303518437,17.4596026593686,25.2009874948864
80,7,ode,focei,lbfgsb3c,TVCL,structural_intercept,0.6,100,0.152927740767315,-0.205647516426383,2.55628815897546,3.50612716649534,5.52118011076301
80,7,ode,focei,lbfgsb3c,TVVc,structural_intercept,20,100,1.90413338156368,2.17888266396279,4.59333982073582,6.55681185354635,10.8799171595455
80,7,ode,focei,lbfgsb3c,ResErr,structural_other,0.1,100,-0.569256055741575,-1.15328503500212,2.73978285120972,4.25586813935115,8.00127135688388
80,7,ode,focei,lbfgsb3c,TVKA,structural_other,0.7,100,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14
80,7,ode,focei,lbfgsb3c,TVQ,structural_other,1.8,100,1.83682611370431,1.71980016542848,1.88179884004026,2.33214694647109,3.44983631495983
80,7,ode,focei,lbfgsb3c,TVVp,structural_other,80,100,0.312693321494999,0.234994534159881,0.948040480933221,1.27411651741269,2.17089349800677
80,7,ode,focei,lbfgsb3c,cov_VcCL,structural_other,0.02,100,1.60049852069415,3.65117746581485,18.0249838477718,29.0613155083895,45.3283732741153
80,7,ode,focei,lbfgsb3c,var_CL,structural_other,0.1,100,-4.8285310045425,-4.58629783655377,10.8531638477967,16.1492879235158,26.0823280468839
80,7,ode,focei,lbfgsb3c,var_Vc,structural_other,0.1,100,-0.251047367380096,0.0492182468185293,15.0236711876649,23.8547055331593,37.9216736444187
80,8,ode,focei,lbfgsb3c,CLcrCL,covariate_beta,0.5,83,-1.7368807839751,-2.45679508088581,13.055958299676,17.8850208948769,28.8355380449928
80,8,ode,focei,lbfgsb3c,VcBW,covariate_beta,1,83,4.03838641689009,6.92809889134805,12.670767588304,29.5054646131676,32.3470220208746
80,8,ode,focei,lbfgsb3c,VcSEX,covariate_beta,0.405465108108164,96,-1.36804281632329,2.97127784798142,15.2067925403885,25.7070707082181,40.2395190633171
80,8,ode,focei,lbfgsb3c,TVCL,structural_intercept,0.6,99,-0.00141725567217217,0.322039084828181,2.7645653961584,3.99263830682838,6.03094039409362
80,8,ode,focei,lbfgsb3c,TVVc,structural_intercept,20,99,1.09346866555821,1.88715457248911,4.70525189852687,6.57778776316796,10.4189554171889
80,8,ode,focei,lbfgsb3c,ResErr,structural_other,0.1,99,-0.121813297261686,-0.0520552139312371,3.01279446276179,4.62276231475604,8.11946067604454
80,8,ode,focei,lbfgsb3c,TVKA,structural_other,0.7,99,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14
80,8,ode,focei,lbfgsb3c,TVQ,structural_other,1.8,99,1.73957530289158,1.64941122196696,1.8378238231658,2.6132654035166,3.96601750712423
80,8,ode,focei,lbfgsb3c,TVVp,structural_other,80,99,0.166192641869376,0.265731931504878,0.781108566543889,1.34930963108055,2.29832462121894
80,8,ode,focei,lbfgsb3c,cov_VcCL,structural_other,0.02,99,-4.40856180923875,-4.40180470317327,16.2077016622466,33.8856295777834,43.2313947964962
80,8,ode,focei,lbfgsb3c,var_CL,structural_other,0.1,99,-3.79123212405732,-2.69880962069139,9.81802174023028,14.9741484954216,22.6618763337128
80,8,ode,focei,lbfgsb3c,var_Vc,structural_other,0.1,99,-3.25799803805396,-4.10550925398691,14.007014247061,21.8787966457265,32.5162204788761
80,9,ode,focei,lbfgsb3c,CLBW,covariate_beta,0.75,76,1.25541223528434,1.08869818483,18.3869029929701,21.3602202811596,32.3421455362765
80,9,ode,focei,lbfgsb3c,TVCL,structural_intercept,0.6,98,1.00736975746392,0.889068921691253,3.14952792390353,5.61973626653405,9.08712982804224
80,9,ode,focei,lbfgsb3c,TVVc,structural_intercept,20,98,0.817172122893508,1.20401802940994,2.53693169462459,4.5452086245618,6.48865737208176
80,9,ode,focei,lbfgsb3c,ResErr,structural_other,0.1,98,0.29281130859949,-0.120521864452806,3.05861872053924,5.07517183146152,8.34545631627398
80,9,ode,focei,lbfgsb3c,TVKA,structural_other,0.7,98,4.75809867696496e-14,4.7095466496489905e-14,4.75809867696496e-14,4.73376041670886e-14,4.75809867696496e-14
80,9,ode,focei,lbfgsb3c,TVQ,structural_other,1.8,98,2.3021041082379,2.14215242688216,2.32271049788342,2.6145023986202802,3.86691846330169
80,9,ode,focei,lbfgsb3c,TVVp,structural_other,80,98,0.553590568913691,0.429444785624386,0.889374829646466,1.24776735512462,2.02523924515718
80,9,ode,focei,lbfgsb3c,cov_VcCL,structural_other,0.02,98,-6.81989074576457,-6.52792599703267,13.2610819496691,22.5412904744257,39.8155450641239
80,9,ode,focei,lbfgsb3c,var_CL,structural_other,0.1,98,-7.78506254017723,-6.85924868480582,12.8025759569605,18.5928906458882,26.7480317931333
80,9,ode,focei,lbfgsb3c,var_Vc,structural_other,0.1,98,-1.12248144466357,1.56691114725336,11.8796590903977,24.1401361877469,40.0573785519801
80,10,ode,focei,lbfgsb3c,CLBW,covariate_beta,0.75,83,-0.696483559475306,0.411254752559709,15.0016503778207,19.7434433214967,33.6118551085865
80,10,ode,focei,lbfgsb3c,VcSEX,covariate_beta,0.405465108108164,99,0.0552157054048238,-0.70483218963125,13.3893791347383,19.9291103555805,33.6726705539021
80,10,ode,focei,lbfgsb3c,TVCL,structural_intercept,0.6,100,-6.01726364715764,-5.61309075178747,8.08714831709875,9.3905591365591,13.8915303258729
80,10,ode,focei,lbfgsb3c,TVVc,structural_intercept,20,100,1.43733908054764,1.67851119400251,4.53057001235586,6.55878753024181,10.9540259086342
80,10,ode,focei,lbfgsb3c,ResErr,structural_other,0.1,100,-0.597442287968999,-1.22053169366629,2.53689707279809,4.29095941842175,6.97180954037044
80,10,ode,focei,lbfgsb3c,TVKA,structural_other,0.7,100,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14,4.75809867696496e-14
80,10,ode,focei,lbfgsb3c,TVQ,structural_other,1.8,100,1.70836990978504,1.81191344198156,1.70836990978504,2.38705761963104,4.0510879073731
80,10,ode,focei,lbfgsb3c,TVVp,structural_other,80,100,0.454415693051713,0.30806672298489,0.841693932077829,1.0982875055872,1.68538239625107
80,10,ode,focei,lbfgsb3c,cov_VcCL,structural_other,0.02,100,-2.77558590927115,-1.06276219719714,13.2003757652904,22.1879918520391,35.0568195672917
80,10,ode,focei,lbfgsb3c,var_CL,structural_other,0.1,100,-5.11332940840904,-4.55177097323844,11.0369946063241,15.5833380650397,24.9809209792368
80,10,ode,focei,lbfgsb3c,var_Vc,structural_other,0.1,100,-1.66101372883762,1.13733708548562,11.6120977035217,19.3171878155923,33.0414091437838
80,11,ode,focei,lbfgsb3c,CLBW,covariate_beta,0.75,80,0.526908666143466,3.52126274741158,14.7503053261008,26.5924999516589,34.1407061805098
80,11,ode,focei,lbfgsb3c,VcBW,covariate_beta,1,81,-1.95229384415841,-0.845363591176336,8.78937354749587,15.3341409157232,27.8870466158813
80,11,ode,focei,lbfgsb3c,TVCL,structural_intercept,0.6,98,-7.08452513486936,-6.33842088121637,8.15985415626826,10.2316913551016,14.772744613221
80,11,ode,focei,lbfgsb3c,TVVc,structural_intercept,20,98,-8.33897289944309,-7.02190368953341,9.59566220131891,11.2796401379749,18.0091831609484
80,11,ode,focei,lbfgsb3c,ResErr,structural_other,0.1,98,-0.295955968623786,-0.570138861847068,3.06897219763488,4.7693268432071,8.18545492012233
80,11,ode,focei,lbfgsb3c,TVKA,structural_other,0.7,98,4.75809867696496e-14,4.7095466496489905e-14,4.75809867696496e-14,4.73376041670886e-14,4.75809867696496e-14
80,11,ode,focei,lbfgsb3c,TVQ,structural_other,1.8,98,1.70088981403392,1.81200380451856,1.8047203135986,2.4230750476235,3.75285463891066
80,11,ode,focei,lbfgsb3c,TVVp,structural_other,80,98,0.362625950034863,0.440963480238148,0.735145339345191,1.21006454369822,2.0416221561013
80,11,ode,focei,lbfgsb3c,cov_VcCL,structural_other,0.02,98,15.1032103403652,26.1477296688161,23.6654408131138,53.4917083501851,92.1784958191363
