sample_N,scenario,structure,estimator,outer_opt,N,n_exact,n_ok_cn,n_ok_min,n_exact_cn,n_exact_min,Power,PowerCN,PowerMinSuc
80,1,ode,focei,lbfgsb3c,100,89,100,100,89,89,0.89,0.89,0.89
80,2,ode,focei,lbfgsb3c,100,87,100,100,87,87,0.87,0.87,0.87
80,3,ode,focei,lbfgsb3c,100,76,99,100,75,76,0.76,0.757575757575758,0.76
80,4,ode,focei,lbfgsb3c,100,77,100,100,77,77,0.77,0.77,0.77
80,5,ode,focei,lbfgsb3c,100,78,99,100,77,78,0.78,0.777777777777778,0.78
80,6,ode,focei,lbfgsb3c,100,77,100,100,77,77,0.77,0.77,0.77
80,7,ode,focei,lbfgsb3c,100,70,100,100,70,70,0.7,0.7,0.7
80,8,ode,focei,lbfgsb3c,100,62,99,100,62,62,0.62,0.626262626262626,0.62
80,9,ode,focei,lbfgsb3c,100,64,98,100,64,64,0.64,0.653061224489796,0.64
80,10,ode,focei,lbfgsb3c,100,76,100,100,76,76,0.76,0.76,0.76
80,11,ode,focei,lbfgsb3c,100,63,98,100,63,63,0.63,0.642857142857143,0.63
80,12,ode,focei,lbfgsb3c,100,59,100,100,59,59,0.59,0.59,0.59
80,13,ode,focei,lbfgsb3c,100,57,100,100,57,57,0.57,0.57,0.57
80,14,ode,focei,lbfgsb3c,100,61,98,100,60,61,0.61,0.612244897959184,0.61
80,15,ode,focei,lbfgsb3c,100,43,97,99,42,43,0.43,0.43298969072165,0.434343434343434
80,16,ode,focei,lbfgsb3c,100,52,98,100,51,52,0.52,0.520408163265306,0.52
80,1,linCmt,focei,lbfgsb3c,100,90,100,100,90,90,0.9,0.9,0.9
80,2,linCmt,focei,lbfgsb3c,100,86,100,100,86,86,0.86,0.86,0.86
80,3,linCmt,focei,lbfgsb3c,100,75,100,100,75,75,0.75,0.75,0.75
80,4,linCmt,focei,lbfgsb3c,100,74,100,100,74,74,0.74,0.74,0.74
80,5,linCmt,focei,lbfgsb3c,100,76,100,100,76,76,0.76,0.76,0.76
80,6,linCmt,focei,lbfgsb3c,100,78,100,100,78,78,0.78,0.78,0.78
80,7,linCmt,focei,lbfgsb3c,100,73,97,97,73,73,0.73,0.752577319587629,0.752577319587629
80,8,linCmt,focei,lbfgsb3c,100,69,100,100,69,69,0.69,0.69,0.69
80,9,linCmt,focei,lbfgsb3c,100,72,100,100,72,72,0.72,0.72,0.72
80,10,linCmt,focei,lbfgsb3c,100,72,100,100,72,72,0.72,0.72,0.72
80,11,linCmt,focei,lbfgsb3c,100,64,100,100,64,64,0.64,0.64,0.64
80,12,linCmt,focei,lbfgsb3c,100,53,100,100,53,53,0.53,0.53,0.53
80,13,linCmt,focei,lbfgsb3c,100,62,97,98,61,62,0.62,0.628865979381443,0.63265306122449
80,14,linCmt,focei,lbfgsb3c,100,64,99,99,64,64,0.64,0.646464646464647,0.646464646464647
80,15,linCmt,focei,lbfgsb3c,100,48,100,100,48,48,0.48,0.48,0.48
80,16,linCmt,focei,lbfgsb3c,100,48,100,100,48,48,0.48,0.48,0.48
40,1,linCmt,focei,lbfgsb3c,100,92,100,100,92,92,0.92,0.92,0.92
40,1,ode,focei,lbfgsb3c,100,90,100,100,90,90,0.9,0.9,0.9
40,2,linCmt,focei,lbfgsb3c,100,74,100,100,74,74,0.74,0.74,0.74
