sample_N,scenario,structure,estimator,outer_opt,k,n_at_least_k,fraction_at_least_k,n_true
80,2,ode,focei,lbfgsb3c,1,97,0.97,1
80,3,ode,focei,lbfgsb3c,1,83,0.83,1
80,4,ode,focei,lbfgsb3c,1,100,1,2
80,4,ode,focei,lbfgsb3c,2,80,0.8,2
80,5,ode,focei,lbfgsb3c,1,91,0.91,1
80,6,ode,focei,lbfgsb3c,1,100,1,2
80,6,ode,focei,lbfgsb3c,2,85,0.85,2
80,7,ode,focei,lbfgsb3c,1,100,1,2
80,7,ode,focei,lbfgsb3c,2,76,0.76,2
80,8,ode,focei,lbfgsb3c,1,100,1,3
80,8,ode,focei,lbfgsb3c,2,95,0.95,3
80,8,ode,focei,lbfgsb3c,3,68,0.68,3
80,9,ode,focei,lbfgsb3c,1,78,0.78,1
80,10,ode,focei,lbfgsb3c,1,100,1,2
80,10,ode,focei,lbfgsb3c,2,82,0.82,2
80,11,ode,focei,lbfgsb3c,1,93,0.93,2
80,11,ode,focei,lbfgsb3c,2,69,0.69,2
80,12,ode,focei,lbfgsb3c,1,100,1,3
80,12,ode,focei,lbfgsb3c,2,93,0.93,3
80,12,ode,focei,lbfgsb3c,3,65,0.65,3
80,13,ode,focei,lbfgsb3c,1,96,0.96,2
80,13,ode,focei,lbfgsb3c,2,62,0.62,2
80,14,ode,focei,lbfgsb3c,1,100,1,3
80,14,ode,focei,lbfgsb3c,2,96,0.96,3
80,14,ode,focei,lbfgsb3c,3,66,0.66,3
80,15,ode,focei,lbfgsb3c,1,99,0.99,3
80,15,ode,focei,lbfgsb3c,2,88,0.88,3
80,15,ode,focei,lbfgsb3c,3,50,0.5,3
80,16,ode,focei,lbfgsb3c,1,100,1,4
80,16,ode,focei,lbfgsb3c,2,98,0.98,4
80,16,ode,focei,lbfgsb3c,3,93,0.93,4
80,16,ode,focei,lbfgsb3c,4,54,0.54,4
80,2,linCmt,focei,lbfgsb3c,1,97,0.97,1
80,3,linCmt,focei,lbfgsb3c,1,84,0.84,1
80,4,linCmt,focei,lbfgsb3c,1,98,0.98,2
80,4,linCmt,focei,lbfgsb3c,2,77,0.77,2
80,5,linCmt,focei,lbfgsb3c,1,89,0.89,1
80,6,linCmt,focei,lbfgsb3c,1,100,1,2
80,6,linCmt,focei,lbfgsb3c,2,85,0.85,2
80,7,linCmt,focei,lbfgsb3c,1,98,0.98,2
80,7,linCmt,focei,lbfgsb3c,2,78,0.78,2
80,8,linCmt,focei,lbfgsb3c,1,100,1,3
80,8,linCmt,focei,lbfgsb3c,2,94,0.94,3
80,8,linCmt,focei,lbfgsb3c,3,77,0.77,3
80,9,linCmt,focei,lbfgsb3c,1,80,0.8,1
80,10,linCmt,focei,lbfgsb3c,1,99,0.99,2
80,10,linCmt,focei,lbfgsb3c,2,79,0.79,2
80,11,linCmt,focei,lbfgsb3c,1,95,0.95,2
80,11,linCmt,focei,lbfgsb3c,2,70,0.7,2
80,12,linCmt,focei,lbfgsb3c,1,100,1,3
80,12,linCmt,focei,lbfgsb3c,2,96,0.96,3
80,12,linCmt,focei,lbfgsb3c,3,58,0.58,3
80,13,linCmt,focei,lbfgsb3c,1,91,0.91,2
80,13,linCmt,focei,lbfgsb3c,2,68,0.68,2
80,14,linCmt,focei,lbfgsb3c,1,99,0.99,3
80,14,linCmt,focei,lbfgsb3c,2,93,0.93,3
80,14,linCmt,focei,lbfgsb3c,3,67,0.67,3
80,15,linCmt,focei,lbfgsb3c,1,99,0.99,3
80,15,linCmt,focei,lbfgsb3c,2,87,0.87,3
80,15,linCmt,focei,lbfgsb3c,3,53,0.53,3
80,16,linCmt,focei,lbfgsb3c,1,99,0.99,4
80,16,linCmt,focei,lbfgsb3c,2,96,0.96,4
80,16,linCmt,focei,lbfgsb3c,3,90,0.9,4
80,16,linCmt,focei,lbfgsb3c,4,49,0.49,4
40,2,linCmt,focei,lbfgsb3c,1,82,0.82,1
40,2,ode,focei,lbfgsb3c,1,82,0.82,1
40,3,linCmt,focei,lbfgsb3c,1,67,0.67,1
40,3,ode,focei,lbfgsb3c,1,74,0.74,1
40,4,linCmt,focei,lbfgsb3c,1,97,0.97,2
40,4,linCmt,focei,lbfgsb3c,2,47,0.47,2
40,4,ode,focei,lbfgsb3c,1,98,0.98,2
40,4,ode,focei,lbfgsb3c,2,44,0.44,2
40,5,linCmt,focei,lbfgsb3c,1,72,0.72,1
40,5,ode,focei,lbfgsb3c,1,77,0.77,1
40,6,linCmt,focei,lbfgsb3c,1,93,0.93,2
40,6,linCmt,focei,lbfgsb3c,2,61,0.61,2
40,6,ode,focei,lbfgsb3c,1,95,0.95,2
40,6,ode,focei,lbfgsb3c,2,59,0.59,2
40,7,linCmt,focei,lbfgsb3c,1,91,0.91,2
40,7,linCmt,focei,lbfgsb3c,2,44,0.44,2
40,7,ode,focei,lbfgsb3c,1,92,0.92,2
40,7,ode,focei,lbfgsb3c,2,48,0.48,2
40,8,linCmt,focei,lbfgsb3c,1,99,0.99,3
40,8,linCmt,focei,lbfgsb3c,2,81,0.81,3
40,8,linCmt,focei,lbfgsb3c,3,40,0.4,3
40,8,ode,focei,lbfgsb3c,1,100,1,3
40,8,ode,focei,lbfgsb3c,2,83,0.83,3
40,8,ode,focei,lbfgsb3c,3,42,0.42,3
40,9,linCmt,focei,lbfgsb3c,1,60,0.6,1
40,9,ode,focei,lbfgsb3c,1,57,0.57,1
40,10,linCmt,focei,lbfgsb3c,1,86,0.86,2
40,10,linCmt,focei,lbfgsb3c,2,40,0.4,2
40,10,ode,focei,lbfgsb3c,1,86,0.86,2
40,10,ode,focei,lbfgsb3c,2,35,0.35,2
40,11,linCmt,focei,lbfgsb3c,1,87,0.87,2
40,11,linCmt,focei,lbfgsb3c,2,44,0.44,2
40,11,ode,focei,lbfgsb3c,1,89,0.89,2
40,11,ode,focei,lbfgsb3c,2,53,0.53,2
40,12,linCmt,focei,lbfgsb3c,1,95,0.95,3
40,12,linCmt,focei,lbfgsb3c,2,71,0.71,3
40,12,linCmt,focei,lbfgsb3c,3,21,0.21,3
40,12,ode,focei,lbfgsb3c,1,97,0.97,3
40,12,ode,focei,lbfgsb3c,2,77,0.77,3
40,12,ode,focei,lbfgsb3c,3,22,0.22,3
40,13,linCmt,focei,lbfgsb3c,1,84,0.84,2
40,13,linCmt,focei,lbfgsb3c,2,33,0.33,2
40,13,ode,focei,lbfgsb3c,1,91,0.91,2
40,13,ode,focei,lbfgsb3c,2,36,0.36,2
40,14,linCmt,focei,lbfgsb3c,1,95,0.95,3
40,14,linCmt,focei,lbfgsb3c,2,74,0.74,3
40,14,linCmt,focei,lbfgsb3c,3,20,0.2,3
40,14,ode,focei,lbfgsb3c,1,97,0.97,3
40,14,ode,focei,lbfgsb3c,2,74,0.74,3
40,14,ode,focei,lbfgsb3c,3,26,0.26,3
40,15,linCmt,focei,lbfgsb3c,1,93,0.93,3
40,15,linCmt,focei,lbfgsb3c,2,64,0.64,3
40,15,linCmt,focei,lbfgsb3c,3,23,0.23,3
40,15,ode,focei,lbfgsb3c,1,96,0.96,3
40,15,ode,focei,lbfgsb3c,2,68,0.68,3
40,15,ode,focei,lbfgsb3c,3,22,0.22,3
40,16,linCmt,focei,lbfgsb3c,1,100,1,4
40,16,linCmt,focei,lbfgsb3c,2,85,0.85,4
40,16,linCmt,focei,lbfgsb3c,3,48,0.48,4
40,16,linCmt,focei,lbfgsb3c,4,7,0.07,4
40,16,ode,focei,lbfgsb3c,1,99,0.99,4
40,16,ode,focei,lbfgsb3c,2,85,0.85,4
40,16,ode,focei,lbfgsb3c,3,50,0.5,4
40,16,ode,focei,lbfgsb3c,4,7,0.07,4
300,2,linCmt,focei,lbfgsb3c,1,99,0.99,1
300,2,ode,focei,lbfgsb3c,1,99,0.99,1
300,3,linCmt,focei,lbfgsb3c,1,44,0.44,1
300,3,ode,focei,lbfgsb3c,1,51,0.51,1
300,4,linCmt,focei,lbfgsb3c,1,100,1,2
300,4,linCmt,focei,lbfgsb3c,2,91,0.91,2
300,4,ode,focei,lbfgsb3c,1,100,1,2
300,4,ode,focei,lbfgsb3c,2,88,0.88,2
300,5,linCmt,focei,lbfgsb3c,1,55,0.55,1
300,5,ode,focei,lbfgsb3c,1,56,0.56,1
300,6,linCmt,focei,lbfgsb3c,1,100,1,2
300,6,linCmt,focei,lbfgsb3c,2,82,0.82,2
300,6,ode,focei,lbfgsb3c,1,100,1,2
300,6,ode,focei,lbfgsb3c,2,87,0.87,2
300,7,linCmt,focei,lbfgsb3c,1,89,0.89,2
300,7,linCmt,focei,lbfgsb3c,2,62,0.62,2
300,7,ode,focei,lbfgsb3c,1,93,0.93,2
300,7,ode,focei,lbfgsb3c,2,58,0.58,2
300,8,linCmt,focei,lbfgsb3c,1,100,1,3
300,8,linCmt,focei,lbfgsb3c,2,99,0.99,3
300,8,linCmt,focei,lbfgsb3c,3,83,0.83,3
300,8,ode,focei,lbfgsb3c,1,100,1,3
300,8,ode,focei,lbfgsb3c,2,97,0.97,3
300,8,ode,focei,lbfgsb3c,3,87,0.87,3
300,9,linCmt,focei,lbfgsb3c,1,79,0.79,1
300,9,ode,focei,lbfgsb3c,1,68,0.68,1
300,10,linCmt,focei,lbfgsb3c,1,100,1,2
300,10,linCmt,focei,lbfgsb3c,2,90,0.9,2
300,10,ode,focei,lbfgsb3c,1,100,1,2
300,10,ode,focei,lbfgsb3c,2,90,0.9,2
300,11,linCmt,focei,lbfgsb3c,1,97,0.97,2
300,11,linCmt,focei,lbfgsb3c,2,80,0.8,2
