sample_N,scenario,structure,estimator,outer_opt,dataset_id,parameter,param_class,true_value,estimate,rel_err,rel_err_pct,sq_rel,abs_rel
80,1,ode,focei,lbfgsb3c,1,TVCL,structural_intercept,0.6,0.590830005001265,-0.0152833249978919,-1.52833249978919,2.3358002299118e-4,0.0152833249978919
80,1,ode,focei,lbfgsb3c,1,TVVc,structural_intercept,20,18.9431921231568,-0.0528403938421619,-5.28403938421619,0.00279210722139477,0.0528403938421619
80,1,ode,focei,lbfgsb3c,1,TVQ,structural_other,1.8,1.83167275870548,0.0175959770585997,1.75959770585997,3.0961840864676e-4,0.0175959770585997
80,1,ode,focei,lbfgsb3c,1,TVVp,structural_other,80,82.2251368393256,0.0278142104915696,2.78142104915696,7.7363030526934e-4,0.0278142104915696
80,1,ode,focei,lbfgsb3c,1,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,ode,focei,lbfgsb3c,1,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,1,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,1,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,1,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,1,var_CL,structural_other,0.1,0.0984077461683209,-0.0159225383167913,-1.59225383167913,2.5352722644968e-4,0.0159225383167913
80,1,ode,focei,lbfgsb3c,1,var_Vc,structural_other,0.1,0.101928329523537,0.0192832952353707,1.92832952353707,3.7184547513446e-4,0.0192832952353707
80,1,ode,focei,lbfgsb3c,1,cov_VcCL,structural_other,0.02,0.0203702603521801,0.0185130176090056,1.85130176090056,3.4273182099135e-4,0.0185130176090056
80,1,ode,focei,lbfgsb3c,1,ResErr,structural_other,0.1,0.104241581388335,0.0424158138833505,4.24158138833505,0.00179910126738703,0.0424158138833505
80,1,ode,focei,lbfgsb3c,2,TVCL,structural_intercept,0.6,0.590021230663919,-0.0166312822268017,-1.66312822268017,2.7659954850752e-4,0.0166312822268017
80,1,ode,focei,lbfgsb3c,2,TVVc,structural_intercept,20,23.6854979929272,0.18427489964635901,18.4274899646359,0.0339572386396758,0.18427489964635901
80,1,ode,focei,lbfgsb3c,2,TVQ,structural_other,1.8,1.8077566013647,0.00430922298038661,0.430922298038662,1.85694026946921e-5,0.00430922298038661
80,1,ode,focei,lbfgsb3c,2,TVVp,structural_other,80,78.6860259873206,-0.0164246751584928,-1.64246751584928,2.6976995406201e-4,0.0164246751584928
80,1,ode,focei,lbfgsb3c,2,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,ode,focei,lbfgsb3c,2,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,2,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,2,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,2,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,2,var_CL,structural_other,0.1,0.0788841369479931,-0.211158630520069,-21.1158630520069,0.0445879672431111,0.211158630520069
80,1,ode,focei,lbfgsb3c,2,var_Vc,structural_other,0.1,0.0872326357528004,-0.127673642471996,-12.7673642471996,0.016300558982067,0.127673642471996
80,1,ode,focei,lbfgsb3c,2,cov_VcCL,structural_other,0.02,0.0160485836782007,-0.197570816089965,-19.7570816089965,0.0390342273704547,0.197570816089965
80,1,ode,focei,lbfgsb3c,2,ResErr,structural_other,0.1,0.0980703355529448,-0.0192966444705521,-1.92966444705521,3.7236048782288e-4,0.0192966444705521
80,1,ode,focei,lbfgsb3c,3,TVCL,structural_intercept,0.6,0.593406004925774,-0.010989991790377,-1.0989991790377,1.2077991955255e-4,0.010989991790377
80,1,ode,focei,lbfgsb3c,3,TVVc,structural_intercept,20,22.2982327724257,0.114911638621284,11.4911638621284,0.0132046846906285,0.114911638621284
80,1,ode,focei,lbfgsb3c,3,TVQ,structural_other,1.8,1.82327915385608,0.012932863253376699,1.29328632533767,1.6725895193054e-4,0.012932863253376699
80,1,ode,focei,lbfgsb3c,3,TVVp,structural_other,80,79.3363422436387,-0.00829572195451593,-0.829572195451593,6.88190027466377e-5,0.00829572195451593
80,1,ode,focei,lbfgsb3c,3,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,ode,focei,lbfgsb3c,3,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,3,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,3,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,3,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,3,var_CL,structural_other,0.1,0.0982204568054267,-0.0177954319457332,-1.77954319457332,3.1667739813522e-4,0.0177954319457332
80,1,ode,focei,lbfgsb3c,3,var_Vc,structural_other,0.1,0.0998455831132819,-0.00154416886718147,-0.154416886718148,2.38445749037253e-6,0.00154416886718147
80,1,ode,focei,lbfgsb3c,3,cov_VcCL,structural_other,0.02,0.0199847747247004,-7.6126376498172e-4,-0.0761263764981722,5.79522519874146e-7,7.6126376498172e-4
80,1,ode,focei,lbfgsb3c,3,ResErr,structural_other,0.1,0.10124163731428901,0.012416373142894,1.2416373142894,1.5416632202358e-4,0.012416373142894
80,1,ode,focei,lbfgsb3c,4,TVCL,structural_intercept,0.6,0.589921723034565,-0.0167971282757245,-1.67971282757245,2.8214351831114e-4,0.0167971282757245
80,1,ode,focei,lbfgsb3c,4,TVVc,structural_intercept,20,19.9063241449445,-0.00468379275277612,-0.468379275277613,2.19379145509582e-5,0.00468379275277612
80,1,ode,focei,lbfgsb3c,4,TVQ,structural_other,1.8,1.87756023561286,0.0430890197849245,4.30890197849245,0.00185666362602561,0.0430890197849245
80,1,ode,focei,lbfgsb3c,4,TVVp,structural_other,80,81.9700795316148,0.0246259941451854,2.46259941451854,6.064395876387e-4,0.0246259941451854
80,1,ode,focei,lbfgsb3c,4,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,ode,focei,lbfgsb3c,4,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,4,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,4,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,4,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,4,var_CL,structural_other,0.1,0.0999393860861983,-6.0613913801729e-4,-0.0606139138017298,3.67404654636353e-7,6.0613913801729e-4
80,1,ode,focei,lbfgsb3c,4,var_Vc,structural_other,0.1,0.0985164073221901,-0.014835926778099,-1.4835926778099,2.2010472336511e-4,0.014835926778099
80,1,ode,focei,lbfgsb3c,4,cov_VcCL,structural_other,0.02,0.0196407131284091,-0.0179643435795455,-1.79643435795455,3.2271764024395e-4,0.0179643435795455
80,1,ode,focei,lbfgsb3c,4,ResErr,structural_other,0.1,0.0965730373867779,-0.0342696261322208,-3.42696261322208,0.00117440727524218,0.0342696261322208
80,1,ode,focei,lbfgsb3c,5,TVCL,structural_intercept,0.6,0.616633332202101,0.0277222203368349,2.77222203368349,7.6852150040402e-4,0.0277222203368349
80,1,ode,focei,lbfgsb3c,5,TVVc,structural_intercept,20,19.0093887864164,-0.0495305606791776,-4.95305606791776,0.00245327644119369,0.0495305606791776
80,1,ode,focei,lbfgsb3c,5,TVQ,structural_other,1.8,1.81487201516946,0.0082622306497013,0.826223064970131,6.82644553088637e-5,0.0082622306497013
80,1,ode,focei,lbfgsb3c,5,TVVp,structural_other,80,80.5790286713124,0.00723785839140465,0.723785839140465,5.23865940940267e-5,0.00723785839140465
80,1,ode,focei,lbfgsb3c,5,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,ode,focei,lbfgsb3c,5,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,5,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,5,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,5,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,ode,focei,lbfgsb3c,5,var_CL,structural_other,0.1,0.123296427309222,0.23296427309222,23.296427309222,0.0542723525373866,0.23296427309222
80,1,ode,focei,lbfgsb3c,5,var_Vc,structural_other,0.1,0.111261485909499,0.112614859094991,11.2614859094991,0.0126821064889847,0.112614859094991
80,1,ode,focei,lbfgsb3c,5,cov_VcCL,structural_other,0.02,0.0236238312137927,0.181191560689633,18.1191560689633,0.0328303816651449,0.181191560689633
80,1,ode,focei,lbfgsb3c,5,ResErr,structural_other,0.1,0.104659929819732,0.0465992981973243,4.65992981973243,0.00217149459248314,0.0465992981973243
80,1,ode,focei,lbfgsb3c,6,TVCL,structural_intercept,0.6,0.64719943483124,0.0786657247187341,7.86657247187341,0.00618829624552365,0.0786657247187341
